"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of May 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
May 17 Apr 17 May 16","","","%change May 17 over
Apr 17 May 16",""
"1.0","Wheat","10 Kg","335.0","335.0","325.0","325.0","329.38","340.0","309.38","300.0","299.06","355.0","307.5","312.5","312.5","330.0","327.5","350.0","350.0","326.05","337.46","323.42","-3.38","0.81"
"2.0","Wheat Flour, Bag","10 Kg","384.77","376.25","368.75","367.5","366.25","355.0","326.25","350.0","360.0","422.36","406.25","358.75","345.0","372.09","373.13","400.0","375.0","371.02","379.4","371.22","-2.21","-0.05"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","88.29","82.03","50.0","55.0","73.21","80.0","60.0","77.5","55.0","73.27","75.0","65.0","67.5","72.92","51.0","75.0","60.0","68.28","66.91","59.58","2.05","14.6"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","57.0","55.0","50.0","40.0","47.5","44.58","45.0","52.5","36.0","46.67","60.0","50.0","50.0","49.67","49.67","46.26","0.0","7.37"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","40.82","0.0","0.73"
"6.0","Beef With Bone, (AQ)","1 Kg","352.5","350.0","300.0","300.0","344.29","350.0","320.0","350.0","300.0","390.0","325.0","325.0","310.0","313.33","300.0","400.0","320.0","332.36","332.07","318.96","0.09","4.2"
"7.0","Mutton, Average Quality","1 Kg","806.25","782.08","650.0","650.0","805.36","700.0","700.0","700.0","600.0","743.75","700.0","650.0","650.0","650.0","522.5","700.0","575.0","681.47","679.36","639.43","0.31","6.57"
"8.0","Chicken Farm, Broiler, Live","1 Kg","159.32","138.12","149.0","154.75","141.75","142.75","145.5","160.0","151.0","177.76","166.18","175.0","175.0","156.25","160.0","162.5","193.75","159.33","167.88","173.5","-5.09","-8.17"
"9.0","Milk, Fresh, Unboiled","1 Ltr","99.38","96.25","80.0","70.0","77.21","80.0","68.13","78.33","67.5","85.0","84.0","80.0","80.0","85.0","80.0","90.0","80.0","81.22","81.19","79.36","0.04","2.34"
"10.0","Curd (Dahi)","1 Kg","113.13","107.92","95.0","80.0","83.04","95.0","82.5","90.83","80.0","129.72","115.0","95.0","95.0","97.5","87.5","100.0","90.0","96.3","95.75","93.05","0.57","3.49"
"11.0","Powdered Milk, Nido, Polybag","400 gm","374.37","374.37","358.97","358.97","366.66","389.74","358.98","358.97","358.97","369.23","369.23","385.97","346.66","365.0","358.97","389.74","382.05","368.64","371.91","380.84","-0.88","-3.2"
"12.0","Eggs Hen, Farm","Dozen","91.22","88.01","86.25","92.5","87.0","82.5","88.5","84.17","84.0","83.84","82.96","90.0","81.0","96.25","93.13","91.25","82.5","87.36","84.06","71.91","3.93","21.49"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","150.0","160.0","183.93","200.0","175.0","177.5","170.0","170.29","150.0","137.5","190.0","220.0","180.0","190.0","170.0","181.42","181.49","179.21","-0.04","1.23"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","475.0","475.0","475.0","467.0","465.0","467.5","475.0","475.0","463.75","468.0","465.0","468.0","460.0","470.0","475.0","445.0","453.75","467.24","466.94","454.35","0.06","2.84"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","470.0","470.0","470.0","452.0","460.0","462.5","470.0","470.0","458.75","453.0","460.0","453.0","450.0","460.0","470.0","440.0","457.5","460.4","460.18","445.12","0.05","3.43"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","147.5","142.5","143.75","140.14","136.0","140.0","145.25","146.0","145.77","175.0","145.0","130.0","158.33","162.5","130.0","130.0","145.23","145.97","139.26","-0.51","4.29"
"17.0","Bananas","Dozen","146.88","126.25","85.0","90.0","125.14","83.75","72.5","98.13","70.0","76.2","69.38","85.0","79.13","93.34","73.13","60.0","70.0","88.46","84.18","84.02","5.08","5.28"
"18.0","Pulse Masoor, Washed","1 Kg","153.13","136.67","140.0","160.0","138.93","120.0","155.0","110.0","120.0","123.77","115.0","110.0","100.0","104.21","120.0","121.25","140.0","127.53","127.5","151.15","0.02","-15.63"
"19.0","Pulse Moong, Washed","1 Kg","151.88","129.58","120.0","150.0","130.0","120.0","120.0","112.5","120.0","123.2","137.66","135.0","140.0","105.21","97.5","145.0","162.5","129.41","128.46","159.13","0.74","-18.68"
"20.0","Pulse Mash, Washed","1 Kg","203.13","179.58","195.0","180.0","235.0","210.0","225.0","170.83","185.0","171.68","185.16","175.0","172.5","176.67","195.0","202.5","236.25","194.02","190.4","274.74","1.9","-29.38"
"21.0","Pulse Gram, Washed","1 Kg","153.75","136.67","120.0","130.0","131.97","120.0","120.0","122.5","135.0","135.53","127.66","135.0","122.38","127.09","120.0","157.5","140.0","131.47","128.14","141.82","2.6","-7.3"
