"","","","","","","","","Average Monthly Prices of 53 Essential Items for the month of June 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
15 May 15","","Jun 14","Jun","%change Jun 15 over
May 15 Jun 14",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","11.5","11.42","10.0","10.0","10.0","10.0","10.0","9.0","12.0","12.0","10.0","9.0","10.0","10.0","8.0","10.0","10.0","10.17","10.02","","9.83","1.5","3.46"
"28.0","Red Chilly Powder, Loose","1 Kg","307.5","295.83","280.0","260.0","292.14","262.5","265.0","255.0","210.0","301.15","286.25","265.0","235.0","230.0","278.13","310.0","240.0","269.03","265.02","244.94","","1.51","9.84"
"29.0","Garlic","1 Kg","197.5","176.67","140.0","148.75","158.21","126.25","135.0","132.09","145.0","156.15","151.88","130.0","110.0","101.67","158.13","120.0","136.25","142.56","148.33","117.35","","-3.89","21.48"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","156.58","156.58","153.95","153.95","152.63","157.49","150.26","156.58","155.79","149.47","151.58","153.16","155.79","149.47","149.47","149.47","149.47","153.04","148.54","124.21","","3.03","23.21"
"31.0","Cooked Beef, Average Hotel","Plate","88.75","85.83","62.5","62.5","78.04","75.0","98.75","70.0","65.0","71.54","72.5","100.0","70.0","116.67","90.0","80.0","140.0","83.95","83.73","81.56","","0.26","2.93"
"32.0","Cooked Daal, Average Hotel","Plate","62.5","55.83","35.0","32.5","51.07","42.5","40.0","40.0","40.0","53.08","46.25","50.0","60.0","60.0","47.5","60.0","60.0","49.19","49.19","47.1","","0.0","4.44"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","17.5","19.93","20.0","19.75","20.0","15.0","18.62","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.93","18.89","18.14","","0.21","4.36"
"34.0","Cigarettes, K-2, 20's","Packet","52.5","52.5","50.0","51.25","49.75","45.63","57.5","47.5","50.25","52.5","50.5","52.5","52.5","50.0","48.0","57.5","55.0","51.49","45.72","42.46","","12.62","21.27"
"35.0","Long Cloth","1 mtr","205.0","195.0","137.5","135.0","247.14","237.5","232.5","250.0","180.0","170.0","210.0","230.0","200.0","300.0","150.0","170.0","190.0","202.33","201.89","196.45","","0.22","2.99"
"36.0","Shirting","1 mtr","182.5","175.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","154.62","130.0","120.0","130.0","283.33","140.0","160.0","190.0","160.24","159.56","154.35","","0.43","3.82"
"37.0","Lawn","1 mtr","240.0","220.0","205.0","205.0","261.07","240.0","360.0","150.0","150.0","360.0","240.0","280.0","333.0","360.0","178.75","180.0","165.0","242.81","241.56","229.31","","0.52","5.89"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","120.3","","0.0","2.33"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","124.18","","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","105.0","105.0","84.5","95.0","77.0","80.0","85.0","85.0","88.0","105.85","93.0","86.0","120.0","90.67","92.0","76.0","80.0","91.06","87.24","118.69","","4.38","-23.28"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","475.0","555.0","620.0","556.15","425.0","400.0","390.0","661.67","490.0","525.0","450.0","579.68","577.35","554.39","","0.4","4.56"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","170.0","162.5","170.0","165.0","175.0","170.0","160.0","155.0","175.0","180.0","160.0","180.0","150.0","165.74","165.74","165.15","","0.0","0.36"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","19.5","20.0","20.0","22.5","30.0","30.0","24.35","24.35","23.96","","0.0","1.63"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","1.0","2.0","2.5","2.0","2.5","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.5","1.91","1.91","","1.53","0.0","24.84"
"49.0","Petrol, Super","1 Ltr","78.06","78.06","78.2","78.3","78.14","78.2","78.46","78.95","78.65","78.06","78.6","78.1","79.4","78.06","81.2","78.1","78.1","78.51","75.09","109.46","","4.55","-28.28"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","87.41","87.41","87.6","87.7","87.47","88.5","87.86","87.9","88.3","87.41","88.0","87.5","88.8","87.41","91.2","87.51","87.51","87.97","84.49","110.82","","4.12","-20.62"
"51.0","LPG Cylinder, 11kg","Each","1225.0","1207.5","990.0","1100.0","990.0","1012.5","1037.5","1057.5","1100.0","893.75","990.0","1100.0","1078.0","1100.0","1060.0","1287.5","1106.25","1078.56","1057.93","1248.19","","1.95","-13.59"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","37.0","37.0","36.0","36.0","36.0","37.0","37.0","36.0","36.0","36.0","36.0","37.0","36.0","36.0","36.0","36.41","36.31","36.0","","0.28","1.14"
