"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of March 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Mar 15 Feb 15 Mar 14","","","%change Mar 15 over
Feb 15 Mar 14",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","11.0","10.83","10.0","10.0","10.0","10.0","10.0","9.0","10.0","12.0","10.0","9.0","10.0","10.0","8.0","10.0","10.0","9.99","9.99","9.51","0.0","5.05"
"28.0","Red Chilly Powder, Loose","1 Kg","307.5","295.83","280.0","260.0","279.11","265.0","276.25","245.0","210.0","307.69","286.25","250.0","223.75","230.0","275.63","290.0","200.0","263.65","264.84","223.24","-0.45","18.1"
"29.0","Garlic","1 Kg","185.0","160.0","135.0","138.13","151.25","120.0","130.0","138.34","127.5","181.15","142.5","123.75","116.25","149.59","147.81","122.5","150.0","142.28","147.28","145.66","-3.39","-2.32"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","144.21","144.21","138.95","138.95","141.57","141.54","138.94","141.58","138.95","136.05","138.95","131.57","128.42","138.95","136.04","124.21","124.21","136.9","134.21","147.37","2.0","-7.1"
"31.0","Cooked Beef, Average Hotel","Plate","88.75","85.83","60.0","62.5","78.04","75.0","95.0","70.0","65.0","71.54","65.0","100.0","70.0","116.67","90.0","80.0","140.0","83.14","83.14","79.61","0.0","4.43"
"32.0","Cooked Daal, Average Hotel","Plate","62.5","55.83","35.0","32.5","51.07","42.5","40.0","40.0","40.0","53.08","41.25","50.0","60.0","60.0","47.5","60.0","60.0","48.9","48.9","46.16","0.0","5.94"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","17.5","19.93","20.0","18.5","20.0","15.0","18.62","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.86","18.86","17.38","0.0","8.52"
"34.0","Cigarettes, K-2, 20's","Packet","45.0","45.0","45.0","50.0","45.0","45.0","48.0","43.0","45.0","45.0","46.0","45.0","45.0","45.0","45.0","50.0","40.0","45.41","45.41","38.65","0.0","17.49"
"35.0","Long Cloth","1 mtr","200.0","190.0","137.5","135.0","247.14","237.5","225.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","150.0","170.0","190.0","201.3","199.54","177.48","0.88","13.42"
"36.0","Shirting","1 mtr","180.0","172.5","175.0","175.0","118.57","125.0","140.0","210.0","115.0","143.08","130.0","120.0","130.0","283.33","138.13","160.0","190.0","159.15","158.12","146.6","0.65","8.56"
