"6/3/2013 3:03 PM","","","","","","","","","","","","","","","","","","","",""
"","","","","","Average Monthly Prices of Essential Items for May 2013","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-
age"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","41.25","32.5","32.5","47.86","37.5","32.5","30.0","32.5","36.54","37.5","35.0","46.0","60.0","45.0","55.0","60.0","41.64"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","20.0","20.0","15.0","15.0","18.0","15.0","15.76"
"34.0","Cigarettes, K-2, 20's","Packet","32.0","32.0","32.0","32.0","32.5","32.0","33.0","33.0","32.0","33.0","32.0","33.0","32.0","32.0","32.0","35.0","30.0","32.32"
"35.0","Long Cloth","1 mtr","155.0","145.0","107.5","115.0","187.5","122.5","180.0","225.0","165.0","140.0","180.0","230.0","195.0","250.0","130.0","125.0","190.0","167.21"
"36.0","Shirting","1 mtr","145.0","142.5","147.0","141.0","98.57","125.0","140.0","130.0","115.0","106.15","120.0","120.0","120.0","225.0","113.5","125.0","163.0","133.92"
"37.0","Lawn","1 mtr","167.5","152.5","172.5","172.5","199.93","150.0","175.0","130.0","139.5","170.0","210.0","280.0","230.0","250.0","162.5","130.0","161.0","179.58"
"38.0","Georgette","1 mtr","135.0","132.5","112.0","109.0","85.29","95.0","135.0","90.0","110.0","91.15","100.0","125.0","130.0","106.67","92.5","90.0","95.0","107.89"
"39.0","Sandal Bata (Gents)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","0.0","123.12","0.0","123.12"
"44.0","Kerosene Oil","1 Ltr","120.3","120.3","115.5","120.2","104.0","111.7","105.2","115.8","114.8","120.0","115.0","108.4","130.0","113.67","115.0","103.0","120.0","114.87"
"45.0","Firewood Whole","40 kg","625.0","583.33","625.0","600.0","652.86","550.0","400.0","510.0","500.0","460.0","350.0","350.0","400.0","613.0","425.0","525.0","400.0","504.07"
"46.0","Energy Saver (14 watts)","Each","162.5","162.5","155.0","153.0","165.0","157.5","156.0","160.0","165.0","150.0","155.0","150.0","160.0","160.0","152.5","180.0","150.0","158.47"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","20.0","36.8","20.0","37.0","22.0","18.0","14.0","24.0","18.0","20.0","17.0","20.0","18.0","25.0","21.4"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","2.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.15"
"49.0","Petrol, Super","1 Ltr","97.89","97.89","98.0","100.2","97.94","98.0","99.9","98.7","100.5","97.9","98.6","98.1","100.1","97.9","101.5","97.9","97.9","98.76"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","106.4","106.4","106.5","108.4","106.42","106.5","108.15","107.5","108.6","106.4","107.1","106.5","108.1","106.4","109.1","106.4","106.4","107.13"
"51.0","LPG Cylinder, 11kg","Each","1264.0","1246.0","1166.0","1166.0","1221.0","1340.0","1290.0","1268.0","1364.0","1144.0","1199.0","1287.0","1355.2","1430.0","1262.0","1376.0","1325.0","1276.66"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94"
"53.0","Soap, LifeBuoy","Each","34.4","34.4","33.8","33.8","32.0","32.0","33.2","34.4","34.4","34.4","34.4","32.0","32.0","32.0","32.0","32.0","33.8","33.24"
