"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of December 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Dec 14 Nov 14 Dec 13","","","%change Dec 14 over
Nov 14 Dec 13",""
"1.0","Wheat","10 Kg","363.13","363.13","344.0","369.38","352.5","339.38","327.0","331.25","347.5","345.0","340.0","340.0","312.5","390.0","348.75","385.0","400.0","352.85","354.31","397.43","-0.41","-11.22"
"2.0","Wheat Flour, Bag","10 Kg","403.52","400.73","396.25","398.75","399.0","367.5","392.5","385.0","390.0","430.77","420.0","380.0","380.0","392.08","413.75","410.0","440.0","399.99","402.72","424.59","-0.68","-5.79"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","85.63","80.51","70.0","68.75","75.0","81.25","65.0","77.5","62.5","76.54","77.5","75.0","80.0","74.17","51.0","90.0","60.0","73.55","74.44","74.46","-1.2","-1.22"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","62.19","60.68","47.5","47.5","65.32","65.0","50.88","40.25","52.5","56.54","50.0","52.5","32.0","47.08","52.5","50.0","50.0","51.91","52.32","54.17","-0.78","-4.17"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","39.99","0.0","2.08"
"6.0","Beef With Bone, (AQ)","1 Kg","321.25","317.5","280.0","280.0","328.57","280.0","275.0","293.33","265.0","346.15","300.0","290.0","290.0","274.17","278.75","400.0","320.0","302.34","301.97","283.39","0.12","6.69"
"7.0","Mutton, Average Quality","1 Kg","658.75","658.33","600.0","600.0","681.25","600.0","550.0","593.33","562.5","659.23","575.0","535.0","600.0","590.83","500.0","600.0","520.0","593.19","592.56","556.48","0.11","6.6"
"8.0","Chicken Farm, Broiler, Live","1 Kg","167.61","156.09","148.5","150.5","143.11","146.38","153.25","150.83","149.5","166.64","152.5","164.0","153.75","163.5","176.0","181.25","217.5","161.23","148.98","160.39","8.22","0.52"
"9.0","Milk, Fresh, Unboiled","1 Ltr","89.38","83.33","77.5","70.0","77.21","70.0","60.0","75.0","60.0","84.0","80.0","75.0","80.0","72.5","72.5","90.0","80.0","76.26","76.18","69.11","0.11","10.35"
