"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of January 2016","","","","","","","","","","","","","","","","",""
"28.0","Red Chilly Powder, Loose","1 Kg","326.25","313.33","265.0","252.5","252.14","255.0","291.25","240.0","221.25","326.25","281.25","265.0","237.5","230.0","280.0","310.0","300.0","273.34","271.91","265.85","0.53","2.82"
"29.0","Garlic","1 Kg","271.25","248.54","237.5","237.5","246.43","223.75","232.5","227.5","240.0","287.6","235.63","222.5","205.0","237.92","243.75","207.5","181.25","234.48","205.19","148.78","14.27","57.6"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.45","129.03","0.01","46.84"
"31.0","Cooked Beef, Average Hotel","Plate","92.5","90.83","62.5","62.5","83.04","75.0","100.0","70.0","70.0","75.58","75.94","100.0","100.0","120.0","91.25","85.0","140.0","87.89","85.93","83.14","2.28","5.71"
"32.0","Cooked Daal, Average Hotel","Plate","67.5","60.83","40.0","40.0","61.07","42.5","40.0","40.0","50.0","53.08","51.88","50.0","63.75","60.0","47.5","62.5","80.0","53.57","52.96","48.9","1.15","9.55"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","20.0","17.5","20.0","20.0","20.0","20.0","15.0","21.73","20.0","20.0","22.5","15.0","20.0","21.0","20.0","19.57","19.57","18.7","0.0","4.65"
"34.0","Cigarettes, K-2, 20's","Packet","60.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","57.0","60.0","60.0","57.5","60.0","56.25","55.0","60.0","65.0","59.46","58.21","45.41","2.15","30.94"
"35.0","Long Cloth","1 mtr","205.0","195.0","137.5","135.0","247.14","237.5","235.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","155.0","170.0","190.0","202.77","202.77","199.54","0.0","1.62"
"36.0","Shirting","1 mtr","182.5","175.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","161.94","161.94","156.82","0.0","3.26"
"37.0","Lawn","1 mtr","240.0","220.0","205.0","205.0","261.07","240.0","360.0","150.0","150.0","360.0","240.0","280.0","333.0","360.0","182.5","180.0","165.0","243.03","243.03","239.15","0.0","1.62"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","98.13","105.0","95.0","123.13","123.1","123.1","0.02","0.02"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","501.94","499.59","499.0","0.47","0.59"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","124.18","128.7","","128.42","128.7","124.18","-0.22","3.41"
"44.0","Kerosene Oil","1 Ltr","97.5","95.0","78.0","82.0","64.38","70.0","81.25","70.0","71.0","91.54","85.0","72.5","100.0","80.83","85.0","59.88","70.0","79.64","84.07","93.98","-5.27","-15.26"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","500.0","594.17","625.0","618.27","525.0","400.0","425.0","691.67","490.0","625.0","450.0","602.99","593.62","575.41","1.58","4.79"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","172.5","155.0","175.0","180.0","160.0","180.0","150.0","166.76","166.62","165.44","0.08","0.8"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","20.0","20.0","22.5","30.0","30.0","24.74","24.74","24.35","0.0","1.6"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","1.0","2.5","2.5","2.0","2.5","2.0","2.0","2.25","2.5","2.0","2.0","1.0","1.5","1.99","1.99","1.74","0.0","14.37"
"49.0","Petrol, Super","1 Ltr","76.55","76.55","76.7","78.2","76.61","76.54","78.14","76.95","77.8","76.54","77.2","76.6","77.9","76.55","79.9","76.6","76.6","77.17","77.17","79.07","0.0","-2.4"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","81.14","81.12","81.3","82.9","81.15","81.13","82.55","81.75","82.5","81.88","81.8","81.95","82.5","81.88","83.9","81.2","82.6","81.96","84.75","87.0","-3.29","-5.79"
"51.0","LPG Cylinder, 11kg","Each","1309.38","1285.0","1210.0","1320.0","1086.25","1237.5","1143.75","1175.0","1182.5","1072.5","1100.0","1182.5","1155.0","1320.0","1112.5","1281.25","1100.0","1192.54","1215.28","1561.67","-1.87","-23.64"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","35.5","35.5","37.0","37.0","35.0","37.0","35.5","35.0","35.0","35.0","35.5","35.0","37.0","35.0","36.0","36.0","36.0","35.76","36.2","36.0","-1.22","-0.67"
