"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of January 2016","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Jan 16 Dec 15 Jan 15","","","%change Jan 16 over
Dec 15 Jan 15",""
"1.0","Wheat","10 Kg","355.0","355.0","377.5","380.0","356.25","340.0","335.63","335.0","342.5","370.0","351.88","340.0","321.25","342.5","353.75","375.0","400.0","354.78","353.7","349.85","0.31","1.41"
"2.0","Wheat Flour, Bag","10 Kg","397.97","391.36","387.5","397.5","390.0","385.0","370.0","385.0","390.0","443.46","420.0","388.13","382.5","391.25","406.88","405.0","450.0","398.91","399.0","394.04","-0.02","1.24"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","76.25","70.83","50.0","50.0","53.15","57.5","50.0","63.33","55.0","68.37","65.0","65.0","62.5","67.29","49.0","80.0","50.0","60.78","60.86","72.32","-0.13","-15.96"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","47.5","47.5","46.9","50.0","51.25","35.0","47.5","43.31","40.0","52.5","27.5","41.55","52.5","50.0","40.0","46.22","45.79","51.48","0.94","-10.22"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.82","0.0","0.0"
"6.0","Beef With Bone, (AQ)","1 Kg","338.75","337.5","290.0","300.0","344.29","300.0","287.5","320.0","300.0","348.08","310.0","310.0","300.0","307.5","290.0","400.0","320.0","317.86","317.04","302.56","0.26","5.06"
"7.0","Mutton, Average Quality","1 Kg","720.94","705.83","625.0","650.0","733.93","700.0","600.0","675.0","600.0","667.31","600.0","590.0","600.0","650.0","510.0","600.0","530.0","632.82","627.5","593.35","0.85","6.65"
"8.0","Chicken Farm, Broiler, Live","1 Kg","139.16","120.68","123.25","129.25","122.11","130.13","126.25","140.0","139.0","168.28","160.0","169.0","153.13","136.0","150.75","166.25","195.0","145.19","145.78","161.9","-0.4","-10.32"
"9.0","Milk, Fresh, Unboiled","1 Ltr","96.25","89.17","77.5","70.0","77.21","70.0","65.0","75.0","61.25","84.0","80.0","75.0","80.0","82.5","77.5","90.0","80.0","78.26","78.15","76.26","0.14","2.62"
"10.0","Curd (Dahi)","1 Kg","105.63","100.0","88.5","80.0","83.04","80.0","80.0","90.0","80.0","120.0","106.0","90.0","100.0","90.84","86.25","100.0","90.0","92.37","92.29","89.63","0.09","3.06"
"11.0","Powdered Milk, Nido, Polybag","400 gm","380.0","380.0","380.0","380.0","380.0","380.0","380.0","380.0","380.0","380.0","380.0","380.0","370.0","380.0","365.0","380.0","380.0","378.53","377.88","350.0","0.17","8.15"
"12.0","Eggs Hen, Farm","Dozen","102.32","97.71","102.5","102.5","97.79","103.75","101.0","103.38","99.0","99.52","101.25","106.5","100.0","100.63","104.38","111.25","125.0","103.44","102.8","117.54","0.62","-12.0"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","145.0","150.0","183.93","200.0","177.5","168.33","160.0","168.85","140.0","132.5","200.0","220.0","190.0","190.0","175.0","180.07","180.48","184.68","-0.23","-2.5"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","445.0","445.0","467.0","467.0","465.0","440.0","440.0","465.0","445.0","468.0","469.0","468.0","455.0","455.0","475.0","455.0","440.0","456.71","456.53","513.09","0.04","-10.99"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","440.0","440.0","452.0","452.0","445.0","435.0","445.0","440.0","440.0","453.0","452.0","453.0","440.0","450.0","470.0","445.0","445.0","446.88","447.82","498.61","-0.21","-10.37"
"16.0","Vegetable Ghee (Loose)","1 Kg","146.25","142.08","132.0","135.0","131.21","128.06","125.0","140.92","143.75","140.1","140.0","140.0","105.0","146.67","154.38","150.0","120.0","136.5","136.82","151.33","-0.23","-9.8"
"17.0","Bananas","Dozen","117.35","92.5","63.75","66.25","78.57","55.63","48.75","75.42","55.0","54.28","45.79","55.0","48.75","71.46","61.56","52.5","60.0","64.86","61.78","61.03","4.99","6.28"
"18.0","Pulse Masoor, Washed","1 Kg","160.32","148.81","160.0","160.0","159.46","157.5","165.0","142.5","140.0","140.91","132.5","140.0","126.25","137.92","150.0","150.0","140.0","147.72","146.81","138.72","0.62","6.49"
"19.0","Pulse Moong, Washed","1 Kg","175.31","168.75","160.0","165.0","161.07","161.88","155.0","147.5","155.0","159.14","158.75","155.0","160.0","151.67","150.0","173.75","201.25","162.3","161.71","166.21","0.36","-2.35"
"20.0","Pulse Mash, Washed","1 Kg","266.25","259.58","255.0","250.0","254.29","275.0","265.0","255.0","260.0","258.03","254.53","266.25","260.0","253.33","240.0","275.0","212.5","256.46","248.73","162.03","3.11","58.28"
"21.0","Pulse Gram, Washed","1 Kg","142.5","136.25","117.5","122.5","119.11","116.25","115.0","119.79","120.0","126.35","122.19","125.0","118.13","130.0","120.0","141.25","125.0","124.52","123.38","79.3","0.92","57.02"
"22.0","Potatoes","1 Kg","35.0","28.02","19.38","22.5","21.98","19.38","16.25","17.96","20.0","20.77","20.0","17.5","16.25","28.13","20.94","19.5","21.5","21.47","28.89","29.82","-25.68","-28.0"
"23.0","Onions","1 Kg","58.44","50.21","47.5","50.0","43.12","42.19","37.5","42.08","42.5","38.94","34.06","38.75","40.0","49.58","39.38","38.75","40.0","43.12","49.47","24.06","-12.84","79.22"
"24.0","Tomatoes","1 Kg","57.66","45.31","50.0","46.25","45.58","41.56","32.5","37.5","37.5","30.26","24.22","28.13","33.75","42.92","29.69","36.25","57.5","39.8","62.43","54.48","-36.25","-26.95"
"25.0","Sugar, Refined","1 Kg","63.3","61.88","59.75","60.13","60.93","59.63","59.38","59.38","60.0","58.73","58.29","57.88","57.75","59.92","59.63","60.0","60.0","59.8","57.14","53.92","4.66","10.91"
"26.0","Gur, Average Quality","1 Kg","110.0","95.83","80.0","90.0","87.86","80.0","77.5","72.5","72.5","90.48","105.0","75.0","71.88","92.92","91.88","90.0","85.0","86.37","86.45","81.41","-0.09","6.09"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.47","10.45","9.99","0.19","4.8"
