"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of August 2018","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Aug 18 Jul 18 Aug 17","","","%change Aug 18 over
Jul 18 Aug 17",""
"1.0","Wheat","10 Kg","330.0","330.0","312.5","325.0","335.0","330.0","320.0","325.0","328.44","372.5","340.0","325.0","305.0","350.0","322.5","350.0","350.0","332.41","331.58","318.66","0.25","4.31"
"2.0","Wheat Flour, Bag","10 Kg","385.94","381.88","370.0","367.5","380.0","380.0","350.0","370.0","387.5","435.67","420.0","377.5","367.5","391.67","400.0","400.0","390.0","385.6","385.23","360.86","0.1","6.86"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","96.88","89.38","66.25","66.25","74.82","100.0","61.25","87.5","60.0","82.6","83.75","65.0","75.0","82.33","53.75","85.0","60.0","75.87","75.42","70.05","0.6","8.31"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","57.5","60.0","47.5","57.0","60.0","70.0","52.5","47.5","53.31","48.0","52.5","35.5","53.98","57.5","50.0","55.0","53.99","53.62","50.15","0.69","7.66"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","40.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","36.25","35.0","40.0","35.0","42.63","42.56","41.12","0.16","3.67"
"6.0","Beef With Bone, (AQ)","1 Kg","438.75","419.58","350.0","350.0","381.96","350.0","400.0","380.0","365.0","453.85","380.0","350.0","335.0","350.83","330.0","380.0","350.0","374.41","372.3","341.31","0.57","9.7"
"7.0","Mutton, Average Quality","1 Kg","920.63","903.33","700.0","700.0","869.64","850.0","850.0","825.0","725.0","872.12","775.0","750.0","770.0","791.67","600.0","775.0","625.0","782.49","781.1","706.9","0.18","10.69"
"8.0","Chicken Farm, Broiler, Live","1 Kg","125.75","112.4","107.25","112.0","104.5","105.13","105.63","117.5","106.5","129.06","121.56","132.5","112.5","115.0","124.25","181.25","175.0","122.81","159.78","136.95","-23.14","-10.32"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","100.83","80.0","80.0","77.21","85.0","70.0","82.5","67.5","94.19","94.0","80.0","90.0","91.67","82.5","95.0","80.0","85.46","85.2","81.89","0.31","4.36"
"10.0","Curd (Dahi)","1 Kg","116.25","112.92","100.0","90.0","90.0","95.0","90.0","97.5","80.0","140.96","135.0","95.0","95.0","105.83","90.0","110.0","90.0","101.97","101.67","97.95","0.3","4.1"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","389.74","379.49","392.0","389.74","379.48","389.74","389.7","379.49","379.48","389.74","389.74","370.0","379.48","389.74","380.0","385.12","385.12","372.9","0.0","3.28"
"12.0","Eggs Hen, Farm","Dozen","97.97","94.44","93.75","100.0","92.0","95.25","94.0","92.5","93.5","105.6","107.19","105.0","80.0","99.17","100.0","106.25","82.5","96.42","98.05","97.0","-1.66","-0.6"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","231.67","161.25","160.0","183.93","210.0","195.0","184.17","170.0","184.86","160.0","150.0","190.0","220.0","165.0","190.0","195.0","187.7","187.15","182.54","0.29","2.83"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","485.0","485.0","485.0","467.0","480.0","480.0","485.0","485.0","475.0","491.0","491.5","473.0","480.0","485.0","483.0","465.0","460.0","479.74","478.18","470.53","0.33","1.96"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","480.0","480.0","480.0","470.0","470.0","475.0","475.0","477.5","470.0","486.0","486.0","460.0","470.0","480.0","475.0","465.0","455.0","473.79","472.53","463.53","0.27","2.21"
"16.0","Vegetable Ghee (Loose)","1 Kg","153.75","150.84","147.5","146.88","144.36","140.0","142.75","155.75","155.0","155.0","180.0","145.0","130.0","166.46","165.0","150.0","125.0","150.19","149.44","145.3","0.5","3.37"
"17.0","Bananas","Dozen","124.38","86.04","62.5","60.0","67.86","50.0","57.5","76.25","87.5","63.32","57.5","80.0","78.13","79.17","70.0","85.0","78.75","74.35","86.44","76.06","-13.99","-2.25"
"18.0","Pulse Masoor, Washed","1 Kg","129.38","112.92","140.0","150.0","133.93","110.0","150.0","100.83","105.0","100.0","97.5","95.0","83.75","87.42","100.0","130.0","100.0","113.28","112.34","122.13","0.84","-7.25"
"19.0","Pulse Moong, Washed","1 Kg","129.38","114.58","100.0","110.0","123.93","110.0","105.0","100.0","120.0","119.33","116.25","125.0","106.25","106.67","96.25","155.0","100.0","113.98","114.0","123.88","-0.02","-7.99"
"20.0","Pulse Mash, Washed","1 Kg","155.78","140.0","140.0","150.0","170.89","145.0","175.0","121.88","125.0","122.69","120.0","120.0","108.75","124.08","122.5","215.0","230.0","146.27","148.57","187.04","-1.55","-21.8"
"21.0","Pulse Gram, Washed","1 Kg","134.38","121.77","104.38","111.25","118.93","110.0","100.0","107.29","120.0","119.14","120.31","115.0","103.13","117.17","111.25","151.25","125.0","117.07","115.1","122.04","1.71","-4.07"
"22.0","Potatoes","1 Kg","45.0","40.83","40.0","45.0","34.29","44.38","38.75","30.0","28.75","28.56","26.25","20.0","24.38","31.88","32.5","30.0","25.25","33.28","32.86","38.72","1.28","-14.05"
"23.0","Onions","1 Kg","56.88","50.73","44.38","50.0","46.61","46.88","40.0","39.38","45.0","38.61","37.04","31.25","37.5","43.08","47.5","35.0","23.0","41.93","34.51","46.37","21.5","-9.58"
"24.0","Tomatoes","1 Kg","82.97","70.11","88.75","67.5","77.77","82.5","60.0","63.13","77.5","74.76","71.41","48.75","72.5","60.0","56.25","55.0","43.75","67.8","56.83","57.85","19.3","17.2"
"25.0","Sugar, Refined","1 Kg","60.5","56.92","55.0","54.75","57.14","54.75","54.25","54.25","55.0","56.5","55.0","53.25","55.0","56.96","55.0","55.75","55.0","55.59","55.21","56.88","0.69","-2.27"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","70.0","70.0","92.32","78.75","80.0","71.46","77.5","86.45","76.25","81.25","75.0","86.67","82.5","90.0","83.75","82.92","81.09","84.66","2.26","-2.06"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","20.0","10.0","10.0","10.0","12.0","12.0","13.5","10.0","10.0","15.0","12.0","10.0","10.0","11.68","11.59","10.71","0.78","9.06"
