"","","","","","","","AVERAGE MONTHLY PRICES OF ESSENTIAL ITEMS, JUNE 2012","","","","","","","","","","","","","",""
"SL
NO","","DESCRIPTION","UNIT","ISLAM-
ABAD","RAWAL-
PINDI","GUJRAN-
WALA","SIAL-
KOT","LAHORE","FAISAL-
ABAD","SAR-
GODHA","MUL-
TAN","BAHA-
WALPUR","KARA-
CHI","HYDER-
ABAD","SUKKUR","LAR-
KANA","PESHA-
WAR","BANNU","QUETTA","KHUZ-
DAR","AVERAGE"
"32.0","COOKED DAL PLATE","","EACH","46.25","41.25","30.0","32.5","41.79","37.5","32.5","30.0","32.5","35.0","37.04","35.0","40.0","60.0","40.0","45.0","50.0","39.2"
"33.0","TEA PREPARED (SADA)","","CUP","15.0","15.0","15.0","15.0","14.57","15.0","12.0","15.0","14.0","15.0","14.5","15.0","20.0","15.0","11.0","18.0","15.0","14.95"
"34.0","CIGARETTES K-2 (20's)","","20'S","32.0","32.0","32.0","32.0","31.13","32.0","30.0","32.0","31.75","33.0","32.0","31.5","30.0","31.75","31.5","30.0","30.0","31.45"
"35.0","LONG CLOTH","","MTR","132.5","125.0","97.5","95.0","177.5","95.0","157.5","225.0","135.0","140.0","170.0","150.0","175.0","150.0","100.63","110.0","135.0","139.45"
"36.0","SHIRTING","","MTR","125.0","122.5","130.0","125.0","87.5","125.0","130.0","130.0","95.0","92.69","110.0","85.0","90.0","148.33","92.5","125.0","130.0","114.32"
"37.0","LAWN","","MTR","146.25","133.75","162.5","125.0","192.5","125.0","175.0","130.0","136.5","160.0","210.0","225.0","190.0","250.0","123.75","105.0","105.0","158.55"
"38.0","GEORGETTE","","MTR","115.0","112.5","92.5","95.0","82.86","95.0","120.0","80.0","85.0","91.15","100.0","85.0","120.0","85.0","90.0","90.0","90.0","95.82"
"39.0","SANDAL GENTS BATA","","PAIR","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"40.0","CHAPPAL SPNG.BATA","(GENTS)","PAIR","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","SANDAL LADIES BATA","","PAIR","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0"
"42.0","ELECTRIC CHARGES","","UNIT","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","GAS CHARGES UPTO 100M3","","MMBTU","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","0.0","142.62","0.0","142.62"
"44.0","KEROSENE","","LTR","112.5","112.5","107.0","110.5","103.5","110.0","102.75","112.5","112.5","116.5","112.5","107.5","117.5","107.5","111.0","105.25","101.0","109.56"
"45.0","FIREWOOD","","40KG","505.0","462.5","600.0","560.0","596.79","525.0","380.0","475.0","500.0","436.15","320.0","340.0","400.0","603.33","372.5","525.0","475.0","475.08"
"46.0","ENERGY SAVOR 14 WATS","","EACH","157.5","157.5","145.0","145.0","145.0","140.0","125.0","150.0","150.0","145.0","150.0","145.0","140.0","160.0","145.0","140.0","140.0","145.88"
"47.0","WASHING SOAP (200-250 GM.)","","CAKE","19.0","19.0","15.25","17.0","36.0","20.0","25.0","22.0","16.0","13.5","24.0","18.0","15.5","17.0","15.5","18.0","25.0","19.75"
"48.0","MATCH BOX","","EACH","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.09"
"49.0","PETROL","","LTR","95.07","95.04","95.3","96.4","95.1","95.35","96.45","95.71","97.51","95.06","95.9","95.17","96.2","95.07","98.5","95.05","96.45","95.84"
"50.0","DIESEL","","LTR","103.04","103.0","103.3","104.05","103.09","103.2","104.2","103.6","105.05","103.0","103.7","103.2","104.2","103.05","105.65","103.05","104.42","103.7"
"51.0","L.P.G.( 11 KG CYLENDER.)","","EACH","1320.0","1300.0","1306.25","1251.25","1251.25","1350.0","1287.5","1300.0","1402.5","1168.75","1196.25","1155.0","1215.5","1320.0","1280.0","1485.0","1421.25","1294.74"
"52.0","TELE. LOCAL CALL","","EACH","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59"
"53.0","BATH SOAP LIFEBOUY (STANDARD)","","CAKE","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
