"","","","","","","AVERAGE","","MONTLY PRICES OF ESSENTIAL ITEMS, FEBRUARY","","","","","","2012.0","","","","","","",""
"SL
NO","","DESCRIPTION","UNIT","ISLAM-
ABAD","RAWAL- GUJRAN-
PINDI WALA","","SIAL-
KOT","LAHORE","FAISAL-
ABAD","SAR-
GODHA","MUL-
TAN","BAHA-
WALPUR","KARA-
CHI","HYDER-
ABAD","SUKKUR","LAR-
KANA","PESHA-
WAR","BANNU","QUETTA","KHUZ-
DAR","AVERAGE"
"32.0","COOKED DAL PLATE","","EACH","41.88","38.75","30.0","32.5","36.79","35.0","30.0","30.0","32.5","33.27","33.75","35.0","40.0","56.67","37.5","45.0","50.0","37.57"
"33.0","TEA PREPARED (SADA)","","CUP","15.0","15.0","15.0","15.0","13.5","15.0","12.0","15.0","13.0","14.66","13.5","16.25","20.0","11.0","11.0","18.0","15.0","14.58"
"34.0","CIGARETTES K-2 (20's)","","20'S","30.0","30.0","28.5","28.5","29.0","29.0","28.5","28.5","28.5","30.0","28.5","30.0","30.0","30.0","31.0","29.5","30.0","29.38"
"35.0","LONG CLOTH (COARSE LATHA)","","MTR.","122.5","115.0","92.5","95.0","125.63","95.0","127.5","110.0","135.0","94.52","108.13","125.0","130.0","126.67","100.0","85.63","105.0","111.36"
"36.0","SHIRTING","","MTR.","113.75","112.5","130.0","125.0","87.5","125.0","130.0","130.0","85.0","92.69","95.0","85.0","90.0","137.5","85.0","105.0","130.0","109.35"
"37.0","LAWN","","MTR.","97.5","92.5","150.0","105.0","122.5","112.5","105.0","130.0","117.0","120.0","112.5","120.0","175.0","120.0","107.5","97.5","90.0","116.15"
"38.0","GEORGETTE (VOIL PRINTED)","","MTR.","105.0","102.5","82.5","82.5","82.86","95.0","107.5","80.0","80.0","91.15","87.5","85.0","95.0","85.0","86.25","82.5","85.0","89.13"
"39.0","SANDAL GENTS BATA","","PAIR","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"40.0","CHAPPAL SPNG.BATA","(GENTS)","PAIR","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0"
"41.0","SANDAL LADIES BATA","","PAIR","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0"
"42.0","ELECTRIC CHARGES","","UNIT","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87"
"43.0","GAS CHARGES","","MMBTU","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","0.0","142.62","0.0","142.62"
"44.0","KEROSENE","","LITR","110.0","110.0","112.13","108.0","103.75","104.0","101.0","105.0","108.0","105.0","106.75","106.88","114.5","109.58","108.0","101.0","101.28","106.76"
"45.0","FIREWOOD","","40KG","495.0","456.25","600.0","560.0","585.71","510.0","350.0","475.0","490.0","436.15","320.0","325.0","400.0","595.84","315.0","525.0","450.0","464.06"
"46.0","ENERGY SAVOR 14 WATS","","EACH","152.5","152.5","140.0","140.0","145.0","130.0","125.0","140.0","150.0","145.0","137.5","145.0","132.5","160.0","145.0","130.0","130.0","141.18"
"47.0","WASHING SOAP (200-250 GM.)","","CAKE","19.0","19.0","15.0","17.0","24.0","20.0","24.0","22.0","15.0","12.0","14.25","18.0","15.5","16.33","15.5","18.0","25.0","18.21"
"48.0","MATCH BOX","","EACH","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.06"
"49.0","PETROL","","LITR","95.2","95.15","95.37","96.5","95.27","95.33","96.45","95.71","97.65","95.2","95.82","95.4","96.3","95.2","98.5","95.15","97.94","96.01"
"50.0","DIESEL","","LITR","103.75","103.75","103.91","104.8","103.82","103.9","104.9","104.3","105.75","103.75","104.4","103.9","104.93","103.8","106.3","103.7","105.1","104.4"
"51.0","L.P.G.( 11 KG CYLENDER.)","","EACH","1612.5","1602.5","1611.25","1622.5","1595.0","1700.0","1600.0","1645.0","1732.5","1471.25","1526.25","1503.75","1578.5","1677.5","1637.5","1493.75","1562.5","1598.37"
"52.0","TELE. LOCAL CALL","","CALL","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59"
"53.0","BATH SOAP LIFEBOUY (STANDARD)","","CAKE","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.5","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.03"
