"","","","","","","","","Average Monthly Prices of 53 Items for the Month of December 2016","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Dec 16 Nov 16 Dec 15","","","%change November 2016 over
Nov 16 Dec 15",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","10.0","10.0","10.0","12.0","10.0","10.0","10.59","10.59","10.45","0.0","1.34"
"28.0","Red Chilly Powder, Loose","1 Kg","307.5","265.33","260.0","280.0","272.14","280.0","296.0","237.5","225.0","311.63","283.75","265.0","257.0","236.67","271.0","310.0","300.0","274.03","276.94","271.91","-1.05","0.78"
"29.0","Garlic","1 Kg","338.5","311.83","296.0","300.0","316.15","308.0","298.0","305.0","320.0","279.54","299.0","290.0","275.0","307.34","313.5","292.0","290.0","302.34","293.87","205.19","2.88","47.35"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","178.95","178.95","178.94","178.95","179.0","178.95","178.95","178.95","178.95","174.74","175.54","178.94","178.94","174.74","166.31","170.52","157.89","175.78","158.21","189.45","11.11","-7.22"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","62.5","62.5","102.86","75.0","100.0","80.0","70.0","83.85","75.94","100.0","100.0","120.0","100.0","90.0","140.0","92.61","92.39","85.93","0.24","7.77"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","47.5","45.0","40.0","50.0","61.15","51.88","50.0","65.0","60.0","50.0","65.0","80.0","56.91","56.91","52.96","0.0","7.46"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","17.5","20.0","20.0","20.0","20.0","15.0","21.73","20.0","22.0","27.5","15.0","20.0","21.0","20.0","20.28","19.94","19.57","1.71","3.63"
"34.0","Cigarettes, K-2, 20's","Packet","67.0","67.0","73.0","65.0","65.0","68.0","65.0","62.0","57.0","65.0","65.0","65.0","62.0","70.0","63.2","70.0","65.0","65.54","64.47","58.21","1.66","12.59"
"35.0","Long Cloth, 57"", (SN)","1 mtr","205.0","195.0","137.5","135.0","257.14","237.5","235.0","250.0","180.0","170.0","240.0","230.0","200.0","300.0","157.5","170.0","195.0","205.57","205.57","202.77","0.0","1.38"
"36.0","Shirting, (AQ), (SN)","1 mtr","192.5","185.0","175.0","175.0","138.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","164.3","164.3","161.94","0.0","1.46"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","281.07","240.0","360.0","150.0","169.0","415.0","280.0","280.0","333.0","360.0","187.5","180.0","165.0","251.21","251.21","243.03","0.0","3.37"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","120.54","160.0","135.0","105.0","110.0","114.62","120.0","125.0","130.0","120.0","100.0","105.0","95.0","124.13","124.03","123.1","0.08","0.84"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.0","0.0","0.05"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","499.59","0.0","0.56"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","98.75","95.0","75.0","77.0","90.0","69.0","75.0","67.5","66.0","97.12","80.0","69.5","85.0","84.34","85.0","55.0","50.0","77.6","77.05","84.07","0.71","-7.7"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","700.0","720.0","600.0","500.0","606.67","625.0","644.23","550.0","400.0","450.0","707.5","493.0","625.0","475.0","607.39","600.91","593.62","1.08","2.32"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","190.0","155.0","175.0","180.0","160.0","180.0","150.0","167.79","167.79","166.62","0.0","0.7"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","24.74","0.0","4.73"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.0","2.5","2.8","2.0","2.5","2.0","2.0","2.5","2.5","2.0","2.5","1.4","1.5","2.13","2.09","1.99","1.91","7.04"
"49.0","Petrol, Super","1 Ltr","66.51","66.51","66.61","67.5","66.63","66.6","66.76","66.54","67.15","66.52","66.95","66.52","68.1","66.53","68.9","66.5","68.78","67.04","65.13","77.17","2.93","-13.13"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","75.5","75.5","75.55","76.6","75.58","75.6","75.77","75.54","76.35","75.5","76.0","75.49","77.0","75.51","78.4","75.5","78.32","76.1","73.45","84.75","3.61","-10.21"
"51.0","LPG Cylinder, 11kg","Each","1230.00 1200.00 1045.00 1166.00 1078.00 1185.00 1095.00 1056.00 1100.00 1012.00 1100.00 1232.00 1210.00 1320.00 1128.00 1295.00 1100.00 1150.12 1169.12 1215.28","","","","","","","","","","","","","","","","","","","","-1.63","-5.36"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","38.8","38.2","37.0","37.0","37.0","37.0","36.0","36.0","36.0","37.0","36.82","36.2","0.49","2.21"
