"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of April 2018","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-war","Bannu","Quetta","Khuz-dar","Average Prices
18 Mar 18","Apr
Apr 17","","%change Apr 18 over
Mar 18 Apr 17",""
"1.0","Wheat","10 Kg","341.25","341.25","337.0","350.0","347.53","326.25","306.25","307.5","306.25","365.0","303.75","337.5","308.75","347.5","336.25","350.0","350.0","333.06","341.9","337.46","-2.59","-1.3"
"2.0","Wheat Flour, Bag","10 Kg","383.6","375.94","360.0","370.0","380.0","378.75","333.13","350.0","365.0","423.27","415.0","360.0","356.25","372.92","400.0","400.0","375.0","376.4","384.16","379.4","-2.02","-0.79"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","89.38","83.33","65.0","65.0","74.82","95.0","60.0","87.5","60.0","80.38","82.5","65.0","75.0","82.33","51.25","90.0","60.0","74.5","73.94","66.91","0.76","11.34"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","60.0","47.5","57.0","60.0","70.0","43.75","47.5","53.27","45.0","52.5","35.5","47.5","57.5","50.0","50.0","52.34","52.01","49.67","0.63","5.38"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","40.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","35.0","35.0","40.0","35.0","42.56","42.56","41.12","0.0","3.5"
"6.0","Beef With Bone, (AQ)","1 Kg","402.5","380.0","350.0","350.0","381.96","350.0","350.0","359.17","365.0","431.35","380.0","325.0","310.0","340.42","320.0","380.0","320.0","358.55","350.42","332.07","2.32","7.97"
"7.0","Mutton, Average Quality","1 Kg","895.0","881.14","700.0","700.0","844.64","850.0","793.75","800.0","725.0","872.12","775.0","700.0","725.0","741.67","575.0","725.0","625.0","760.49","744.88","679.36","2.1","11.94"
"8.0","Chicken Farm, Broiler, Live","1 Kg","172.72","157.58","162.0","167.25","159.5","164.5","165.0","173.75","163.5","205.35","189.38","196.5","187.5","171.75","198.75","175.0","183.75","176.1","168.86","167.88","4.29","4.9"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","96.25","80.0","80.0","77.21","80.0","70.0","82.5","67.5","94.19","94.0","80.0","80.0","84.17","82.5","93.75","80.0","83.8","82.5","81.19","1.58","3.21"
"10.0","Curd (Dahi)","1 Kg","116.25","107.92","100.0","90.0","90.0","95.0","90.0","97.5","80.0","140.96","135.0","95.0","95.0","98.33","90.0","107.5","90.0","101.09","99.12","95.75","1.99","5.58"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","389.74","379.49","392.0","389.74","379.48","389.74","389.7","379.49","379.48","389.74","389.74","370.0","365.0","389.74","380.0","384.27","384.27","371.91","0.0","3.32"
"12.0","Eggs Hen, Farm","Dozen","92.27","86.13","87.38","90.0","84.5","85.0","86.25","85.83","85.13","92.06","88.75","95.0","88.75","93.33","90.63","120.0","82.5","90.21","94.72","84.06","-4.76","7.32"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","231.67","160.0","160.0","183.93","200.0","178.75","184.17","170.0","184.62","152.5","135.0","190.0","220.0","165.0","190.0","175.0","183.57","183.55","181.49","0.01","1.15"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","480.0","480.0","485.0","467.0","480.0","480.0","482.5","480.0","483.75","478.0","478.0","470.5","475.0","472.5","478.25","445.0","460.0","475.03","471.0","466.94","0.86","1.73"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","475.0","475.0","480.0","470.0","470.0","475.0","473.75","475.0","478.75","473.0","473.0","456.5","465.0","472.5","470.0","440.0","455.0","469.26","464.35","460.18","1.06","1.97"
"16.0","Vegetable Ghee (Loose)","1 Kg","152.81","150.0","140.0","143.75","144.36","140.75","140.0","155.0","155.0","150.58","180.0","145.0","130.0","160.0","163.75","130.0","120.0","147.12","145.73","145.97","0.95","0.79"
"17.0","Bananas","Dozen","147.66","114.06","80.63","92.5","107.68","65.0","80.0","92.5","70.0","72.02","65.63","77.5","50.0","83.33","100.63","75.0","55.0","84.07","81.13","84.18","3.62","-0.13"
"18.0","Pulse Masoor, Washed","1 Kg","128.75","110.42","140.0","150.0","131.43","107.5","155.0","100.83","107.5","104.81","97.5","102.5","92.5","82.84","100.0","123.75","90.0","113.25","115.41","127.5","-1.87","-11.18"
"19.0","Pulse Moong, Washed","1 Kg","133.13","127.08","110.0","110.0","121.43","110.0","110.0","100.0","115.0","121.15","111.1","125.0","102.5","100.84","105.0","156.25","100.0","115.2","116.21","128.46","-0.87","-10.32"
"20.0","Pulse Mash, Washed","1 Kg","163.13","145.83","150.0","150.0","188.93","162.5","175.0","124.17","125.0","124.23","121.25","120.0","110.0","119.33","122.5","185.0","230.0","148.05","151.17","190.4","-2.06","-22.24"
"21.0","Pulse Gram, Washed","1 Kg","133.75","120.0","99.69","107.5","116.43","105.0","100.0","102.5","115.0","121.54","116.25","120.0","111.25","116.0","101.88","145.0","120.0","114.81","114.75","128.14","0.05","-10.4"
"22.0","Potatoes","1 Kg","37.04","30.0","23.75","22.5","23.39","20.31","15.0","21.04","20.0","23.18","21.25","18.75","18.75","26.25","20.0","27.5","28.25","23.35","23.98","29.36","-2.63","-20.47"
"23.0","Onions","1 Kg","47.35","37.92","30.0","32.5","30.09","28.75","25.0","26.25","27.5","23.92","21.25","25.0","27.5","38.33","32.5","30.0","28.75","30.15","33.11","32.44","-8.94","-7.06"
"24.0","Tomatoes","1 Kg","52.81","42.81","42.5","43.75","42.41","37.5","35.0","29.17","27.5","24.4","21.1","19.38","18.13","36.25","32.5","35.0","25.0","33.25","31.8","57.12","4.56","-41.79"
"25.0","Sugar, Refined","1 Kg","57.82","53.83","53.25","53.0","54.64","52.0","51.38","52.0","52.13","54.51","52.38","51.5","50.5","52.63","52.13","54.75","50.0","52.85","51.33","59.97","2.96","-11.87"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","62.5","70.0","84.29","67.5","70.0","56.25","61.25","82.74","76.25","60.0","59.38","82.5","82.5","87.5","77.5","75.76","76.32","83.44","-0.73","-9.2"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","17.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","13.75","12.0","10.0","10.0","11.34","11.12","10.71","1.98","5.88"
"28.0","Red Chilly Powder, Loose","1 Kg","317.5","291.46","251.25","260.0","270.36","280.0","282.5","258.75","247.5","296.92","277.5","250.0","237.5","241.67","230.0","310.0","290.0","270.17","260.23","264.22","3.82","2.25"
"29.0","Garlic","1 Kg","188.75","153.13","125.0","126.25","142.68","150.0","76.25","140.0","87.5","159.14","151.25","133.75","107.5","185.0","151.25","197.5","188.75","144.92","174.45","251.81","-16.93","-42.45"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","197.37","197.37","194.74","194.74","194.74","194.74","194.74","194.74","195.0","194.74","194.73","194.73","194.73","194.76","194.73","194.73","194.73","195.06","193.34","201.42","0.89","-3.16"
"31.0","Cooked Beef, Average Hotel","Plate","115.0","113.33","120.0","115.0","115.0","135.0","100.0","95.0","125.0","93.08","80.0","100.0","100.0","120.0","105.0","90.0","140.0","109.49","103.91","93.51","5.37","17.09"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","45.0","55.0","67.32","55.0","50.0","40.0","60.0","61.54","60.0","70.0","65.0","60.0","50.0","65.0","80.0","61.08","58.29","56.94","4.79","7.27"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.0","22.5","20.0","20.0","22.5","21.73","23.75","25.0","27.5","15.0","20.0","21.0","20.0","21.41","21.19","20.68","1.04","3.53"
"34.0","Cigarettes, K-2, 20's","Packet","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","55.0","50.0","50.0","50.0","55.0","58.75","50.0","50.0","51.1","50.76","67.35","0.67","-24.13"
"35.0","Long Cloth","1 mtr","225.0","215.0","162.5","160.0","267.5","237.5","245.0","260.0","180.0","180.0","240.0","265.0","200.0","333.33","157.5","210.0","195.0","219.61","214.02","205.87","2.61","6.67"
"36.0","Shirting","1 mtr","216.88","205.0","180.0","180.0","155.0","125.0","150.0","240.0","120.0","166.15","140.0","147.5","157.5","297.92","147.5","160.0","190.0","175.2","171.06","164.78","2.42","6.32"
"37.0","Lawn","1 mtr","240.0","220.0","217.5","220.0","305.0","280.0","393.34","200.0","169.0","415.0","280.0","327.5","366.66","384.75","187.5","200.0","165.0","268.9","258.75","251.91","3.92","6.74"
"38.0","Georgette","1 mtr","165.0","162.92","150.0","140.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","137.5","130.0","123.33","100.0","105.0","117.5","130.75","128.32","124.55","1.89","4.98"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","194.0","194.0","194.0","194.0","194.0","194.0","194.0","194.0","194.0","194.39","194.0","194.0","194.0","194.0","194.0","194.0","194.0","194.02","179.09","179.09","8.34","8.34"
