"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of April 2018","","","","","","","","","","","","","","","","",""
"41.0","Sandal Bata (Ladies)","Pair","574.0","574.0","574.0","574.0","574.0","574.0","574.0","574.0","586.5","575.92","574.0","574.0","574.0","574.0","574.0","574.0","574.0","574.85","502.39","502.39","14.42","14.42"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","128.75","126.25","116.0","117.0","125.0","110.0","110.0","107.92","125.0","131.63","108.0","115.0","130.0","113.33","116.0","89.0","88.0","115.11","115.11","78.88","0.0","45.93"
"45.0","Firewood Whole","40 Kg","787.5","741.67","750.0","700.0","764.29","600.0","550.0","646.67","625.0","651.92","550.0","400.0","450.0","729.17","500.0","650.0","550.0","626.25","633.0","610.56","-1.07","2.57"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","158.75","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","180.0","180.0","170.0","180.0","150.0","170.51","170.15","167.79","0.21","1.62"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","40.0","22.0","40.0","25.0","40.0","22.0","20.0","14.0","30.0","26.0","30.0","20.0","22.5","30.0","40.0","27.74","26.15","25.91","6.08","7.06"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","2.0","2.5","2.0","2.0","2.5","2.5","2.0","3.0","2.0","1.5","2.26","2.26","2.18","0.0","3.67"
"49.0","Petrol, Super","1 Ltr","86.46","86.45","86.48","88.2","86.36","86.4","86.61","86.46","87.4","86.46","87.14","86.48","86.9","86.46","88.4","86.31","89.7","86.98","88.99","74.85","-2.26","16.21"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","96.94","96.43","96.95","98.2","96.8","96.94","97.09","96.94","97.96","96.94","97.0","96.94","97.1","96.94","99.0","96.75","99.98","97.35","99.4","83.97","-2.06","15.93"
"51.0","LPG Cylinder, 11kg","Each","1295.0","1275.0","1045.0","1100.0","1100.0","1187.5","1081.25","1100.0","1155.0","1155.0","1210.0","1210.0","1320.0","1210.0","1106.25","1275.0","1187.5","1177.21","1190.0","1089.3","-1.07","8.07"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","38.0","38.0","38.0","38.0","38.0","42.0","42.0","38.0","38.0","38.0","38.0","38.0","40.0","38.0","40.0","42.0","42.0","39.18","39.41","39.12","-0.58","0.15"
