"01/02/2013 14:50","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Average Monthly Prices of Essential Items January 2013","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-
age"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","41.25","30.0","32.5","41.79","37.5","32.5","30.0","32.5","35.31","37.5","35.0","40.0","60.0","42.5","55.0","50.0","39.98"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","14.57","15.0","15.0","15.0","14.0","15.0","15.0","15.0","20.0","15.0","13.5","18.0","15.0","15.3"
"34.0","Cigarettes, K-2, 20's","Packet","32.0","32.0","32.0","32.0","32.5","32.0","33.0","32.0","32.0","33.0","32.0","33.0","33.0","32.0","32.0","35.0","30.0","32.32"
"35.0","Long Cloth","1 mtr","132.5","125.0","97.5","115.0","187.5","95.0","175.0","225.0","135.0","140.0","170.0","150.0","190.0","203.0","115.0","125.0","143.75","148.49"
"36.0","Shirting","1 mtr","125.0","122.5","140.0","125.0","87.5","125.0","140.0","130.0","105.0","106.15","120.0","106.0","115.0","197.0","102.0","125.0","151.25","124.85"
"37.0","Lawn","1 mtr","146.25","133.75","162.5","125.0","192.5","125.0","170.0","130.0","136.5","160.0","210.0","225.0","200.0","250.0","130.0","126.0","115.0","161.03"
"38.0","Georgette","1 mtr","115.0","112.5","105.0","105.0","82.86","95.0","135.0","90.0","110.0","91.15","100.0","109.0","120.0","90.0","92.5","90.0","97.5","102.38"
"39.0","Sandal Bata (Gents)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","0.0","123.12","0.0","123.12"
"44.0","Kerosene Oil","1 Ltr","121.6","121.6","119.4","121.4","109.1","117.4","105.0","120.4","118.95","120.0","116.8","115.0","130.0","118.8","122.0","107.8","120.0","117.96"
"45.0","Firewood Whole","40 kg","625.0","583.33","625.0","596.0","630.0","530.0","400.0","506.0","500.0","456.0","340.0","348.0","400.0","625.66","400.0","525.0","450.0","502.35"
"46.0","Energy Saver (14 watts)","Each","157.5","157.5","145.0","145.0","145.0","150.0","144.5","150.0","159.0","150.0","150.0","147.0","148.0","160.0","145.0","176.0","150.0","151.74"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","17.0","36.0","20.0","37.0","22.0","18.0","14.0","24.0","18.0","20.0","17.0","18.0","18.0","25.0","21.06"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.09"
"49.0","Petrol, Super","1 Ltr","102.41","102.41","102.58","104.58","102.43","102.54","104.38","102.46","104.98","102.38","103.62","102.54","103.78","102.48","105.98","103.04","104.06","103.33"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","110.11","110.09","110.34","112.04","110.12","110.3","111.84","110.14","112.14","110.04","110.92","110.24","111.58","109.92","112.74","110.74","112.24","110.91"
"51.0","LPG Cylinder, 11kg","Each","1850.0","1830.0","2046.0","1980.0","1925.0","2020.0","1940.0","1988.0","2002.0","1661.0","1749.0","1859.0","1793.0","2068.0","1878.0","1600.0","1765.0","1879.65"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.66","3.66","3.66","3.66","3.66","3.66","3.66","3.66","3.66","3.66","3.66","3.66","3.66","3.66","3.66","3.66","3.66","3.66"
"53.0","Soap, LifeBuoy","Each","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
