"7/1/2014 12:51 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","Average Monthly Prices of 53 Essential Items for the month of June 2014","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-war","Bannu","Quetta","Khuzdar","Average Prices
May 14","June 13","June 14","%change June 14 over
May 14 June 13",""
"27.0","Salt Powder, Loose, Lahori","1 kg","11.0","10.83","10.0","9.0","10.0","8.75","10.0","9.0","10.0","12.0","10.0","8.5","10.0","10.0","8.0","10.0","10.0","9.83","9.75","9.04","0.82","8.74"
"28.0","Red Chilly Powder, Loose","1 kg","275.0","261.67","280.0","240.0","263.93","210.0","247.5","235.0","210.0","286.15","258.13","250.0","205.0","199.17","252.5","290.0","200.0","244.94","228.87","215.19","7.02","13.82"
"29.0","Garlic","1 kg","150.0","124.17","105.0","120.0","117.86","106.25","95.0","91.46","102.5","125.38","125.0","105.0","78.75","94.17","139.38","160.0","155.0","117.35","120.6","118.72","-2.69","-1.15"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","130.68","169.81","-4.95","-26.85"
"31.0","Cooked Beef, Average Hotel","Plate","83.75","81.25","60.0","62.5","78.04","75.0","87.5","70.0","65.0","71.54","61.88","100.0","70.0","110.0","90.0","80.0","140.0","81.56","81.07","71.34","0.6","14.33"
"32.0","Cooked Daal, Average Hotel","Plate","56.25","50.83","35.0","32.5","51.07","42.5","40.0","32.5","37.5","50.0","40.0","50.0","60.0","60.0","47.5","60.0","55.0","47.1","46.62","41.88","1.03","12.46"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","18.61","20.0","18.5","20.0","15.0","16.54","16.25","20.0","22.5","15.0","15.0","21.0","17.5","18.14","17.93","15.84","1.17","14.52"
"34.0","Cigarettes, K-2, 20's","Packet","43.5","43.5","43.75","47.5","43.75","40.0","43.75","41.25","42.75","43.25","41.0","41.5","43.75","43.75","43.75","35.0","40.0","42.46","38.65","33.87","9.86","25.36"
"35.0","Long Cloth","1 mtr","182.5","172.5","127.5","125.0","247.14","237.5","200.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","147.5","170.0","190.0","196.45","186.45","169.01","5.36","16.24"
"36.0","Shirting","1 mtr","170.0","162.5","175.0","165.0","118.57","125.0","140.0","210.0","115.0","123.08","120.0","120.0","130.0","269.79","130.0","160.0","190.0","154.35","150.54","136.9","2.53","12.75"
"37.0","Lawn","1 mtr","222.5","205.0","177.5","177.5","261.07","240.0","360.0","150.0","146.5","320.0","215.0","280.0","270.75","360.0","167.5","180.0","165.0","229.31","218.68","183.33","4.86","25.08"
"38.0","Georgette","1 mtr","152.5","150.0","125.0","120.0","110.54","160.0","140.0","105.0","110.0","99.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","120.3","117.44","108.7","2.44","10.67"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","599.0","0.0","16.69"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
