"","","","","","","","Average Monthly Prices of 53 Items for the Month of August 2016","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-dar","Average Prices
Aug 16 Jul 16 Aug 15","","","%change Aug 16 over
Jul 16 Aug 15",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","10.0","10.0","10.0","11.5","10.0","10.0","10.56","10.47","10.35","0.86","2.03"
"28.0","Red Chilly Powder, Loose","1 Kg","326.25","313.33","265.0","280.0","287.14","280.0","300.0","255.0","225.0","326.25","291.25","265.0","223.75","230.0","273.44","310.0","300.0","279.49","279.32","273.54","0.06","2.18"
"29.0","Garlic","1 Kg","329.38","319.17","258.75","280.0","285.89","276.25","271.25","265.42","292.5","281.92","282.19","270.0","228.75","272.92","261.88","195.0","232.5","270.81","227.62","152.8","18.97","77.23"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.9","158.0","157.89","157.89","157.89","157.89","157.89","157.9","157.9","171.25","0.0","-7.8"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","62.5","62.5","92.86","75.0","100.0","80.0","70.0","77.26","75.94","100.0","100.0","120.0","100.0","90.0","140.0","91.63","91.06","84.35","0.63","8.63"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","47.5","40.0","40.0","50.0","55.1","51.88","50.0","65.0","60.0","48.13","65.0","80.0","56.15","55.52","49.56","1.13","13.3"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","17.5","20.0","20.0","20.0","20.0","15.0","21.73","20.0","20.0","22.5","15.0","20.0","21.0","20.0","19.87","19.63","18.94","1.22","4.91"
"34.0","Cigarettes, K-2, 20's","Packet","65.0","65.0","70.0","65.0","65.0","65.0","65.0","62.0","57.0","65.0","65.0","65.0","62.0","70.0","60.0","60.0","65.0","64.18","63.71","54.68","0.74","17.37"
"35.0","Long Cloth, 57"", (SN)","1 mtr","205.0","195.0","137.5","135.0","257.14","237.5","235.0","250.0","180.0","170.0","240.0","230.0","200.0","300.0","157.5","170.0","195.0","205.57","205.57","202.48","0.0","1.53"
"36.0","Shirting, (AQ), (SN)","1 mtr","192.5","185.0","175.0","175.0","138.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","164.3","164.3","161.21","0.0","1.92"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","281.07","240.0","360.0","150.0","169.0","415.0","280.0","280.0","333.0","360.0","187.5","180.0","165.0","251.21","251.21","243.03","0.0","3.37"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","120.54","160.0","135.0","105.0","110.0","114.62","120.0","125.0","130.0","110.0","100.0","105.0","95.0","123.54","123.54","123.1","0.0","0.36"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.0","0.0","0.05"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","499.0","0.0","0.68"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","124.18","0.0","3.64"
"44.0","Kerosene Oil","1 Ltr","90.0","90.0","75.0","77.0","85.0","69.0","75.0","67.5","66.0","87.81","78.0","67.5","85.0","75.0","80.0","55.0","50.0","74.87","74.87","86.54","0.0","-13.49"
"45.0","Firewood Whole","40 Kg","787.5","741.67","675.0","650.0","720.0","600.0","500.0","606.67","625.0","618.27","550.0","400.0","400.0","691.67","490.0","625.0","475.0","597.4","597.4","579.68","0.0","3.06"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","190.0","155.0","175.0","180.0","160.0","180.0","150.0","167.79","167.79","166.4","0.0","0.84"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","25.0","20.0","22.5","30.0","30.0","25.03","25.03","24.35","0.0","2.79"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.0","2.5","2.5","2.0","2.5","2.0","2.0","2.5","2.5","2.0","2.5","1.0","1.5","2.09","2.09","1.94","0.0","7.73"
"49.0","Petrol, Super","1 Ltr","64.49","64.48","64.61","66.25","64.63","64.48","64.8","64.99","65.45","64.48","64.95","64.48","66.1","64.48","67.1","64.5","66.78","65.12","65.12","77.57","0.0","-16.05"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","72.74","72.73","72.85","74.6","72.88","72.73","72.95","72.99","74.1","72.73","73.3","72.73","74.3","72.73","75.7","72.8","75.62","73.44","73.44","85.91","0.0","-14.52"
"51.0","LPG Cylinder, 11kg","Each","965.0","940.0","770.0","880.0","770.0","818.75","862.5","770.0","880.0","797.5","825.0","990.0","880.0","990.0","816.25 1100.00","","950.0","882.65","913.12 1009.16","","-3.34","-12.54"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","36.0","36.0","36.0","36.82","36.56","36.54","0.71","0.77"
