"","","","","","","","Average Monthly Prices of 53 Essential Items for the Month of July 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
July 17 June 17 July 16","","","%change July 17 over
June 17 July 16",""
"44.0","Kerosene Oil","1 Ltr","98.75","95.0","75.0","77.0","95.0","69.0","75.0","70.0","71.0","97.12","81.0","68.25","90.0","86.67","85.0","56.0","50.0","78.81","78.81","74.87","0.0","5.26"
"45.0","Firewood Whole","40 Kg","787.5","741.67","675.0","650.0","762.86","600.0","500.0","606.67","625.0","644.23","550.0","400.0","450.0","710.42","495.0","650.0","500.0","608.73","609.09","597.4","-0.06","1.9"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","190.0","155.0","175.0","180.0","160.0","180.0","150.0","167.79","167.79","167.79","0.0","0.0"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","25.03","0.0","3.52"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.0","2.5","3.0","2.0","2.5","2.0","2.0","2.5","2.5","2.0","3.0","2.0","1.5","2.21","2.21","2.09","0.0","5.74"
"49.0","Petrol, Super","1 Ltr","71.57","71.57","71.71","72.7","71.66","71.7","71.82","71.6","72.7","71.57","72.0","71.2","72.0","71.57","73.9","71.68","73.7","72.04","73.31","65.12","-1.73","10.63"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","80.21","80.21","80.35","81.4","80.26","80.41","80.48","80.2","81.6","80.19","80.81","80.57","80.6","80.2","82.6","80.21","83.0","80.78","82.26","73.44","-1.8","9.99"
"51.0","LPG Cylinder, 11kg","Each","1030.0","1000.0","838.75","948.75","880.0","993.75","962.5","907.5","1017.5","880.0","1017.5","1072.5","1067.0","1072.5","915.0","1100.00 1025.00","","984.01","987.09","913.12","-0.31","7.76"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","40.0","42.0","40.0","41.5","40.0","42.0","42.0","41.62","41.41","36.56","0.51","13.84"
