"","","","","","","","","Average Monthly Prices of 53 Items for the Month of November 2016","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Nov 16 Oct 16 Nov 15","","","%change November 2016 over Oct
16 Nov 15",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","10.0","10.0","10.0","12.0","10.0","10.0","10.59","10.59","10.41","0.0","1.73"
"28.0","Red Chilly Powder, Loose","1 Kg","319.38","297.29","262.5","280.0","274.64","280.0","293.75","237.5","225.0","311.63","295.94","265.0","241.25","236.67","277.5","310.0","300.0","276.94","279.15","270.94","-0.79","2.21"
"29.0","Garlic","1 Kg","315.0","299.17","282.5","300.0","312.86","295.0","280.0","285.0","305.0","281.54","296.88","287.5","262.5","306.67","313.75","280.0","292.5","293.87","293.07","185.52","0.27","58.4"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","163.16","157.89","157.9","158.0","157.89","157.89","157.89","157.89","157.89","158.21","157.9","189.26","0.2","-16.41"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","62.5","62.5","100.36","75.0","100.0","80.0","70.0","82.7","75.94","100.0","100.0","120.0","100.0","90.0","140.0","92.39","91.93","85.61","0.5","7.92"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","47.5","45.0","40.0","50.0","61.15","51.88","50.0","65.0","60.0","50.0","65.0","80.0","56.91","56.69","52.24","0.39","8.94"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","17.5","20.0","20.0","20.0","20.0","15.0","21.73","20.0","20.0","23.75","15.0","20.0","21.0","20.0","19.94","19.87","19.49","0.35","2.31"
"34.0","Cigarettes, K-2, 20's","Packet","65.0","65.0","70.0","65.0","65.0","65.0","65.0","62.0","57.0","65.0","65.0","65.0","62.0","70.0","60.0","65.0","65.0","64.47","64.18","54.76","0.45","17.73"
"35.0","Long Cloth, 57"", (SN)","1 mtr","205.0","195.0","137.5","135.0","257.14","237.5","235.0","250.0","180.0","170.0","240.0","230.0","200.0","300.0","157.5","170.0","195.0","205.57","205.57","202.77","0.0","1.38"
"36.0","Shirting, (AQ), (SN)","1 mtr","192.5","185.0","175.0","175.0","138.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","164.3","164.3","161.94","0.0","1.46"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","281.07","240.0","360.0","150.0","169.0","415.0","280.0","280.0","333.0","360.0","187.5","180.0","165.0","251.21","251.21","243.03","0.0","3.37"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","120.54","160.0","135.0","105.0","110.0","114.62","120.0","125.0","130.0","118.33","100.0","105.0","95.0","124.03","123.54","123.1","0.4","0.76"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.0","0.0","0.05"
