"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of February 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
19 Jan 19","Feb
Feb 18","","%change Feb 19 over
Jan 19 Feb 18",""
"1.0","Wheat","10 Kg","361.25","361.25","362.5","371.13","347.5","350.0","325.0","337.5","341.25","390.0","375.0","325.0","345.0","370.0","365.0","360.0","350.0","355.14","352.79","341.62","0.67","3.96"
"2.0","Wheat Flour, Bag","10 Kg","393.75","393.33","380.0","390.0","392.5","395.0","365.0","380.0","390.0","451.16","420.0","387.5","385.0","390.83","400.0","415.0","390.0","395.24","394.91","385.91","0.08","2.42"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","96.88","89.38","70.0","70.0","74.82","88.75","65.0","87.5","60.0","85.58","85.0","65.0","77.5","84.17","53.75","95.0","80.0","78.14","78.38","73.49","-0.31","6.33"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","63.44","62.35","60.0","47.5","57.0","60.0","70.0","50.0","47.5","57.48","51.63","55.0","40.75","56.67","62.5","65.0","53.75","56.5","55.65","52.29","1.53","8.05"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","45.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","42.5","35.0","40.0","40.0","43.59","43.44","42.56","0.35","2.42"
"6.0","Beef With Bone, (AQ)","1 Kg","475.78","442.08","375.0","450.0","381.96","375.0","400.0","390.0","365.0","465.19","390.0","400.0","390.0","372.5","350.0","380.0","400.0","400.15","397.39","348.45","0.69","14.84"
"7.0","Mutton, Average Quality","1 Kg","947.66","929.79","800.0","900.0","869.64","850.0","875.0","825.0","725.0","884.38","800.0","750.0","825.0","820.83","600.0","775.0","750.0","819.25","815.98","739.73","0.4","10.75"
"8.0","Chicken Farm, Broiler, Live","1 Kg","154.36","142.97","143.5","149.0","145.5","149.5","146.25","148.75","142.0","160.6","151.8","160.0","130.0","155.25","146.25","168.75","185.0","151.73","135.09","165.36","12.32","-8.24"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","100.83","90.0","80.0","78.0","90.0","70.0","83.33","67.5","94.19","94.0","80.0","95.0","95.0","85.0","95.0","80.0","87.08","86.8","82.5","0.32","5.55"
"10.0","Curd (Dahi)","1 Kg","116.25","112.92","100.0","90.0","92.5","97.5","90.0","97.5","80.0","141.73","135.0","100.0","95.0","106.67","95.0","110.0","90.0","102.95","102.82","98.82","0.13","4.18"
"11.0","Powdered Milk, Nido, Polybag","400 gm","410.26","410.26","410.26","410.26","410.0","405.0","410.25","410.25","410.0","400.0","400.0","389.74","425.0","390.0","410.25","400.0","400.0","405.97","405.44","383.08","0.13","5.98"
"12.0","Eggs Hen, Farm","Dozen","112.27","104.0","105.0","110.0","105.0","106.63","105.0","101.25","104.0","116.45","115.0","117.5","106.25","115.0","120.0","132.5","122.5","111.67","116.29","101.0","-3.97","10.56"
