"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of November 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Nov 15 Oct 15 Nov 14","","","%change Nov 15 over
Oct 15 Nov 14",""
"1.0","Wheat","10 Kg","353.75","353.75","356.25","366.5","352.5","340.5","336.25","333.75","336.25","370.0","350.0","340.0","300.0","331.67","349.38","360.0","380.0","347.68","339.79","354.31","2.32","-1.87"
"2.0","Wheat Flour, Bag","10 Kg","399.06","394.17","387.5","397.5","390.0","385.0","370.0","390.0","395.0","437.14","420.0","389.38","387.5","388.34","405.88","390.0","410.0","396.26","390.61","402.72","1.45","-1.6"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","79.22","74.22","57.5","50.0","54.18","56.25","47.5","65.0","56.25","70.0","65.63","75.0","70.0","67.5","49.0","80.0","50.0","62.78","66.06","74.44","-4.97","-15.66"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","55.37","47.5","47.5","47.56","50.0","50.0","35.25","47.5","43.38","40.0","52.5","26.0","41.67","52.5","50.0","35.75","46.03","47.61","52.32","-3.32","-12.02"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.82","0.0","0.0"
"6.0","Beef With Bone, (AQ)","1 Kg","331.25","337.5","290.0","290.0","344.29","300.0","275.0","320.0","300.0","348.08","310.0","310.0","300.0","307.5","290.0","400.0","320.0","316.1","315.25","301.97","0.27","4.68"
"7.0","Mutton, Average Quality","1 Kg","706.25","705.0","625.0","637.5","733.93","625.0","593.75","650.0","600.0","665.38","600.0","590.0","600.0","650.0","510.0","600.0","530.0","624.81","621.63","592.56","0.51","5.44"
"8.0","Chicken Farm, Broiler, Live","1 Kg","140.17","125.89","125.0","129.25","120.11","129.88","132.5","126.25","126.0","137.55","134.38","140.0","131.25","141.0","135.0","157.5","180.0","135.98","122.93","148.98","10.62","-8.73"
"9.0","Milk, Fresh, Unboiled","1 Ltr","96.25","89.17","77.5","70.0","77.21","70.0","65.0","75.0","60.0","84.0","80.0","75.0","80.0","82.5","73.75","90.0","80.0","77.96","77.83","76.18","0.17","2.34"
"10.0","Curd (Dahi)","1 Kg","105.63","100.0","88.5","80.0","83.04","80.0","80.0","90.0","78.75","120.0","106.0","90.0","100.0","90.0","83.13","100.0","90.0","92.06","91.69","89.52","0.4","2.84"
"11.0","Powdered Milk, Nido, Polybag","400 gm","380.0","380.0","380.0","380.0","380.0","380.0","380.0","380.0","380.0","380.0","370.0","380.0","370.0","380.0","360.0","380.0","380.0","377.65","368.53","350.0","2.47","7.9"
"12.0","Eggs Hen, Farm","Dozen","100.94","95.13","100.63","98.75","94.79","98.13","97.5","95.46","94.88","95.95","99.63","104.5","92.5","100.42","110.63","102.5","92.5","98.52","91.81","114.75","7.31","-14.14"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","145.0","150.0","183.93","200.0","175.0","168.33","160.0","168.32","140.0","132.5","200.0","220.0","190.0","190.0","180.0","180.18","179.92","185.53","0.14","-2.88"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","445.0","445.0","467.0","467.0","455.0","465.0","440.0","445.0","445.0","458.25","469.0","462.0","447.5","455.0","475.0","455.0","440.0","455.04","457.61","536.47","-0.56","-15.18"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","440.0","440.0","452.0","452.0","450.0","440.0","445.0","440.0","440.0","453.0","452.0","443.25","440.0","450.0","470.0","445.0","445.0","446.9","450.0","510.59","-0.69","-12.47"
"16.0","Vegetable Ghee (Loose)","1 Kg","146.25","142.08","135.0","135.0","134.04","129.88","126.5","142.5","140.0","139.59","140.0","140.0","112.5","146.46","151.88","150.0","120.0","137.16","138.89","158.04","-1.25","-13.21"
"17.0","Bananas","Dozen","121.57","89.79","50.0","55.0","60.89","45.0","41.25","64.17","55.0","49.86","44.38","55.0","45.0","63.75","54.69","55.0","57.5","59.29","65.3","61.8","-9.2","-4.06"
"18.0","Pulse Masoor, Washed","1 Kg","159.38","144.42","160.0","155.0","161.96","158.75","165.0","137.5","140.0","142.55","132.5","140.0","121.88","133.33","142.5","141.25","140.0","145.65","144.87","136.01","0.54","7.09"
"19.0","Pulse Moong, Washed","1 Kg","176.72","168.75","160.0","160.0","158.57","158.75","155.0","147.5","150.0","161.73","159.38","155.0","156.25","147.92","140.0","166.25","200.0","160.11","160.44","159.03","-0.21","0.68"
"20.0","Pulse Mash, Washed","1 Kg","246.88","239.17","255.0","250.0","202.86","235.0","243.13","248.33","240.0","256.63","237.5","236.25","235.0","232.5","235.0","253.75","190.0","237.47","224.23","162.89","5.9","45.79"
"21.0","Pulse Gram, Washed","1 Kg","139.69","134.06","120.0","122.5","118.8","115.0","110.63","121.04","120.0","123.73","121.88","125.0","118.13","127.71","115.0","141.25","110.0","122.61","119.94","76.63","2.23","60.0"
"22.0","Potatoes","1 Kg","52.35","44.8","48.75","48.75","40.18","45.0","40.0","38.96","24.38","21.45","20.0","20.0","20.0","30.0","31.25","20.5","21.0","33.37","32.23","60.07","3.54","-44.45"
"23.0","Onions","1 Kg","78.75","71.67","66.88","70.0","66.65","64.38","58.13","57.92","57.5","56.06","50.0","58.75","63.75","65.62","63.13","55.0","32.25","60.97","55.98","31.17","8.91","95.6"
"24.0","Tomatoes","1 Kg","91.88","88.75","88.75","85.0","87.86","88.75","81.88","82.71","87.5","81.35","73.28","70.0","87.5","75.0","67.5","67.5","72.5","81.04","69.76","46.81","16.17","73.13"
"25.0","Sugar, Refined","1 Kg","64.22","62.42","60.5","60.88","61.61","59.69","59.0","58.38","59.25","58.45","55.85","56.13","57.5","60.42","59.75","58.5","60.0","59.56","61.55","56.78","-3.23","4.9"
"26.0","Gur, Average Quality","1 Kg","110.0","95.83","81.88","93.75","91.87","85.0","85.0","77.92","72.5","95.72","100.0","70.0","86.88","93.75","93.44","86.25","100.0","89.4","95.23","84.71","-6.12","5.54"
