"8/1/2013 1:14 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of July 2013","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Jul 13 Jun 13 Jul 12","","","%change Jul 13 over
Jun 13 Jul 12",""
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","8.5","8.0","7.5","7.5","9.0","10.0","10.0","10.0","8.0","10.0","10.0","7.0","10.0","10.0","9.07","9.04","8.5","0.33","6.71"
"28.0","Red Chilly Powder, Loose","1 kg","242.5","212.04","200.0","225.0","197.14","190.0","207.5","160.83","190.0","246.15","240.0","228.75","162.5","195.84","218.13","300.0","240.0","215.08","215.19","300.99","-0.05","-28.54"
"29.0","Garlic","1 kg","152.5","137.5","126.25","123.75","126.88","110.0","106.88","111.25","107.5","118.08","120.0","105.0","90.0","109.17","132.5","120.0","151.25","120.5","118.72","103.71","1.5","16.19"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","171.05","173.68","173.68","163.16","163.16","163.16","171.67","169.81","133.33","1.1","28.76"
"31.0","Cooked Beef, Average Hotel","Plate","76.25","70.83","57.5","57.5","72.86","70.0","70.0","70.0","60.0","61.54","58.75","72.5","70.0","80.0","80.0","80.0","120.0","72.22","71.34","65.24","1.23","10.7"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","41.25","32.5","32.5","47.86","37.5","32.5","30.0","32.5","41.54","37.5","42.5","50.0","60.0","45.0","55.0","60.0","42.61","41.88","39.22","1.74","8.64"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","20.0","22.5","15.0","15.0","18.0","15.0","15.91","15.84","14.95","0.44","6.42"
"34.0","Cigarettes, K-2, 20's","Packet","40.0","40.0","39.5","40.0","35.0","40.0","38.25","36.25","38.0","36.0","36.0","38.0","40.0","38.75","35.0","35.0","30.0","37.4","33.87","32.03","10.42","16.77"
"35.0","Long Cloth","1 mtr","155.0","145.0","111.25","119.38","187.5","122.5","190.0","225.0","165.0","140.0","180.0","230.0","196.25","250.0","137.5","150.0","190.0","170.26","169.01","139.71","0.74","21.87"
"36.0","Shirting","1 mtr","145.0","142.5","159.38","160.63","98.58","125.0","140.0","150.0","115.0","106.15","120.0","120.0","122.5","225.0","119.75","150.0","165.0","139.09","136.9","114.73","1.6","21.23"
"37.0","Lawn","1 mtr","167.5","152.5","176.25","176.25","229.64","150.0","275.0","130.0","139.5","170.0","210.0","280.0","230.0","250.0","162.5","160.0","165.0","189.66","183.33","160.24","3.45","18.36"
"38.0","Georgette","1 mtr","135.0","132.5","122.5","117.5","95.0","95.0","135.0","90.0","110.0","91.15","100.0","125.0","130.0","106.67","92.5","90.0","95.0","109.58","108.7","95.82","0.81","14.36"
"39.0","Sandal Bata (Gents)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","499.0","0.0","20.04"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","399.0","0.0","25.06"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","123.39","116.0","0.64","7.05"
"44.0","Kerosene Oil","1 Ltr","122.5","122.5","118.5","120.0","106.5","113.5","106.0","117.0","116.0","120.0","120.0","115.0","131.25","117.5","118.0","105.0","120.0","117.01","114.82","103.93","1.91","12.59"
"45.0","Firewood Whole","40 kg","625.0","583.33","625.0","600.0","652.86","556.25","400.0","510.0","500.0","460.0","350.0","350.0","450.0","620.0","425.0","525.0","400.0","507.79","505.95","473.97","0.36","7.14"
"46.0","Energy Saver (14 watts)","Each","162.5","162.5","155.0","155.0","165.0","157.5","156.0","160.0","165.0","155.0","155.0","150.0","160.0","180.0","152.5","180.0","150.0","160.06","158.74","145.88","0.83","9.72"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","20.0","37.0","20.0","37.0","22.0","18.0","14.0","24.81","19.5","20.0","17.0","20.0","30.0","25.0","22.25","22.16","19.92","0.41","11.7"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","2.0","1.0","1.0","2.0","1.5","1.0","1.0","1.0","1.18","1.15","1.09","2.61","8.26"
"49.0","Petrol, Super","1 Ltr","102.5","102.1","103.1","104.2","102.12","103.2","105.2","103.4","105.7","102.1","102.7","103.1","104.6","102.1","106.6","103.0","103.0","103.45","101.41","86.4","2.01","19.73"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","107.55","107.1","108.2","109.5","107.12","108.4","109.99","109.7","110.3","107.1","107.7","108.1","109.9","107.1","110.7","108.0","108.0","108.5","106.14","98.26","2.22","10.42"
"51.0","LPG Cylinder, 11kg","Each","1460.0","1440.0","1553.5","1562.0","1416.25","1575.0","1525.0","1525.0","1650.0","1306.25","1375.0","1457.5","1463.0","1650.0","1516.25","1400.0","1425.0","1488.22","1464.28","1231.48","1.63","20.85"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.59","0.0","9.75"
"53.0","Soap, LifeBuoy","Each","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","34.25","32.0","2.19","9.38"
