"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of July 2018","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Jul 18 Jun 18 Jul 17","","","%change Jul 18 over
Jun 18 Jul 17",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","20.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","15.0","12.0","10.0","10.0","11.59","11.59","10.71","0.0","8.22"
"28.0","Red Chilly Powder, Loose","1 Kg","427.5","410.21","355.0","385.0","327.86","395.0","465.0","312.08","275.0","390.19","332.5","250.0","262.5","287.92","400.0","310.0","290.0","345.63","315.96","262.55","9.39","31.64"
"29.0","Garlic","1 Kg","168.13","123.75","102.5","115.0","141.07","107.5","102.5","95.0","102.5","152.5","103.13","95.0","60.63","160.0","140.0","160.0","142.5","121.87","125.24","202.6","-2.69","-39.85"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.0","197.37","200.0","194.73","194.73","205.26","202.63","197.36","194.73","201.99","201.22","203.7","0.38","-0.84"
"31.0","Cooked Beef, Average Hotel","Plate","115.0","113.33","120.0","130.0","115.0","135.0","115.0","100.0","125.0","98.85","80.0","100.0","100.0","120.0","105.0","90.0","140.0","111.89","110.85","93.51","0.94","19.66"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","45.0","60.0","67.32","55.0","50.0","40.0","60.0","61.54","60.0","70.0","65.0","60.0","50.0","65.0","80.0","61.38","61.38","56.94","0.0","7.8"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.0","22.5","20.0","20.0","22.5","21.73","25.0","25.0","27.5","15.0","20.0","21.0","20.0","21.48","21.48","20.97","0.0","2.43"
"34.0","Cigarettes, K-2, 20's","Packet","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","55.0","50.0","50.0","50.0","55.0","60.0","50.0","50.0","51.18","51.18","50.76","0.0","0.83"
"35.0","Long Cloth","1 mtr","225.0","215.0","172.5","160.0","267.5","237.5","245.0","260.0","250.0","180.0","240.0","300.0","200.0","333.33","250.0","210.0","195.0","231.81","231.23","212.3","0.25","9.19"
"36.0","Shirting","1 mtr","225.63","220.0","185.0","180.0","155.0","125.0","150.0","240.0","120.0","166.15","140.0","175.0","157.5","300.0","147.5","160.0","190.0","178.63","178.34","169.26","0.16","5.54"
"37.0","Lawn","1 mtr","240.0","220.0","217.5","220.0","305.0","280.0","393.34","200.0","383.5","415.0","280.0","375.0","366.66","393.0","235.0","200.0","165.0","287.59","281.28","255.77","2.24","12.44"
"38.0","Georgette","1 mtr","165.0","162.92","160.0","140.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","150.0","130.0","123.33","100.0","105.0","117.5","132.08","131.49","125.38","0.45","5.34"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","179.09","0.0","11.12"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","502.39","0.0","19.23"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","137.5","135.0","121.5","126.25","125.0","118.0","120.0","115.73","130.0","135.24","125.0","121.25","141.25","118.33","120.0","98.0","100.0","122.83","119.29","78.81","2.97","55.86"
"45.0","Firewood Whole","40 Kg","787.5","741.67","750.0","700.0","764.29","600.0","550.0","646.67","625.0","651.92","550.0","400.0","450.0","729.17","500.0","650.0","550.0","626.25","626.25","608.73","0.0","2.88"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","170.0","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","180.0","180.0","170.0","180.0","150.0","171.18","171.18","167.79","0.0","2.02"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","40.0","22.0","40.65","25.0","40.0","22.0","20.0","14.0","30.0","26.0","30.0","20.0","22.5","30.0","40.0","27.77","27.74","25.91","0.11","7.18"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","3.0","2.5","2.0","2.0","2.5","2.5","2.0","3.0","2.0","1.5","2.32","2.32","2.21","0.0","4.98"
"49.0","Petrol, Super","1 Ltr","96.75","96.75","96.78","98.58","96.67","96.76","97.13","96.76","97.63","96.75","97.45","96.75","97.65","96.77","98.68","96.62","98.82","97.25","91.75","72.04","5.99","34.99"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","115.03","115.02","115.1","116.3","114.88","115.04","115.13","115.05","115.99","115.07","115.8","115.07","115.5","115.0","117.0","114.83","117.22","115.47","104.57","80.78","10.42","42.94"
"51.0","LPG Cylinder, 11kg","Each","1395.0","1380.0","1237.5","1210.0","1223.75","1262.5","1262.5","1325.0","1375.0","1265.0","1347.5","1265.0","1361.25","1347.5","1270.0","1275.0","1175.0","1292.79 1270.59","","984.01","1.75","31.38"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","39.5","39.5","38.0","38.0","38.0","42.0","42.0","39.5","39.5","38.0","39.75","39.0","40.0","38.0","40.0","42.0","42.0","39.69","39.19","41.62","1.28","-4.64"
