"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of October 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Oct 14 Sep 14 Oct 13","","","%change Oct 14 over
Sep 14 Oct 13",""
"1.0","Wheat","10 Kg","365.0","365.0","340.1","357.5","350.25","335.5","336.5","335.0","336.25","340.0","356.0","340.0","312.5","372.0","355.0","385.0","400.0","351.86","350.63","362.72","0.35","-2.99"
"2.0","Wheat Flour, Bag","10 Kg","408.44","408.33","400.0","400.0","399.0","370.0","395.5","389.0","400.0","431.08","420.0","383.5","386.0","402.83","420.0","410.0","440.0","403.75","404.12","411.24","-0.09","-1.82"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","86.25","80.83","72.5","70.0","79.29","81.25","67.5","77.5","62.5","76.54","77.75","75.0","80.0","78.33","51.0","90.0","60.0","74.48","74.28","74.45","0.27","0.04"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","62.5","60.83","51.5","52.5","65.32","65.0","52.05","41.0","52.5","56.54","50.0","52.5","35.0","49.17","52.5","47.0","52.0","52.82","54.03","53.76","-2.24","-1.75"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.75","38.49","0.17","6.05"
"6.0","Beef With Bone, (AQ)","1 Kg","321.25","317.5","280.0","280.0","328.57","280.0","275.0","293.33","265.0","346.15","300.0","290.0","290.0","273.33","270.0","400.0","320.0","301.77","301.26","281.66","0.17","7.14"
"7.0","Mutton, Average Quality","1 Kg","658.75","658.33","600.0","600.0","680.36","600.0","550.0","593.33","562.5","659.23","575.0","535.0","600.0","585.83","480.0","600.0","520.0","591.67","589.43","553.2","0.38","6.95"
"8.0","Chicken Farm, Broiler, Live","1 Kg","135.63","122.13","116.2","116.4","109.96","118.75","118.4","130.5","123.6","138.39","134.0","131.2","135.5","133.6","150.0","153.0","216.0","134.31","138.06","140.21","-2.72","-4.21"
"9.0","Milk, Fresh, Unboiled","1 Ltr","87.5","83.33","77.5","70.0","71.71","70.0","60.0","75.0","60.0","84.0","80.0","75.0","80.0","72.5","72.5","90.0","80.0","75.83","75.61","68.53","0.29","10.65"
"10.0","Curd (Dahi)","1 Kg","103.5","93.75","88.5","80.0","80.79","80.0","74.0","85.0","70.0","120.0","106.0","90.0","95.0","80.0","82.5","100.0","90.0","89.36","89.21","80.66","0.17","10.79"
"11.0","Powdered Milk, Nido, Polybag","400 gm","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","348.82","297.88","0.34","17.5"
"12.0","Eggs Hen, Farm","Dozen","107.88","101.5","107.0","109.0","101.29","107.25","104.4","103.5","101.4","111.1","110.05","112.0","101.5","100.92","109.5","118.0","98.0","106.13","105.85","97.95","0.26","8.35"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","232.5","153.0","160.0","183.21","195.0","190.0","172.5","160.0","176.54","160.0","145.5","200.0","221.67","180.0","190.0","190.0","185.29","185.25","182.56","0.02","1.5"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","520.0","520.0","545.0","545.0","535.0","545.0","520.0","540.0","524.0","545.0","545.0","545.0","530.0","540.0","540.0","540.0","550.0","537.0","539.12","537.35","-0.39","-0.07"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","505.0","505.0","505.0","505.0","505.0","510.0","505.0","507.0","505.0","505.0","505.0","525.0","520.0","505.0","510.0","510.0","550.0","510.71","511.47","510.39","-0.15","0.06"
"16.0","Vegetable Ghee (Loose)","1 Kg","165.0","160.25","145.0","150.0","158.21","146.15","145.4","156.5","160.0","161.54","160.0","157.5","145.0","161.33","167.0","190.0","170.0","158.76","157.8","158.04","0.61","0.46"
"17.0","Bananas","Dozen","126.13","96.67","68.0","73.0","77.97","55.0","49.0","71.83","65.0","59.08","51.13","64.0","56.0","65.67","59.75","62.0","86.0","69.78","78.36","55.89","-10.95","24.85"
"18.0","Pulse Masoor, Washed","1 Kg","145.75","133.66","151.5","120.0","150.6","135.0","148.5","127.5","126.0","123.77","121.5","130.0","117.5","120.0","132.0","134.0","115.0","131.31","128.8","112.84","1.95","16.37"
"19.0","Pulse Moong, Washed","1 Kg","164.38","159.58","159.0","160.0","155.71","151.0","136.0","132.5","154.0","164.08","158.0","155.0","145.0","135.67","140.0","156.0","140.0","150.94","150.17","124.45","0.51","21.29"
"20.0","Pulse Mash, Washed","1 Kg","180.63","167.08","168.0","175.0","176.96","172.5","160.0","155.5","160.0","149.08","146.0","150.0","147.5","155.0","152.5","172.0","140.0","160.46","157.2","129.57","2.07","23.84"
"21.0","Pulse Gram, Washed","1 Kg","87.5","78.75","67.5","67.5","66.82","75.14","65.5","67.5","70.0","78.08","73.0","75.0","79.0","76.67","70.0","101.0","85.0","75.53","73.68","70.91","2.51","6.52"
"22.0","Potatoes","1 Kg","80.32","75.92","76.5","77.0","74.93","69.0","65.5","75.5","60.0","54.85","56.0","55.0","55.0","65.83","59.0","50.0","57.0","65.14","66.0","44.96","-1.3","44.88"
"23.0","Onions","1 Kg","56.0","51.08","40.0","46.0","41.61","37.75","37.0","40.5","39.5","40.46","37.88","35.0","37.5","41.83","36.5","32.0","32.0","40.15","41.53","52.39","-3.32","-23.36"
"24.0","Tomatoes","1 Kg","79.0","72.0","72.0","78.0","82.0","77.0","58.0","77.67","80.5","86.92","74.5","76.0","87.0","51.67","62.0","62.0","53.5","72.34","66.04","68.31","9.54","5.9"
"25.0","Sugar, Refined","1 Kg","64.39","61.74","59.2","59.6","60.79","59.05","58.1","56.83","59.6","58.62","56.8","56.15","58.4","59.77","59.45","59.4","58.0","59.17","60.49","55.68","-2.18","6.27"
"26.0","Gur, Average Quality","1 Kg","106.0","92.5","89.5","90.0","93.71","85.25","74.0","77.5","73.5","96.54","82.5","76.0","75.0","94.67","95.5","85.0","82.0","86.42","84.3","89.17","2.51","-3.08"
"27.0","Salt Powder, Loose, Lahori","1 Kg","11.0","10.83","10.0","10.0","10.0","10.0","10.0","9.0","10.0","12.0","10.0","9.0","10.0","10.0","8.0","10.0","10.0","9.99","9.92","9.22","0.71","8.35"
"28.0","Red Chilly Powder, Loose","1 Kg","300.75","282.5","280.0","260.0","264.46","258.0","275.0","251.67","210.0","307.69","304.0","250.0","230.0","220.34","255.5","290.0","200.0","261.17","253.91","216.95","2.86","20.38"
"29.0","Garlic","1 Kg","173.75","152.5","130.0","120.0","165.85","108.0","114.0","118.5","120.0","148.92","126.0","113.0","104.0","149.33","150.0","120.0","157.0","133.58","133.87","129.31","-0.22","3.3"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","128.42","128.42","128.42","128.42","128.42","128.42","128.5","128.42","128.42","125.89","128.42","124.21","125.89","128.42","128.42","124.21","124.21","127.38","125.79","170.59","1.26","-25.33"
"31.0","Cooked Beef, Average Hotel","Plate","83.75","81.25","60.0","62.5","78.04","75.0","95.0","70.0","65.0","71.54","64.5","100.0","70.0","113.33","90.0","80.0","140.0","82.35","82.14","76.23","0.26","8.03"
"32.0","Cooked Daal, Average Hotel","Plate","56.25","50.83","35.0","32.5","51.07","42.5","40.0","32.5","37.5","53.08","41.0","50.0","60.0","60.0","47.5","60.0","60.0","47.63","47.57","45.13","0.13","5.54"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","19.93","20.0","18.5","20.0","15.0","16.54","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.59","18.59","16.34","0.0","13.77"
"34.0","Cigarettes, K-2, 20's","Packet","45.0","45.0","45.0","50.0","45.0","45.0","48.0","43.0","45.0","45.0","46.0","45.0","45.0","45.0","45.0","50.0","40.0","45.41","45.19","37.64","0.49","20.64"
"35.0","Long Cloth","1 mtr","185.0","175.0","137.5","135.0","247.14","237.5","225.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","149.5","170.0","190.0","199.51","199.39","172.0","0.06","15.99"
"36.0","Shirting","1 mtr","172.5","165.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","138.08","130.0","120.0","130.0","270.83","130.0","160.0","190.0","156.76","156.76","141.6","0.0","10.71"
"37.0","Lawn","1 mtr","227.5","210.0","205.0","205.0","261.07","240.0","360.0","150.0","146.5","360.0","215.0","280.0","333.0","360.0","167.5","180.0","165.0","239.15","239.15","189.8","0.0","26.0"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","110.36","0.0","11.54"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","649.0","0.0","7.7"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","0.0","124.18","0.0","124.18","124.18","124.18","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","126.25","126.25","113.5","120.0","108.5","100.0","109.0","113.0","117.5","122.54","123.2","108.0","130.0","116.17","121.2","106.0","120.0","116.54","117.54","126.72","-0.85","-8.03"
"45.0","Firewood Whole","40 Kg","762.5","683.33","700.0","610.0","714.5","600.0","475.0","545.0","565.0","513.08","400.0","400.0","400.0","658.33","490.0","525.0","400.0","555.4","554.02","520.44","0.25","6.72"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","170.0","165.0","175.0","170.0","160.0","155.0","175.0","180.0","160.0","180.0","150.0","165.44","165.29","161.47","0.09","2.46"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","19.5","20.0","20.0","22.5","30.0","30.0","24.35","24.35","23.09","0.0","5.46"
"48.0","Match Box, Regular","Each","1.0","1.0","2.0","2.0","1.0","1.9","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.9","1.9","1.0","1.5","1.72","1.65","1.38","4.24","24.64"
"49.0","Petrol, Super","1 Ltr","103.9","103.95","104.1","105.5","104.0","104.1","105.9","105.6","106.6","103.9","104.6","104.0","107.1","103.9","107.7","105.0","105.0","104.99","108.1","115.02","-2.88","-8.72"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","107.7","107.7","107.8","107.8","107.75","107.9","109.6","109.0","110.25","107.7","108.4","107.7","110.7","107.7","111.6","108.7","108.7","108.63","109.89","118.61","-1.15","-8.41"
"51.0","LPG Cylinder, 11kg","Each","1734.0","1724.0","1694.0","1760.0","1749.0","1750.0","1680.0","1760.0","1848.0","1562.0","1672.0","1738.0","1573.0","1826.0","1710.0","1500.0","1400.0","1687.06","1446.13","1534.72","16.66","9.93"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","0.0","0.0"
