"3/3/2014 2:46 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of February 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 14 Jan 14 Feb 13","","","%change Feb 14 over
Jan 14 Feb 13",""
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","9.0","10.0","8.0","9.0","9.0","10.0","10.0","10.0","8.5","10.0","10.0","7.0","10.0","10.0","9.37","9.3","8.84","0.75","6.0"
"28.0","Red Chilly Powder, Loose","1 kg","248.75","233.33","200.0","225.0","191.43","211.25","220.0","217.5","190.0","286.35","240.0","230.0","183.75","197.92","203.75","290.0","200.0","221.71","218.8","235.9","1.33","-6.02"
"29.0","Garlic","1 kg","162.5","148.33","151.88","117.5","135.99","112.5","110.63","114.17","105.0","145.58","125.0","120.0","98.75","145.0","148.75","165.0","162.5","133.48","133.01","132.68","0.35","0.6"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","148.48","144.21","-0.75","2.19"
"31.0","Cooked Beef, Average Hotel","Plate","83.75","81.25","60.0","62.5","78.04","75.0","80.0","70.0","65.0","65.29","61.25","100.0","70.0","100.0","80.0","80.0","140.0","79.53","79.1","69.87","0.54","13.83"
"32.0","Cooked Daal, Average Hotel","Plate","56.25","50.83","35.0","32.5","51.07","42.5","40.0","32.5","32.5","45.29","40.0","50.0","60.0","60.0","45.0","60.0","50.0","46.08","45.78","40.14","0.66","14.8"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","15.0","15.0","18.5","16.5","15.0","15.0","15.0","20.0","22.5","15.0","15.0","20.0","15.0","17.06","17.06","15.3","0.0","11.5"
"34.0","Cigarettes, K-2, 20's","Packet","39.0","39.0","40.0","40.0","40.0","40.0","40.0","36.0","36.0","38.0","36.0","38.0","40.0","40.0","40.0","35.0","40.0","38.65","38.29","32.32","0.94","19.59"
"35.0","Long Cloth","1 mtr","155.0","145.0","127.5","125.0","205.0","125.0","190.0","225.0","165.0","140.0","200.0","230.0","200.0","250.0","140.0","150.0","190.0","174.26","173.68","150.15","0.33","16.06"
"36.0","Shirting","1 mtr","145.0","142.5","175.0","165.0","98.57","125.0","140.0","200.0","115.0","106.15","120.0","120.0","130.0","225.0","129.38","150.0","190.0","145.68","144.51","126.67","0.81","15.01"
"37.0","Lawn","1 mtr","167.5","152.5","177.5","177.5","229.64","150.0","275.0","130.0","139.5","170.0","210.0","280.0","250.0","250.0","167.5","160.0","165.0","191.27","190.39","163.32","0.46","17.11"
"38.0","Georgette","1 mtr","135.0","132.5","125.0","120.0","95.0","95.0","140.0","90.0","110.0","99.62","100.0","125.0","130.0","110.0","95.0","90.0","95.0","111.01","110.86","103.67","0.14","7.08"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","599.0","0.0","16.69"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","123.12","0.0","0.86"
"44.0","Kerosene Oil","1 Ltr","131.0","131.0","130.0","131.0","118.5","125.5","118.0","123.5","127.0","131.0","130.0","122.5","140.0","124.63","128.0","117.0","125.0","126.68","126.72","118.56","-0.03","6.85"
"45.0","Firewood Whole","40 kg","762.5","683.33","700.0","675.0","690.62","593.75","475.0","545.0","565.0","513.08","400.0","390.0","425.0","670.83","457.5","525.0","400.0","557.15","553.37","505.85","0.68","10.14"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","155.0","165.0","175.0","155.0","155.0","155.0","172.5","187.5","160.0","180.0","150.0","163.68","163.32","153.53","0.22","6.61"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","22.5","22.5","16.0","20.0","40.0","25.0","38.0","22.0","19.0","14.0","25.0","19.5","20.0","18.54","20.0","30.0","30.0","23.65","23.58","21.13","0.3","11.93"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.5","1.5","1.5","2.0","2.0","2.0","2.0","2.0","2.0","1.5","1.0","1.5","1.5","1.5","1.09","0.0","37.61"
"49.0","Petrol, Super","1 Ltr","113.05","113.1","113.2","114.0","113.13","113.45","113.3","114.9","113.6","113.1","113.9","113.2","115.4","113.1","117.6","113.2","118.3","114.09","114.09","104.27","0.0","9.42"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","117.1","117.1","117.2","118.0","117.11","117.05","117.4","119.2","117.5","117.1","117.8","117.2","119.7","117.1","120.8","117.1","122.2","118.04","118.04","110.29","0.0","7.03"
"51.0","LPG Cylinder, 11kg","Each","1570.0","1560.0","1361.25","1430.0","1333.75","1475.0","1387.5","1405.0","1485.0","1232.22","1320.0","1430.0","1375.0","1650.0","1422.5","1500.0","1558.33","1440.91","1487.26","1671.93","-3.12","-13.82"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","32.0","0.0","12.5"
