"8/1/2012 1:55 PM","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Average Monthly Prices of Essential Items July, 2012","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-
age"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","41.25","30.0","32.5","41.79","37.5","32.5","30.0","32.5","35.0","37.5","35.0","40.0","60.0","40.0","45.0","50.0","39.22"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","14.57","15.0","12.0","15.0","14.0","15.0","14.5","15.0","20.0","15.0","11.0","18.0","15.0","14.95"
"34.0","Cigarettes, K-2, 20's","Packet","32.0","32.0","32.0","32.0","32.5","32.0","33.0","32.0","32.0","33.0","32.0","33.0","33.0","32.0","32.0","30.0","30.0","32.03"
"35.0","Long Cloth","1 mtr","132.5","125.0","97.5","95.0","177.5","95.0","157.5","225.0","135.0","140.0","170.0","150.0","175.0","150.0","105.0","110.0","135.0","139.71"
"36.0","Shirting","1 mtr","125.0","122.5","130.0","125.0","87.5","125.0","130.0","130.0","95.0","92.69","110.0","85.0","90.0","154.59","93.13","125.0","130.0","114.73"
"37.0","Lawn","1 mtr","146.25","133.75","162.5","125.0","192.5","125.0","180.0","130.0","136.5","180.0","210.0","225.0","190.0","250.0","127.5","105.0","105.0","160.24"
"38.0","Georgette","1 mtr","115.0","112.5","92.5","95.0","82.86","95.0","120.0","80.0","85.0","91.15","100.0","85.0","120.0","85.0","90.0","90.0","90.0","95.82"
"39.0","Sandal Bata (Gents)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","Sandal Bata (Ladies)","Pair","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0"
"44.0","Kerosene Oil","1 Ltr","105.94","106.25","105.25","106.0","98.75","103.75","94.25","108.0","106.0","110.0","107.0","97.5","111.0","104.08","111.0","95.0","97.0","103.93"
"45.0","Firewood Whole","40 kg","505.0","462.5","581.25","560.0","596.79","525.0","380.0","475.0","500.0","436.15","320.0","345.0","400.0","590.84","380.0","525.0","475.0","473.97"
"46.0","Energy Saver (14 watts)","Each","157.5","157.5","145.0","145.0","145.0","140.0","125.0","150.0","150.0","145.0","150.0","145.0","140.0","160.0","145.0","140.0","140.0","145.88"
"47.0","Washing Soap, 200-250 g","Cake","19.0","19.0","16.0","17.0","36.0","20.0","25.0","22.0","16.0","14.0","24.0","18.0","16.13","17.0","16.5","18.0","25.0","19.92"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.09"
"49.0","Petrol, Super","1 Ltr","85.47","85.38","85.8","86.9","85.56","86.1","86.9","86.26","87.98","85.5","86.44","85.62","86.75","85.53","89.0","85.4","88.28","86.4"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","97.45","97.45","97.8","98.6","97.57","97.4","98.8","98.2","99.5","97.5","98.3","97.64","98.8","97.54","100.1","97.5","100.25","98.26"
"51.0","LPG Cylinder, 11kg","Each","1230.0","1212.5","1210.0","1173.33","1168.75","1245.0","1250.0","1265.0","1333.75","1141.25","1127.5","1127.5","1201.75","1265.0","1173.75","1485.0","1325.0","1231.48"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59"
"53.0","Soap, LifeBuoy","Each","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
