"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 18 Jan 18 Feb 17","","","%change Feb 18 over
Jan 18 Feb 17",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","17.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","11.12","11.12","10.71","0.0","3.83"
"28.0","Red Chilly Powder, Loose","1 Kg","300.0","260.42","240.0","240.0","250.36","250.0","280.0","235.0","225.0","295.48","265.0","250.0","233.75","241.67","215.0","310.0","290.0","257.75","258.1","269.5","-0.14","-4.36"
"29.0","Garlic","1 Kg","223.75","183.75","155.0","160.0","167.86","153.75","155.0","156.67","155.0","187.07","169.38","165.0","135.0","187.5","185.0","197.5","187.5","172.04","168.29","308.28","2.23","-44.19"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","186.85","186.85","186.85","186.85","186.84","186.85","186.87","182.9","187.0","182.9","178.94","178.94","182.89","186.85","182.93","178.94","178.94","184.07","178.96","178.79","2.86","2.95"
"31.0","Cooked Beef, Average Hotel","Plate","115.0","113.33","100.0","62.5","102.86","135.0","100.0","80.0","125.0","93.08","77.5","100.0","100.0","120.0","105.0","90.0","140.0","103.49","102.2","92.74","1.26","11.59"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","55.0","50.0","40.0","60.0","61.54","52.5","50.0","65.0","60.0","50.0","65.0","80.0","58.29","58.28","56.91","0.02","2.42"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.0","22.5","20.0","20.0","22.5","21.73","20.0","25.0","27.5","15.0","20.0","21.0","20.0","21.19","21.19","20.6","0.0","2.86"
"34.0","Cigarettes, K-2, 20's","Packet","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","48.0","55.0","50.0","50.0","50.0","55.0","55.0","50.0","50.0","50.76","50.76","67.06","0.0","-24.31"
"35.0","Long Cloth, 57"", (SN)","1 mtr","225.0","215.0","137.5","135.0","267.5","237.5","245.0","250.0","180.0","180.0","240.0","230.0","200.0","333.33","157.5","210.0","195.0","214.02","212.57","205.57","0.68","4.11"
"36.0","Shirting, (AQ), (SN)","1 mtr","216.88","205.0","175.0","175.0","155.0","125.0","150.0","210.0","115.0","166.15","140.0","120.0","157.5","300.0","147.5","160.0","190.0","171.06","169.55","164.3","0.89","4.11"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","305.0","240.0","360.0","150.0","169.0","415.0","280.0","280.0","366.66","360.0","187.5","200.0","165.0","255.77","255.77","251.21","0.0","1.82"
