"5/2/2014 3:20 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of April 2014","","","","","","","","","","","","","","","","",""
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","16.82","18.5","18.5","20.0","15.0","15.92","15.0","20.0","22.5","15.0","15.0","20.0","17.5","17.78","17.38","15.37","2.3","15.68"
"34.0","Cigarettes, K-2, 20's","Packet","39.0","39.0","40.0","40.0","40.0","40.0","40.0","36.0","36.0","38.0","36.0","38.0","40.0","40.0","40.0","35.0","40.0","38.65","38.65","32.32","0.0","19.59"
"35.0","Long Cloth","1 mtr","167.0","157.0","127.5","125.0","247.14","125.0","190.0","245.0","165.0","148.0","210.0","230.0","200.0","250.0","147.5","160.0","190.0","181.42","177.48","155.1","2.22","16.97"
"36.0","Shirting","1 mtr","155.5","150.0","175.0","165.0","118.57","125.0","140.0","208.0","115.0","119.69","120.0","120.0","130.0","225.0","130.0","150.0","190.0","149.22","146.6","128.99","1.79","15.68"
"37.0","Lawn","1 mtr","191.5","175.0","177.5","177.5","261.07","150.0","360.0","146.0","140.9","240.0","210.0","280.0","250.0","300.0","167.5","170.0","165.0","209.53","198.76","169.17","5.42","23.86"
"38.0","Georgette","1 mtr","141.0","138.5","125.0","120.0","110.54","95.0","140.0","102.0","110.0","99.62","110.0","125.0","130.0","110.0","97.5","100.0","95.0","114.66","112.87","104.23","1.59","10.01"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","599.0","0.0","16.69"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","123.12","0.0","0.86"
"44.0","Kerosene Oil","1 Ltr","127.5","127.5","124.5","125.0","112.5","111.2","110.0","119.0","122.0","126.54","125.0","117.5","130.0","116.83","128.0","111.0","125.0","121.12","126.68","118.56","-4.39","2.16"
"45.0","Firewood Whole","40 kg","762.5","683.33","700.0","625.0","703.21","600.0","475.0","545.0","565.0","513.08","400.0","394.0","400.0","670.83","480.0","525.0","400.0","555.41","556.64","505.41","-0.22","9.89"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","155.0","165.0","175.0","155.0","160.0","155.0","175.0","185.0","160.0","180.0","150.0","163.97","163.82","155.58","0.09","5.39"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","22.5","22.5","16.0","20.0","40.0","25.0","38.0","22.0","19.0","14.0","25.0","19.5","20.0","20.0","20.0","30.0","30.0","23.74","23.72","21.26","0.08","11.67"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.5","2.0","1.5","2.0","2.0","2.0","2.0","2.0","1.5","1.5","1.0","1.5","1.5","1.5","1.09","0.0","37.61"
"49.0","Petrol, Super","1 Ltr","108.7","108.65","108.8","109.9","108.7","108.7","110.5","109.9","111.2","108.7","109.3","108.8","111.2","108.7","112.4","109.6","113.9","109.86","111.57","104.27","-1.53","5.36"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","114.2","114.2","114.3","115.3","114.21","114.2","116.0","115.4","116.7","114.2","114.9","114.3","117.1","114.2","118.0","115.1","119.3","115.39","118.04","110.29","-2.25","4.62"
"51.0","LPG Cylinder, 11kg","Each","1492.0","1482.0","1375.0","1430.0","1331.0","1385.0","1370.0","1408.0","1496.0","1177.0","1353.0","1518.0","1414.6","1558.33","1501.0","1572.0","1415.0","1428.11","1460.46","1461.82","-2.22","-2.31"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","35.8","36.0","36.0","35.99","36.0","32.0","-0.03","12.47"
