"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of June 2019","","","","","","","","","","","","","","","","",""
"23.0","Onions","1 Kg","64.38","56.98","54.38","55.0","54.56","53.13","46.25","50.83","47.5","50.29","50.47","47.5","46.88","50.63","55.0","53.75","58.75","52.72","55.81","32.83","-5.54","60.58"
"24.0","Tomatoes","1 Kg","56.1","46.46","45.0","45.0","42.68","46.25","36.88","45.63","51.25","61.73","52.35","51.25","55.63","36.46","42.5","50.0","45.0","47.66","47.77","42.55","-0.23","12.01"
"25.0","Sugar, Refined","1 Kg","75.6","72.37","71.44","70.0","71.77","71.0","69.5","68.21","69.75","70.03","68.88","67.75","68.88","72.44","70.0","76.5","70.0","70.83","67.99","53.69","4.18","31.92"
"26.0","Gur, Average Quality","1 Kg","118.75","102.5","110.0","110.0","111.07","108.75","90.0","99.17","92.5","107.89","113.6","97.5","95.63","100.42","88.44","100.0","96.88","102.54","97.52","79.34","5.15","29.24"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","15.0","15.0","20.54","10.0","10.0","10.0","12.0","12.62","15.0","10.0","10.0","15.0","12.0","10.0","10.0","12.42","12.42","11.59","0.0","7.16"
"28.0","Red Chilly Powder, Loose","1 Kg","397.5","355.0","330.0","320.0","327.86","365.0","400.0","323.33","310.0","392.89","385.0","365.0","277.5","351.67","330.0","390.0","290.0","347.69","349.39","315.96","-0.49","10.04"
"29.0","Garlic","1 Kg","295.94","242.4","232.5","230.0","207.86","207.5","202.5","202.92","190.0","213.85","195.0","197.5","172.5","264.17","195.0","232.5","210.0","217.18","207.04","125.24","4.9","73.41"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.0","221.05","221.05","221.05","221.05","221.05","221.05","221.05","195.0","219.51","219.51","201.22","0.0","9.09"
"31.0","Cooked Beef, Average Hotel","Plate","128.13","117.5","145.0","150.0","131.43","155.0","120.0","105.0","125.0","100.48","95.0","100.0","100.0","120.0","105.0","90.0","196.25","122.58","121.65","110.85","0.76","10.58"
"32.0","Cooked Daal, Average Hotel","Plate","85.0","75.83","55.0","60.0","67.32","60.0","50.0","46.25","60.0","65.62","60.0","70.0","65.0","60.0","50.0","75.0","87.5","64.27","64.19","61.38","0.12","4.71"
"33.0","Tea Prepared, Average Hotel","Cup","25.31","25.0","25.0","21.25","24.11","25.0","25.0","23.33","22.5","24.42","30.0","25.0","30.0","20.0","20.0","21.0","20.0","23.94","23.86","21.48","0.34","11.45"
"34.0","Cigarettes, K-2, 20's","Packet","72.5","72.5","65.0","65.0","65.0","70.0","67.5","70.0","70.0","65.1","60.0","72.5","69.5","72.5","77.5","55.0","67.5","68.06","59.72","51.18","13.97","32.98"
"35.0","Long Cloth","1 mtr","245.0","235.0","180.0","180.0","295.0","237.5","275.0","300.0","260.0","200.0","300.0","375.0","300.0","350.0","422.5","550.0","250.0","291.47","288.65","231.23","0.98","26.05"
"36.0","Shirting","1 mtr","235.63","225.0","200.0","200.0","165.0","135.0","170.0","250.0","125.0","183.85","140.0","175.0","200.0","321.0","180.0","160.0","170.0","190.32","188.89","178.34","0.76","6.72"
"37.0","Lawn","1 mtr","260.0","240.0","245.0","250.0","337.5","280.0","393.34","200.0","383.5","421.54","280.0","393.0","366.0","393.0","463.0","500.0","250.0","332.7","332.7","281.28","0.0","18.28"
"38.0","Georgette","1 mtr","175.0","173.75","175.0","160.0","145.0","165.0","150.0","105.0","110.0","123.85","120.0","150.0","160.0","123.33","100.0","105.0","150.0","140.64","139.93","131.49","0.51","6.96"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","","145.08","145.08","128.7","0.0","12.73"
"44.0","Kerosene Oil","1 Ltr","151.25","143.75","135.0","144.0","130.0","130.0","120.0","126.88","140.0","141.39","130.0","127.5","147.5","132.33","120.0","111.0","97.5","131.06","128.95","119.29","1.64","9.87"
"45.0","Firewood Whole","40 Kg","787.5","741.67","775.0","700.0","810.71","600.0","550.0","708.33","650.0","661.54","600.0","400.0","500.0","729.17","500.0","650.0","625.0","646.41","645.82","626.25","0.09","3.22"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","170.0","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","180.0","190.0","170.0","180.0","150.0","171.76","171.76","171.18","0.0","0.34"
"47.0","Washing Soap, (Nylon), (SN)","Cake","30.0","30.0","40.0","45.0","45.0","30.0","45.0","22.0","20.0","14.0","30.0","28.0","30.0","20.0","25.0","40.0","40.0","31.41","31.41","27.74","0.0","13.23"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","3.0","2.5","3.0","3.0","2.5","3.0","2.0","3.0","2.0","1.5","2.47","2.47","2.32","0.0","6.47"
"49.0","Petrol, Super","1 Ltr","113.18","113.18","113.2","114.8","113.01","113.28","113.2","113.42","114.1","113.16","114.12","113.15","113.3","113.2","115.4","113.1","116.8","113.74","107.36","91.75","5.94","23.97"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","127.3","127.32","127.3","128.5","127.17","127.3","127.4","127.48","128.5","127.29","128.05","127.3","127.5","127.3","129.9","127.2","130.22","127.83","122.19","104.57","4.62","22.24"
"51.0","LPG Cylinder, 11kg","Each","1352.5","1330.0","1127.5","1149.75","1113.75","1150.0","1100.0","1109.38","1210.0","1222.16","1210.0","1402.5","1347.5","1292.5","1118.75","1262.5","1400.0","1229.34","1296.17","1270.59","-5.16","-3.25"
"52.0","Telephone Local Call","P/Call","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","3.94","0.0","18.02"
"53.0","Soap, LifeBuoy","Each","40.0","40.0","41.5","40.0","40.0","42.0","42.0","40.0","42.25","42.25","42.25","42.25","40.0","40.0","40.0","42.0","42.0","41.09","40.47","39.19","1.53","4.85"
