"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of June 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
19 May 19","Jun
Jun 18","","%change Jun 19 over
May 19 Jun 18",""
"1.0","Wheat","10 Kg","372.5","372.5","375.0","337.5","347.5","355.0","329.38","345.63","357.5","387.5","351.25","337.5","326.88","398.75","381.25","360.0","350.0","357.98","347.88","326.16","2.9","9.76"
"2.0","Wheat Flour, Bag","10 Kg","427.11","420.63","417.5","405.0","402.5","407.5","377.5","397.5","417.5","457.46","431.72","418.75","403.75","423.13","426.25","423.75","382.5","414.12","395.17","361.47","4.8","14.57"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","96.88","89.38","70.0","70.0","74.82","90.0","68.75","88.33","60.0","85.87","85.0","65.0","90.0","84.17","53.75","105.0","80.0","79.82","79.26","74.51","0.71","7.13"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","66.25","65.0","60.0","47.5","57.0","65.0","70.0","53.33","47.5","60.52","51.0","55.0","43.5","58.75","62.5","82.5","56.25","58.92","58.61","53.22","0.53","10.71"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","45.0","40.0","48.57","45.0","45.0","47.5","48.75","48.85","50.0","50.0","45.0","45.0","35.0","45.0","40.0","45.22","44.43","42.56","1.78","6.25"
"6.0","Beef With Bone, (AQ)","1 Kg","487.5","482.4","393.75","450.0","423.48","387.5","400.0","396.67","365.0","500.87","422.5","400.0","400.0","384.17","350.0","390.0","400.0","413.76","408.03","366.92","1.4","12.77"
"7.0","Mutton, Average Quality","1 Kg","1002.03","985.32","875.0","900.0","923.21","950.0","893.75","850.0","725.0","915.63","818.75","762.5","825.0","825.0","700.0","850.0","750.0","855.95","844.79","772.74","1.32","10.77"
"8.0","Chicken Farm, Broiler, Live","1 Kg","162.97","150.21","149.0","156.5","149.42","148.0","150.0","160.21","149.5","176.32","169.38","171.25","155.0","161.5","190.25","191.25","225.0","165.63","185.05","198.58","-10.49","-16.59"
"9.0","Milk, Fresh, Unboiled","1 Ltr","107.19","102.71","90.0","80.0","78.0","90.0","70.0","83.54","67.5","94.88","94.0","92.5","95.0","98.33","85.0","110.0","87.5","89.77","88.75","84.8","1.15","5.86"
"10.0","Curd (Dahi)","1 Kg","120.94","112.92","100.0","90.0","92.5","99.38","90.0","99.59","80.0","142.79","135.0","102.5","102.5","110.0","100.0","120.0","97.5","105.62","104.42","101.45","1.15","4.11"
"11.0","Powdered Milk, Nido, Polybag","400 gm","410.26","410.26","410.26","410.26","410.0","405.0","416.0","410.25","410.0","400.0","430.76","410.25","425.0","403.33","410.25","420.0","400.0","411.29","411.05","385.12","0.06","6.8"
"12.0","Eggs Hen, Farm","Dozen","86.33","78.7","82.5","85.0","79.47","79.38","80.5","75.63","81.5","80.09","81.88","81.5","75.0","86.88","100.0","96.25","120.0","85.33","85.52","89.11","-0.22","-4.24"
"13.0","Mustard Oil, Average Quality","1 Kg","246.25","241.67","170.0","160.0","187.86","220.0","190.0","184.17","170.0","185.96","163.75","150.0","227.5","233.33","177.5","210.0","200.0","195.18","194.26","185.59","0.47","5.17"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","535.0","535.0","550.0","520.0","530.0","527.5","520.0","545.0","545.0","545.0","525.0","510.0","535.0","513.0","521.25","525.0","460.0","525.99","522.85","476.88","0.6","10.3"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","505.0","505.0","520.0","500.0","520.0","507.5","495.0","515.0","515.0","515.0","515.0","490.0","520.0","495.0","495.0","520.0","455.0","505.15","501.53","471.41","0.72","7.16"
"16.0","Vegetable Ghee (Loose)","1 Kg","162.5","162.08","157.5","156.25","164.0","152.0","155.75","165.34","167.5","167.17","200.0","145.0","142.5","176.67","178.75","196.25","125.0","163.19","160.98","149.09","1.37","9.46"
"17.0","Bananas","Dozen","156.25","136.04","121.25","115.0","113.58","115.0","83.75","121.25","140.0","88.13","87.5","100.0","108.75","105.0","137.5","122.5","86.88","114.02","115.83","119.28","-1.56","-4.41"
"18.0","Pulse Masoor, Washed","1 Kg","133.75","118.15","150.0","150.0","133.93","135.0","140.0","114.17","120.0","111.25","103.13","110.0","105.0","100.33","115.0","140.0","120.0","123.51","122.96","111.04","0.45","11.23"
"19.0","Pulse Moong, Washed","1 Kg","175.63","168.82","158.75","165.0","160.0","166.25","176.25","165.0","167.5","165.77","157.5","165.0","148.75","155.0","167.5","177.5","145.0","163.84","154.73","112.7","5.89","45.38"
"20.0","Pulse Mash, Washed","1 Kg","186.88","174.92","179.38","185.0","168.48","177.5","190.0","165.0","167.5","163.22","158.44","165.0","156.25","181.67","160.0","210.0","125.0","171.43","164.15","147.4","4.43","16.3"
"21.0","Pulse Gram, Washed","1 Kg","143.13","133.9","115.63","112.5","120.71","120.0","115.0","119.17","130.0","130.48","121.88","125.0","119.38","130.0","120.0","160.0","140.0","126.87","126.95","113.36","-0.06","11.92"
"22.0","Potatoes","1 Kg","42.97","37.4","35.0","30.0","34.38","29.38","23.75","35.0","25.0","34.4","32.66","30.0","30.0","29.38","32.5","28.75","32.5","31.95","26.82","30.65","19.13","4.24"
