"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of March 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Mar 19 Feb 19 Mar 18","","","%change Mar 19 over
Feb 19 Mar 18",""
"1.0","Wheat","10 Kg","362.5","362.5","362.5","374.0","347.5","350.0","325.0","340.0","336.88","390.0","353.75","325.0","348.75","370.0","355.0","360.0","350.0","353.73","355.14","341.9","-0.4","3.46"
"2.0","Wheat Flour, Bag","10 Kg","393.75","393.33","380.0","390.0","392.5","395.0","365.0","379.58","390.0","449.95","417.5","383.75","383.75","390.83","396.25","420.0","386.25","394.56","395.24","384.16","-0.17","2.71"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","96.88","89.38","70.0","70.0","74.82","85.0","65.0","87.5","60.0","85.68","85.0","65.0","83.13","84.38","53.75","95.0","80.0","78.27","78.14","73.94","0.17","5.86"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","66.25","65.0","60.0","47.5","57.0","61.25","70.0","50.0","47.5","59.29","51.0","55.0","42.06","57.09","62.5","75.0","53.75","57.66","56.5","52.01","2.05","10.86"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","45.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","45.0","35.0","40.0","40.0","43.73","43.59","42.56","0.32","2.75"
"6.0","Beef With Bone, (AQ)","1 Kg","481.25","451.77","375.0","450.0","389.2","375.0","400.0","390.0","365.0","468.65","390.0","400.0","397.5","372.5","350.0","380.0","400.0","402.11","400.15","350.42","0.49","14.75"
"7.0","Mutton, Average Quality","1 Kg","954.54","945.52","800.0","900.0","869.64","850.0","875.0","829.17","725.0","887.26","800.0","750.0","825.0","825.0","600.0","775.0","750.0","821.24","819.25","744.88","0.24","10.25"
"8.0","Chicken Farm, Broiler, Live","1 Kg","170.27","159.38","153.0","159.0","159.75","162.0","161.88","185.71","173.5","204.78","193.44","195.0","193.75","171.25","166.75","200.0","225.63","178.53","151.73","168.86","17.66","5.73"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","100.83","90.0","80.0","78.0","90.0","70.0","83.33","67.5","94.19","94.0","90.0","95.0","95.0","85.0","98.75","80.0","87.89","87.08","82.5","0.93","6.53"
