"","","","","MONTHLY AVERAGE PRICES OF ESSENTIAL ITEMS, MARCH 2012","","","","","","","","","","","","","","","",""
"SL
NO","DESCRIPTION","UNIT","ISLAM-
ABAD","RAWAL-GUJRAN-
PINDI WALA","","SIAL-
KOT","LAHORE","FAISAL-
ABAD","SAR-
GODHA","MUL-
TAN","BAHA-
WALPUR","KARA-
CHI","HYDER- SUKKUR
ABAD","","LAR-
KANA","PESHA-
WAR","BANNU QUETTA","","KHUZ-
DAR","AVERAGE"
"32.0","COOKED DAL PLATE","EACH","41.88","38.75","30.0","32.5","41.79","35.0","30.0","30.0","32.5","35.0","35.0","35.0","40.0","58.67","37.5","45.0","50.0","38.15"
"33.0","TEA (PREPARED)","CUP","15.0","15.0","15.0","15.0","13.5","15.0","12.0","15.0","13.0","15.0","13.5","15.5","20.0","13.7","11.0","18.0","15.0","14.72"
"34.0","CIGARETTES K-2","20'S","30.0","30.0","28.0","28.0","28.4","30.0","28.0","28.0","28.0","30.0","28.8","30.0","30.0","30.0","32.0","30.0","30.0","29.36"
"35.0","COARSE LAWHA","MTR.","130.5","123.0","92.5","95.0","177.5","95.0","151.5","166.0","135.0","116.0","150.0","145.0","130.0","147.33","100.0","109.0","105.0","127.55"
"36.0","SHIRTING","MTR.","122.75","120.5","130.0","125.0","87.5","125.0","130.0","130.0","85.0","92.69","95.0","85.0","90.0","139.5","89.5","117.0","130.0","111.44"
"37.0","LATN","MTR.","144.25","131.75","150.0","105.0","191.79","112.5","113.0","130.0","124.8","140.0","204.0","150.0","175.0","159.33","116.5","105.0","104.0","138.64"
"38.0","VOIL PRINTED","MTR.","113.0","110.5","82.5","82.5","82.86","95.0","113.5","80.0","83.0","91.15","90.0","85.0","95.0","85.0","90.0","88.5","89.0","91.56"
"39.0","SANDAL GENTS BATA","PAIR","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"40.0","SANDAL LADIES BATA","PAIR","171.0","171.0","171.0","171.0","171.0","171.0","171.0","171.0","171.0","171.0","171.0","171.0","171.0","171.0","171.0","171.0","171.0","171.0"
"41.0","CHAPPAL SPNG.BATA","PAIR","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0"
