"","","","","","","","Average Monthly Prices of 53 Items for the month of March 2016","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 16 Jan 16 Feb 15","","","%change Feb 16
over",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.47","10.47","9.99","0.0","4.8"
"28.0","Red Chilly Powder, Loose","1 Kg","326.25","313.33","265.0","260.0","252.14","255.0","295.0","243.33","225.0","326.25","282.5","265.0","239.0","230.0","270.0","310.0","300.0","273.99","273.63","263.65","0.13","3.92"
"29.0","Garlic","1 Kg","314.25","291.09","278.0","280.0","281.86","307.0","271.0","286.67","296.0","282.69","274.0","260.0","234.0","256.33","265.0","204.0","213.0","270.29","237.33","142.28","13.89","89.97"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","164.21","157.89","157.9","158.0","157.89","170.52","157.89","189.47","183.15","162.36","183.9","136.9","-11.71","18.6"
"31.0","Cooked Beef, Average Hotel","Plate","96.25","92.5","62.5","62.5","83.04","75.0","100.0","78.0","70.0","75.58","75.94","100.0","100.0","120.0","96.0","90.0","140.0","89.25","88.61","83.14","0.72","7.35"
"32.0","Cooked Daal, Average Hotel","Plate","70.0","63.33","40.0","40.0","61.07","42.5","40.0","40.0","50.0","53.08","51.88","50.0","65.0","60.0","47.5","65.0","80.0","54.08","53.99","48.9","0.17","10.59"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","20.0","17.5","20.0","20.0","20.0","20.0","15.0","21.73","20.0","20.0","22.5","15.0","20.0","21.0","20.0","19.57","19.57","18.86","0.0","3.76"
"34.0","Cigarettes, K-2, 20's","Packet","60.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","57.0","60.0","60.0","60.0","60.0","60.0","56.0","60.0","65.0","59.88","59.82","45.41","0.1","31.87"
"35.0","Long Cloth, 57"", (SN)","1 mtr","205.0","195.0","137.5","135.0","247.14","237.5","235.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","155.0","170.0","190.0","202.77","202.77","201.3","0.0","0.73"
"36.0","Shirting, (AQ), (SN)","1 mtr","182.5","175.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","161.94","161.94","159.15","0.0","1.75"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","261.07","240.0","360.0","150.0","150.0","372.0","240.0","280.0","333.0","360.0","186.5","180.0","165.0","243.97","243.03","239.15","0.39","2.02"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","100.0","105.0","95.0","123.24","123.24","123.1","0.0","0.11"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
