"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of May 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
May 19 Apr 19 May 18","","","%change May 19 over
Apr 19 May 18",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","15.0","15.0","20.54","10.0","10.0","10.0","12.0","12.62","15.0","10.0","10.0","15.0","12.0","10.0","10.0","12.42","12.42","11.52","0.0","7.81"
"28.0","Red Chilly Powder, Loose","1 Kg","397.5","355.0","330.0","320.0","327.86","365.0","400.0","323.33","310.0","392.31","385.0","365.0","290.0","356.67","342.0","390.0","290.0","349.39","350.06","280.77","-0.19","24.44"
"29.0","Garlic","1 Kg","274.25","234.58","233.0","250.0","196.36","186.0","139.0","209.0","160.0","199.46","191.5","206.5","180.0","241.0","198.0","197.0","224.0","207.04","193.34","130.51","7.09","58.64"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.0","221.05","221.05","221.05","221.05","221.05","221.05","221.05","195.0","219.51","219.51","199.24","0.0","10.17"
"31.0","Cooked Beef, Average Hotel","Plate","128.13","117.5","145.0","150.0","128.14","155.0","120.0","105.0","125.0","99.23","95.0","100.0","100.0","120.0","105.0","90.0","185.0","121.65","119.55","110.69","1.76","9.9"
"32.0","Cooked Daal, Average Hotel","Plate","85.0","75.83","55.0","60.0","67.32","60.0","50.0","46.25","60.0","64.31","60.0","70.0","65.0","60.0","50.0","75.0","87.5","64.19","64.11","61.38","0.12","4.58"
"33.0","Tea Prepared, Average Hotel","Cup","25.31","25.0","25.0","20.0","24.11","25.0","25.0","23.33","22.5","24.42","30.0","25.0","30.0","20.0","20.0","21.0","20.0","23.86","23.72","21.48","0.59","11.08"
"34.0","Cigarettes, K-2, 20's","Packet","60.0","60.0","60.0","60.0","60.0","70.0","60.0","50.0","60.0","60.19","60.0","60.0","50.0","65.0","70.0","50.0","60.0","59.72","59.71","51.18","0.02","16.69"
"35.0","Long Cloth","1 mtr","245.0","235.0","180.0","180.0","295.0","237.5","275.0","300.0","260.0","192.0","300.0","375.0","260.0","350.0","422.5","550.0","250.0","288.65","284.41","224.4","1.49","28.63"
"36.0","Shirting","1 mtr","235.63","225.0","200.0","200.0","165.0","135.0","170.0","250.0","125.0","176.46","140.0","175.0","183.0","321.0","180.0","160.0","170.0","188.89","185.24","176.94","1.97","6.75"
"37.0","Lawn","1 mtr","260.0","240.0","245.0","250.0","337.5","280.0","393.34","200.0","383.5","421.54","280.0","393.0","366.0","393.0","463.0","500.0","250.0","332.7","332.7","272.74","0.0","21.98"
"38.0","Georgette","1 mtr","175.0","173.75","175.0","160.0","145.0","165.0","150.0","105.0","110.0","123.7","120.0","150.0","148.0","123.33","100.0","105.0","150.0","139.93","138.54","131.49","1.0","6.42"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","","145.08","145.08","128.7","0.0","12.73"
"44.0","Kerosene Oil","1 Ltr","148.75","142.67","134.0","140.6","130.0","130.0","120.0","124.0","136.4","139.18","128.6","124.0","147.0","131.17","118.45","107.4","90.0","128.95","125.36","117.06","2.86","10.16"
"45.0","Firewood Whole","40 Kg","787.5","741.67","775.0","700.0","810.71","600.0","550.0","708.33","650.0","661.54","600.0","400.0","490.0","729.17","500.0","650.0","625.0","645.82","645.7","626.25","0.02","3.12"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","170.0","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","180.0","190.0","170.0","180.0","150.0","171.76","171.76","171.18","0.0","0.34"
"47.0","Washing Soap, (Nylon), (SN)","Cake","30.0","30.0","40.0","45.0","45.0","30.0","45.0","22.0","20.0","14.0","30.0","28.0","30.0","20.0","25.0","40.0","40.0","31.41","31.41","27.74","0.0","13.23"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","3.0","2.5","3.0","3.0","2.5","3.0","2.0","3.0","2.0","1.5","2.47","2.47","2.3","0.0","7.39"
"49.0","Petrol, Super","1 Ltr","106.99","106.97","107.0","108.58","106.88","106.97","107.34","107.08","107.75","106.98","107.99","106.99","107.2","106.99","109.28","106.73","107.34","107.36","99.86","88.54","7.51","21.26"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","121.82","121.82","121.82","123.02","121.69","121.82","121.92","121.98","122.89","121.82","122.59","121.82","122.02","121.82","124.46","121.64","122.26","122.19","118.37","99.58","3.23","22.71"
"51.0","LPG Cylinder, 11kg","Each","1426.0","1420.0","1210.0","1215.6","1144.0","1240.0","1180.0","1206.5","1298.0","1276.85","1375.0","1430.0","1430.0","1298.0","1210.0","1275.0","1400.0","1296.17 1297.24 1222.88","","","-0.08","5.99"
"52.0","Telephone Local Call","P/Call","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","3.94","0.0","18.02"
"53.0","Soap, LifeBuoy","Each","40.0","40.0","40.0","40.0","40.0","42.0","42.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","42.0","42.0","40.47","40.47","39.18","0.0","3.29"
