"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of May 2018","","","","","","","","","","","","","","","","",""
"19.0","Pulse Moong, Washed","1 Kg","130.32","122.6","102.5","110.0","123.93","110.0","110.0","100.0","120.0","117.88","106.25","125.0","105.63","101.67","100.0","156.25","100.0","114.24","115.2","129.41","-0.83","-11.72"
"20.0","Pulse Mash, Washed","1 Kg","161.26","145.42","150.0","150.0","191.43","160.0","175.0","124.17","125.0","121.15","111.25","120.0","115.0","119.33","122.5","190.0","230.0","147.74","148.05","194.02","-0.21","-23.85"
"21.0","Pulse Gram, Washed","1 Kg","133.13","118.75","100.0","106.25","118.93","105.0","100.0","102.5","120.0","118.03","112.19","120.0","101.25","116.0","100.0","145.0","120.0","113.94","114.81","131.47","-0.76","-13.33"
"22.0","Potatoes","1 Kg","38.13","34.38","28.13","30.63","27.06","29.06","20.0","24.38","25.0","25.53","23.44","20.63","20.0","28.54","24.38","28.75","28.5","26.86","23.35","34.77","15.03","-22.75"
"23.0","Onions","1 Kg","44.69","38.85","30.0","28.75","28.93","29.69","24.38","25.83","26.25","25.79","22.19","25.63","23.75","33.02","31.25","31.25","22.5","28.99","30.15","29.48","-3.85","-1.66"
"24.0","Tomatoes","1 Kg","48.13","41.36","28.13","28.13","30.0","28.75","25.0","21.46","21.25","41.49","37.19","26.88","20.0","37.5","31.25","40.0","31.25","31.63","33.25","30.13","-4.87","4.98"
"25.0","Sugar, Refined","1 Kg","58.25","54.46","52.13","52.0","54.64","52.0","52.0","51.5","52.0","54.48","51.0","50.5","50.0","52.5","52.88","55.0","50.25","52.68","52.85","58.46","-0.32","-9.89"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","70.0","70.0","84.29","75.0","70.0","66.25","67.5","82.5","76.25","68.75","61.25","85.21","82.5","85.0","85.0","78.66","75.76","83.54","3.83","-5.84"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","18.5","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","15.0","12.0","10.0","10.0","11.5","11.34","10.71","1.41","7.38"
"28.0","Red Chilly Powder, Loose","1 Kg","322.5","306.67","260.0","270.0","277.86","280.0","310.0","270.0","270.0","300.0","301.25","250.0","260.0","241.67","237.5","310.0","290.0","279.85","270.17","264.2","3.58","5.92"
"29.0","Garlic","1 Kg","172.04","130.42","110.0","118.75","134.29","138.75","100.0","128.75","86.25","147.69","133.75","112.5","93.75","180.0","132.5","167.5","163.75","132.39","144.92","228.9","-8.65","-42.16"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","205.26","205.26","200.0","200.0","200.0","200.0","200.0","200.0","202.5","194.74","194.73","194.73","194.73","202.63","194.73","194.73","194.73","198.75","195.06","203.7","1.89","-2.43"
"31.0","Cooked Beef, Average Hotel","Plate","115.0","113.33","120.0","130.0","115.0","135.0","100.0","100.0","125.0","93.46","80.0","100.0","100.0","120.0","105.0","90.0","140.0","110.69","109.49","93.51","1.1","18.37"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","45.0","60.0","67.32","55.0","50.0","40.0","60.0","61.54","60.0","70.0","65.0","60.0","50.0","65.0","80.0","61.38","61.08","56.94","0.49","7.8"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.0","22.5","20.0","20.0","22.5","21.73","25.0","25.0","27.5","15.0","20.0","21.0","20.0","21.48","21.41","20.75","0.33","3.52"
"34.0","Cigarettes, K-2, 20's","Packet","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","55.0","50.0","50.0","50.0","55.0","60.0","50.0","50.0","51.18","51.1","67.35","0.16","-24.01"
"35.0","Long Cloth","1 mtr","225.0","215.0","162.5","160.0","267.5","237.5","245.0","260.0","197.5","180.0","240.0","300.0","200.0","333.33","157.5","210.0","195.0","222.7","219.61","207.57","1.41","7.29"
"36.0","Shirting","1 mtr","216.88","205.0","180.0","180.0","155.0","125.0","150.0","240.0","120.0","166.15","140.0","175.0","157.5","300.0","147.5","160.0","190.0","176.94","175.2","166.7","0.99","6.14"
"37.0","Lawn","1 mtr","240.0","220.0","217.5","220.0","305.0","280.0","393.34","200.0","169.0","415.0","280.0","375.0","366.66","393.0","187.5","200.0","165.0","272.18","268.9","255.19","1.22","6.66"
"38.0","Georgette","1 mtr","165.0","162.92","150.0","140.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","150.0","130.0","123.33","100.0","105.0","117.5","131.49","130.75","124.98","0.57","5.21"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","194.02","179.09","2.57","11.12"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","574.85","502.39","4.2","19.23"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","130.0","127.5","118.0","119.0","125.0","110.0","110.0","110.0","125.0","134.23","115.0","120.0","130.0","113.33","119.0","92.0","92.0","117.06","115.11","78.81","1.69","48.53"
"45.0","Firewood Whole","40 Kg","787.5","741.67","750.0","700.0","764.29","600.0","550.0","646.67","625.0","651.92","550.0","400.0","450.0","729.17","500.0","650.0","550.0","626.25","626.25","609.09","0.0","2.82"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","170.0","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","180.0","180.0","170.0","180.0","150.0","171.18","170.51","167.79","0.39","2.02"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","40.0","22.0","40.0","25.0","40.0","22.0","20.0","14.0","30.0","26.0","30.0","20.0","22.5","30.0","40.0","27.74","27.74","25.91","0.0","7.06"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","2.5","2.5","2.0","2.0","2.5","2.5","2.0","3.0","2.0","1.5","2.29","2.26","2.21","1.33","3.62"
"49.0","Petrol, Super","1 Ltr","88.15","88.14","88.15","89.9","88.06","88.18","88.28","88.24","88.71","88.14","88.82","88.14","88.3","88.14","90.1","88.01","89.7","88.54","86.98","74.85","1.79","18.29"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","99.25","99.24","99.26","100.5","99.11","99.33","99.4","99.25","99.9","99.25","100.01","99.3","99.5","99.24","101.3","99.06","99.98","99.58","97.35","83.97","2.29","18.59"
"51.0","LPG Cylinder, 11kg","Each","1305.0","1285.0","1113.75","1100.0","1141.25","1225.0","1187.5","1200.0","1210.0","1210.0","1210.0","1210.0","1320.0","1237.5","1162.5","1275.0","1175.0","1209.85","1177.21","1016.78","2.77","18.99"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","38.0","38.0","38.0","38.0","38.0","42.0","42.0","38.0","38.0","38.0","38.0","38.0","40.0","38.0","40.0","42.0","42.0","39.18","39.18","40.59","0.0","-3.47"
