"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of September 2019","","","","","","","","","","","","","","","","",""
"20.0","Pulse Mash, Washed","1 Kg","201.88","191.67","180.0","190.0","174.64","195.0","200.0","171.67","170.0","173.66","169.38","180.0","178.75","174.17","171.88","232.5","135.0","181.78","180.37","144.54","0.78","25.76"
"21.0","Pulse Gram, Washed","1 Kg","156.25","142.5","121.25","115.0","120.71","127.5","115.0","121.04","130.0","136.16","133.75","125.0","120.0","147.92","123.75","170.0","140.0","132.11","130.46","118.99","1.26","11.03"
"22.0","Potatoes","1 Kg","54.06","45.0","58.75","55.0","38.49","64.38","27.5","40.0","37.5","38.2","39.69","30.0","39.38","38.75","32.5","36.25","25.0","41.2","40.09","32.25","2.77","27.75"
"23.0","Onions","1 Kg","95.16","87.08","71.88","77.5","75.0","71.88","67.5","76.67","70.0","72.21","76.56","62.5","71.25","77.29","65.0","57.5","49.38","72.02","64.15","38.0","12.27","89.53"
"24.0","Tomatoes","1 Kg","68.91","56.56","61.25","56.25","53.93","48.75","45.0","46.25","53.75","54.23","52.19","50.0","66.25","42.92","34.38","35.0","40.0","50.92","55.36","72.46","-8.02","-29.73"
"25.0","Sugar, Refined","1 Kg","80.13","77.31","76.13","74.81","76.42","74.56","75.0","73.09","74.38","75.44","72.75","72.63","72.75","76.25","75.0","76.0","72.75","75.02","75.38","54.99","-0.48","36.42"
"26.0","Gur, Average Quality","1 Kg","118.75","107.08","115.0","120.0","116.43","117.5","120.0","116.25","120.0","116.54","117.19","112.5","100.0","117.71","110.0","107.5","100.0","113.67","110.82","85.72","2.57","32.61"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.75","12.63","15.0","15.0","20.54","10.0","10.0","10.0","12.0","12.62","15.0","10.0","10.0","15.0","12.0","10.0","10.0","12.5","12.42","11.99","0.64","4.25"
"28.0","Red Chilly Powder, Loose","1 Kg","397.5","355.0","330.0","320.0","347.86","380.0","400.0","272.5","310.0","393.65","385.0","365.0","290.0","350.0","327.5","385.0","290.0","347.0","345.38","340.21","0.47","2.0"
"29.0","Garlic","1 Kg","314.38","286.88","240.0","280.0","275.36","255.0","280.0","243.33","240.0","292.12","232.19","202.5","185.0","255.83","275.0","280.0","250.0","258.09","256.13","122.91","0.77","109.98"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","242.11","242.11","242.11","242.0","236.76","231.58","226.29","242.1","242.0","236.85","236.84","228.95","236.84","236.84","236.84","236.84","230.33","236.91","219.51","204.05","7.93","16.1"
"31.0","Cooked Beef, Average Hotel","Plate","133.13","126.67","145.0","150.0","131.43","170.0","130.0","105.0","125.0","109.62","100.0","120.0","100.0","120.0","105.0","112.5","200.0","128.43","127.38","114.56","0.82","12.11"
"32.0","Cooked Daal, Average Hotel","Plate","86.88","80.83","55.0","60.0","67.32","65.0","60.0","48.75","60.0","70.39","60.0","70.0","65.0","60.0","50.0","92.5","87.5","67.01","66.26","61.75","1.13","8.52"
"33.0","Tea Prepared, Average Hotel","Cup","25.94","25.32","25.0","25.0","24.11","25.0","25.0","23.96","22.5","24.9","30.0","30.0","30.0","20.0","20.63","21.5","20.0","24.64","24.51","21.81","0.53","12.98"
"34.0","Cigarettes, K-2, 20's","Packet","70.0","70.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","70.0","80.0","80.0","76.0","80.0","80.0","60.0","70.0","76.24","76.24","51.76","0.0","47.3"
"35.0","Long Cloth","1 mtr","262.5","255.0","180.0","200.0","295.0","237.5","275.0","341.0","333.0","200.0","325.0","375.0","300.0","450.0","440.0","550.0","250.0","309.94","306.32","234.24","1.18","32.32"
"36.0","Shirting","1 mtr","249.38","245.0","200.0","220.0","165.0","135.0","170.0","250.0","155.0","183.85","143.75","175.0","200.0","420.83","225.0","165.0","170.0","204.28","204.06","178.63","0.11","14.36"
"37.0","Lawn","1 mtr","260.0","240.0","245.0","270.0","337.5","280.0","393.34","200.0","420.5","421.54","320.0","393.0","500.0","430.0","469.5","500.0","250.0","348.85","348.52","288.12","0.09","21.08"
"38.0","Georgette","1 mtr","185.0","183.75","175.0","170.0","145.0","165.0","150.0","105.0","110.0","123.85","120.0","150.0","160.0","128.33","120.0","110.0","160.0","144.76","144.17","132.08","0.41","9.6"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","","246.29","246.29","128.7","0.0","91.37"
"44.0","Kerosene Oil","1 Ltr","150.0","145.42","137.5","140.0","130.0","136.0","120.0","130.0","140.0","140.0","135.0","125.0","147.5","135.67","121.25","107.0","100.0","131.78","134.09","121.36","-1.72","8.59"
"45.0","Firewood Whole","40 Kg","787.5","741.67","787.5","700.0","810.71","600.0","550.0","718.75","668.75","662.98","600.0","500.0","500.0","729.17","500.0","650.0","625.0","654.83","652.49","627.91","0.36","4.29"
"46.0","Energy Saver (14 watts)","Each","175.0","175.0","170.0","155.0","170.0","165.0","180.0","200.0","175.0","180.0","200.0","155.0","190.0","190.0","170.0","210.0","150.0","177.06","177.06","171.18","0.0","3.43"
"47.0","Washing Soap, (Nylon), (SN)","Cake","30.0","30.0","40.0","50.0","48.0","30.0","45.0","22.0","25.0","15.5","30.0","28.0","35.0","20.0","30.0","45.0","40.0","33.15","32.54","28.37","1.87","16.85"
"48.0","Match Box, Regular","Each","2.5","2.5","3.0","2.0","3.0","2.5","3.0","3.0","2.5","3.0","3.0","3.0","3.0","2.0","3.0","2.0","1.5","2.62","2.59","2.35","1.16","11.49"
"49.0","Petrol, Super","1 Ltr","113.73","113.71","113.8","113.85","113.57","113.7","113.9","113.71","114.7","113.76","114.72","113.74","114.0","113.7","116.0","113.71","116.88","114.19","118.91","93.88","-3.97","21.63"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","127.63","127.65","127.7","127.75","127.49","127.6","127.8","127.6","128.8","127.66","128.67","127.7","127.9","127.6","130.3","127.57","130.78","128.13","133.51","107.56","-4.03","19.12"
"51.0","LPG Cylinder, 11kg","Each","1362.5","1332.5","1237.5","1200.0","1153.04","1287.5","1137.5","1235.62","1265.0","1267.65","1361.25","1320.0","1375.0","1320.0","1175.0","1300.0","1517.0","1285.12","1249.89","1576.47","2.82","-18.48"
"52.0","Telephone Local Call","P/Call","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","3.94","0.0","18.02"
"53.0","Soap, LifeBuoy","Each","43.0","43.0","43.0","43.0","43.0","51.0","43.5","43.5","43.5","45.0","45.0","44.5","43.0","44.5","43.0","43.0","42.0","43.91","42.9","40.71","2.35","7.86"
