"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of September 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
19 Aug 19","Sep
Sep 18","","%change Sep 19 over
Aug 19 Sep 18",""
"1.0","Wheat","10 Kg","377.5","377.5","375.0","350.0","355.0","381.25","350.0","360.31","359.38","405.0","397.5","346.88","355.0","395.0","388.13","370.0","350.0","370.2","361.6","334.57","2.38","10.65"
"2.0","Wheat Flour, Bag","10 Kg","437.02","431.17","420.0","410.0","410.0","430.0","390.0","404.33","440.0","528.18","492.5","455.0","430.0","434.58","440.0","452.5","412.5","436.34","424.87","387.9","2.7","12.49"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","100.63","90.83","77.5","75.0","74.82","90.0","75.0","88.33","60.0","87.91","87.5","65.0","92.5","84.59","53.75","105.0","79.38","81.63","81.37","76.72","0.32","6.4"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","71.25","72.5","60.0","47.5","57.0","65.0","70.0","56.04","47.5","61.41","57.5","55.0","46.5","59.17","62.5","82.5","57.81","60.54","60.43","54.29","0.18","11.51"
"5.0","Bread Plain, Medium Size","Each","50.0","50.0","45.0","40.0","55.0","55.0","45.0","53.75","55.0","55.0","55.0","50.0","50.0","45.0","40.0","50.0","40.0","49.04","47.55","42.85","3.13","14.45"
"6.0","Beef With Bone, (AQ)","1 Kg","495.0","485.0","400.0","450.0","423.21","400.0","420.0","396.67","365.0","522.21","445.0","400.0","400.0","384.17","350.0","400.0","400.0","419.78","419.56","375.59","0.05","11.77"
"7.0","Mutton, Average Quality","1 Kg","1009.38","994.17","900.0","900.0","923.21","1000.0","950.0","850.0","725.0","945.19","850.0","800.0","875.0","825.0","705.0","850.0","750.0","873.64","866.49","788.08","0.83","10.86"
"8.0","Chicken Farm, Broiler, Live","1 Kg","202.03","191.36","184.75","195.25","181.5","191.5","186.25","196.25","184.5","224.47","218.91","217.5","215.0","202.25","200.63","213.75","245.0","202.99","183.02","118.31","10.91","71.57"
"9.0","Milk, Fresh, Unboiled","1 Ltr","108.75","107.08","90.0","80.0","79.47","95.0","75.0","86.67","70.0","103.61","95.5","100.0","110.0","100.83","87.5","110.0","90.0","93.49","92.71","85.51","0.84","9.33"
"10.0","Curd (Dahi)","1 Kg","122.5","115.0","100.0","90.0","98.4","100.0","90.0","103.33","80.0","159.91","140.0","110.0","120.0","111.67","100.0","120.0","100.0","109.46","108.29","102.12","1.08","7.19"
"11.0","Powdered Milk, Nido, Polybag","400 gm","451.28","451.28","451.28","451.28","410.0","451.0","451.28","451.28","451.0","451.28","456.41","451.28","464.07","430.0","430.76","460.0","400.0","444.91","443.24","385.12","0.38","15.53"
"12.0","Eggs Hen, Farm","Dozen","100.8","96.61","97.5","100.0","96.93","98.63","96.25","90.92","96.0","96.77","94.69","90.0","90.0","98.33","108.75","111.25","100.0","97.85","97.38","95.68","0.48","2.27"
"13.0","Mustard Oil, Average Quality","1 Kg","253.75","251.67","190.0","170.0","195.71","220.0","195.0","192.5","175.0","187.69","174.69","160.0","230.0","233.33","180.0","210.0","200.0","201.14","199.13","187.91","1.01","7.04"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","575.0","575.0","573.0","573.0","570.0","575.0","575.0","575.0","575.0","575.0","575.0","550.0","581.25","545.0","575.0","575.0","545.0","569.84","561.09","480.65","1.56","18.56"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","545.0","545.0","555.0","545.0","540.0","545.0","545.0","545.0","545.0","545.0","545.0","520.0","566.25","532.5","560.0","545.0","540.0","544.93","536.47","475.12","1.58","14.69"
"16.0","Vegetable Ghee (Loose)","1 Kg","183.44","183.75","180.0","180.0","180.0","179.0","180.0","177.67","180.0","182.74","220.0","162.5","160.63","195.84","197.5","215.0","160.0","183.42","178.04","150.66","3.02","21.74"
"17.0","Bananas","Dozen","107.97","79.07","65.0","60.0","63.93","50.0","57.5","74.17","71.25","61.49","46.1","60.0","57.5","72.08","64.06","87.5","60.0","66.92","77.82","66.37","-14.01","0.83"
"18.0","Pulse Masoor, Washed","1 Kg","133.75","120.0","150.0","145.0","133.93","137.5","140.0","115.0","120.0","126.83","112.97","110.0","99.38","104.37","120.0","160.0","120.0","126.4","125.79","113.82","0.48","11.05"
"19.0","Pulse Moong, Washed","1 Kg","185.63","178.96","160.0","165.0","166.43","174.38","180.0","161.67","170.0","175.29","167.5","175.0","155.0","162.71","165.0","200.0","155.0","170.45","170.29","114.31","0.09","49.11"
