"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Dec 17 Nov 17 Dec 16","","","%change Dec 17 over
Nov 17 Dec 16",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","16.5","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","11.09","11.0","10.59","0.82","4.72"
"28.0","Red Chilly Powder, Loose","1 Kg","300.0","254.17","240.0","245.0","247.86","247.5","280.0","232.5","225.0","295.48","265.0","250.0","235.0","241.67","243.75","310.0","300.0","259.58","258.52","274.03","0.41","-5.27"
"29.0","Garlic","1 Kg","220.0","165.0","136.25","142.5","167.86","125.0","145.0","155.0","155.0","174.62","159.69","140.0","128.75","180.83","164.38","210.0","175.0","161.46","163.07","302.34","-0.99","-46.6"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","178.95","178.95","178.95","178.95","178.94","178.95","179.0","178.95","179.0","178.95","178.94","178.94","178.94","178.95","205.06","178.94","178.94","180.49","180.49","175.78","0.0","2.68"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","100.0","62.5","102.86","106.25","100.0","80.0","110.0","93.08","77.5","100.0","100.0","120.0","105.0","90.0","140.0","99.93","98.8","92.61","1.14","7.9"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","55.0","50.0","40.0","60.0","61.15","52.5","50.0","65.0","60.0","50.0","65.0","80.0","58.27","58.27","56.91","0.0","2.39"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.0","22.5","20.0","20.0","22.5","21.73","20.0","25.0","27.5","15.0","20.0","21.0","20.0","21.19","21.19","20.28","0.0","4.49"
"34.0","Cigarettes, K-2, 20's","Packet","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","48.0","55.0","50.0","50.0","50.0","55.0","55.0","50.0","50.0","50.76","50.76","65.54","0.0","-22.55"
"35.0","Long Cloth, 57"", (SN)","1 mtr","215.0","205.0","137.5","135.0","267.5","237.5","245.0","250.0","180.0","170.77","240.0","230.0","200.0","333.33","157.5","210.0","195.0","212.3","212.3","205.57","0.0","3.27"
"36.0","Shirting, (AQ), (SN)","1 mtr","206.25","190.0","175.0","175.0","155.0","125.0","150.0","210.0","115.0","166.15","140.0","120.0","157.5","300.0","147.5","160.0","190.0","169.55","169.55","164.3","0.0","3.2"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","305.0","240.0","360.0","150.0","169.0","415.0","280.0","280.0","366.66","360.0","187.5","200.0","165.0","255.77","255.77","251.21","0.0","1.82"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","125.0","130.0","120.0","100.0","105.0","95.0","125.68","125.68","124.13","0.0","1.25"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
