"12/2/2013 4:27 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Average Monthly Prices of 53 Essential Items for the month of November 2013","","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Nov 13 Oct 13 Nov 12","","","%change Nov 13 over
Oct 13 Nov 12",""
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","9.0","8.0","8.0","9.0","9.0","10.0","10.0","10.0","8.0","10.0","10.0","7.0","10.0","10.0","9.22","9.22","8.63","0.0","6.84"
"28.0","Red Chilly Powder, Loose","1 kg","244.06","209.31","200.0","225.0","202.14","186.25","220.0","190.84","190.0","273.08","240.0","230.0","171.25","193.33","210.0","291.25","200.0","216.27","216.95","257.21","-0.31","-15.92"
"29.0","Garlic","1 kg","162.5","148.33","138.75","118.75","155.36","131.25","140.0","118.75","115.0","145.77","123.29","112.5","96.88","137.71","152.5","153.75","145.0","135.06","129.31","119.84","4.45","12.7"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","163.16","163.16","173.68","163.16","173.68","173.68","173.68","163.16","163.16","173.68","173.68","173.68","173.68","173.68","163.16","173.68","163.16","169.35","170.59","141.8","-0.73","19.43"
"31.0","Cooked Beef, Average Hotel","Plate","81.88","77.19","58.75","57.5","78.04","75.0","80.0","70.0","65.0","61.54","61.25","100.0","70.0","92.5","80.0","80.0","120.0","76.98","76.23","68.63","0.98","12.17"
"32.0","Cooked Daal, Average Hotel","Plate","52.5","47.08","33.75","32.5","51.07","42.5","40.0","30.0","32.5","41.54","37.5","50.0","60.0","60.0","45.0","55.0","57.5","45.2","45.13","39.96","0.16","13.11"
"33.0","Tea Prepared, Average Hotel","Cup","19.06","18.13","16.25","15.0","15.0","15.0","17.75","15.0","15.0","15.0","15.0","20.0","22.5","15.0","15.0","19.5","15.0","16.66","16.34","15.2","1.96","9.61"
"34.0","Cigarettes, K-2, 20's","Packet","39.0","39.0","40.0","40.0","35.0","40.0","40.0","36.0","36.0","38.0","36.0","38.0","40.0","40.0","35.0","35.0","34.0","37.71","37.64","32.32","0.19","16.68"
"35.0","Long Cloth","1 mtr","155.0","145.0","112.5","125.0","205.0","125.0","190.0","225.0","165.0","140.0","180.0","230.0","200.0","250.0","140.0","150.0","190.0","172.21","172.0","145.37","0.12","18.46"
"36.0","Shirting","1 mtr","145.0","142.5","162.5","165.0","98.57","125.0","140.0","170.0","115.0","106.15","120.0","120.0","130.0","225.0","127.5","150.0","183.75","142.7","141.6","119.06","0.78","19.86"
