"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of April 2019","","","","","","","","","","","","","","","","",""
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","194.02","0.0","2.57"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","574.85","0.0","4.2"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","","145.08","145.08","128.7","0.0","12.73"
"44.0","Kerosene Oil","1 Ltr","138.75","138.33","130.0","135.0","130.0","130.0","120.0","120.0","130.0","138.56","123.0","120.0","145.0","129.17","112.25","101.0","90.0","125.36","122.94","115.11","1.97","8.9"
"45.0","Firewood Whole","40 Kg","787.5","741.67","775.0","737.5","810.71","600.0","550.0","708.33","650.0","662.02","600.0","400.0","450.0","729.17","500.0","650.0","625.0","645.7","646.84","626.25","-0.18","3.11"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","170.0","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","180.0","190.0","170.0","180.0","150.0","171.76","171.47","170.51","0.17","0.73"
"47.0","Washing Soap, (Nylon), (SN)","Cake","30.0","30.0","40.0","45.0","45.0","30.0","45.0","22.0","20.0","14.0","30.0","28.0","30.0","20.0","25.0","40.0","40.0","31.41","31.07","27.74","1.09","13.23"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","3.0","2.5","3.0","3.0","2.5","3.0","2.0","3.0","2.0","1.5","2.47","2.47","2.26","0.0","9.29"
"49.0","Petrol, Super","1 Ltr","99.36","99.36","99.4","100.9","99.4","99.35","99.51","99.72","99.57","99.36","100.36","99.36","99.6","99.36","101.6","99.19","102.28","99.86","93.95","86.98","6.29","14.81"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","117.9","117.9","117.9","119.1","117.78","117.9","118.0","117.99","118.05","117.9","118.71","117.9","118.1","117.9","120.7","117.73","120.82","118.37","112.45","97.35","5.26","21.59"
"51.0","LPG Cylinder, 11kg","Each","1400.0","1412.5","1210.0","1272.5","1196.01","1250.0","1125.0","1191.46","1292.5","1268.17","1347.5","1430.0","1430.0","1265.0","1237.5","1325.0","1400.0","1297.24 1374.15 1177.21","","","-5.6","10.2"
"52.0","Telephone Local Call","P/Call","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","3.94","0.0","18.02"
"53.0","Soap, LifeBuoy","Each","40.0","40.0","40.0","40.0","40.0","42.0","42.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","42.0","42.0","40.47","40.47","39.18","0.0","3.29"
