"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of April 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
19 Mar 19","Apr
Apr 18","","%change Apr 19 over
Mar 19 Apr 18",""
"1.0","Wheat","10 Kg","362.5","362.5","362.5","362.0","347.5","350.0","321.88","325.16","315.94","382.5","320.63","325.0","328.75","370.0","341.25","360.0","350.0","346.36","353.73","333.06","-2.08","3.99"
"2.0","Wheat Flour, Bag","10 Kg","393.75","393.33","377.5","390.0","392.5","395.0","361.25","372.92","380.0","425.79","409.69","366.25","368.75","390.83","386.25","420.0","382.5","388.61","394.56","376.4","-1.51","3.24"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","96.88","89.38","70.0","70.0","74.82","87.5","66.88","87.5","60.0","85.77","85.0","65.0","85.0","84.38","53.75","97.5","80.0","78.79","78.27","74.5","0.66","5.76"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","66.25","65.0","60.0","47.5","57.0","65.0","70.0","50.0","47.5","60.12","51.0","55.0","42.5","58.12","62.5","80.0","55.0","58.38","57.66","52.34","1.25","11.54"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","45.0","40.0","44.29","45.0","45.0","45.0","45.0","46.03","44.0","50.0","45.0","45.0","35.0","40.0","40.0","43.78","43.73","42.56","0.11","2.87"
"6.0","Beef With Bone, (AQ)","1 Kg","481.25","455.0","375.0","450.0","409.82","375.0","400.0","395.0","365.0","473.66","390.0","400.0","400.0","375.42","350.0","380.0","400.0","404.42","402.11","358.55","0.57","12.79"
"7.0","Mutton, Average Quality","1 Kg","955.63","950.0","800.0","900.0","896.43","950.0","875.0","845.84","725.0","894.23","800.0","750.0","825.0","825.0","620.0","787.5","750.0","832.33","821.24","760.49","1.35","9.45"
"8.0","Chicken Farm, Broiler, Live","1 Kg","189.33","181.11","175.25","180.75","177.75","179.88","173.75","184.58","171.5","222.09","212.97","207.5","198.75","188.25","171.25","218.75","232.5","192.12","178.53","176.1","7.61","9.1"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","100.83","90.0","80.0","78.0","90.0","70.0","83.33","67.5","94.58","94.0","90.0","95.0","95.0","85.0","110.0","80.0","88.57","87.89","83.8","0.77","5.69"
"10.0","Curd (Dahi)","1 Kg","116.25","112.92","100.0","90.0","92.5","97.5","90.0","98.96","80.0","141.73","135.0","100.0","100.0","106.67","96.25","120.0","90.0","103.99","103.17","101.09","0.79","2.87"
"11.0","Powdered Milk, Nido, Polybag","400 gm","410.26","410.26","410.26","410.26","410.0","405.0","416.0","410.25","410.0","400.0","430.76","405.12","425.0","393.33","410.25","410.0","400.0","409.81","406.29","384.27","0.87","6.65"
"12.0","Eggs Hen, Farm","Dozen","85.55","77.39","79.38","79.38","77.91","79.0","76.0","74.17","74.5","82.98","77.19","84.0","81.25","90.21","103.75","112.5","120.0","85.6","101.11","90.21","-15.34","-5.11"
"13.0","Mustard Oil, Average Quality","1 Kg","246.25","241.67","170.0","160.0","187.86","220.0","190.0","184.17","170.0","184.62","160.0","150.0","213.75","233.33","180.0","200.0","200.0","193.63","192.7","183.57","0.48","5.48"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","542.5","542.5","520.0","520.0","527.5","520.0","520.0","545.0","545.0","527.5","510.0","510.0","515.0","513.0","515.0","530.0","460.0","521.35","515.54","475.03","1.13","9.75"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","512.5","512.5","495.0","495.0","513.75","495.0","495.0","515.0","515.0","502.5","490.0","490.0","505.0","495.0","490.0","507.5","455.0","499.04","493.24","469.26","1.18","6.35"
"16.0","Vegetable Ghee (Loose)","1 Kg","162.5","162.08","155.0","155.0","160.0","149.38","150.5","162.92","165.0","163.87","195.0","145.0","132.5","173.23","175.0","195.0","125.0","160.41","159.53","147.12","0.55","9.03"
"17.0","Bananas","Dozen","154.69","132.5","98.75","96.25","115.36","90.0","77.5","101.67","86.25","81.44","72.5","80.0","80.0","93.34","86.25","70.0","81.88","94.02","85.68","84.07","9.73","11.84"
"18.0","Pulse Masoor, Washed","1 Kg","133.75","119.17","150.0","150.0","133.93","135.0","138.75","108.33","116.25","107.12","103.75","110.0","101.25","93.33","116.25","138.75","135.0","122.98","121.82","113.25","0.95","8.59"
"19.0","Pulse Moong, Washed","1 Kg","157.5","150.52","142.5","143.75","137.86","147.5","147.5","138.34","146.25","152.36","144.69","150.0","135.0","134.17","140.0","160.0","135.0","144.88","138.37","115.2","4.7","25.76"
"20.0","Pulse Mash, Washed","1 Kg","163.75","155.94","157.5","160.0","157.14","164.38","180.0","141.67","140.0","145.67","135.0","140.0","137.5","137.09","151.25","202.5","125.0","152.61","152.09","148.05","0.34","3.08"
"21.0","Pulse Gram, Washed","1 Kg","143.13","137.08","110.0","110.0","120.71","120.0","115.0","114.58","130.0","129.33","121.88","125.0","116.25","128.33","111.25","152.5","140.0","125.0","125.09","114.81","-0.07","8.88"
"22.0","Potatoes","1 Kg","34.69","30.63","20.0","20.0","19.64","18.13","16.25","20.0","18.75","25.31","20.0","20.0","20.0","27.08","16.88","22.5","27.5","22.2","21.14","23.35","5.01","-4.93"
"23.0","Onions","1 Kg","67.66","58.54","47.5","50.0","48.12","48.75","41.25","42.92","41.25","45.46","37.97","36.25","44.38","56.88","46.88","47.5","47.5","47.58","36.87","30.15","29.05","57.81"
"24.0","Tomatoes","1 Kg","95.78","83.02","81.88","71.25","73.39","74.38","73.75","70.0","63.75","55.63","41.25","57.81","38.75","81.67","59.69","57.5","87.5","68.65","100.03","33.25","-31.37","106.47"
"25.0","Sugar, Refined","1 Kg","70.39","66.73","65.75","65.25","65.43","65.0","64.75","64.5","65.0","65.23","64.69","64.13","62.38","66.67","65.63","69.25","65.0","65.63","61.15","52.85","7.33","24.18"
"26.0","Gur, Average Quality","1 Kg","105.63","93.33","96.25","100.0","105.71","97.5","83.75","89.17","90.0","98.41","95.0","97.5","85.63","89.17","85.63","90.0","87.5","93.54","90.95","75.76","2.85","23.47"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","15.0","15.0","20.54","10.0","10.0","10.0","12.0","12.62","15.0","10.0","10.0","15.0","12.0","10.0","10.0","12.42","12.38","11.34","0.32","9.52"
"28.0","Red Chilly Powder, Loose","1 Kg","397.5","355.0","325.0","320.0","327.86","378.75","400.0","325.42","310.0","392.31","385.0","365.0","285.0","356.67","357.5","380.0","290.0","350.06","348.72","270.17","0.38","29.57"
"29.0","Garlic","1 Kg","247.03","227.29","203.75","215.0","185.99","168.75","153.75","196.25","205.0","193.51","160.94","175.0","157.5","203.33","208.75","175.0","210.0","193.34","180.3","144.92","7.23","33.41"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.0","221.05","221.05","221.05","221.05","221.05","221.05","221.05","195.0","219.51","219.5","195.06","0.0","12.53"
"31.0","Cooked Beef, Average Hotel","Plate","128.13","117.5","135.0","140.0","115.0","152.5","120.0","105.0","125.0","99.23","95.0","100.0","100.0","120.0","105.0","90.0","185.0","119.55","118.18","109.49","1.16","9.19"
"32.0","Cooked Daal, Average Hotel","Plate","85.0","75.83","55.0","60.0","67.32","58.75","50.0","46.25","60.0","64.15","60.0","70.0","65.0","60.0","50.0","75.0","87.5","64.11","63.58","61.08","0.83","4.96"
"33.0","Tea Prepared, Average Hotel","Cup","25.31","25.0","25.0","20.0","24.02","23.13","25.0","23.33","22.5","24.42","30.0","25.0","30.0","19.58","20.0","21.0","20.0","23.72","23.1","21.41","2.68","10.79"
"34.0","Cigarettes, K-2, 20's","Packet","60.0","60.0","60.0","60.0","60.0","70.0","60.0","50.0","60.0","60.05","60.0","60.0","50.0","65.0","70.0","50.0","60.0","59.71","59.71","51.1","0.0","16.85"
"35.0","Long Cloth","1 mtr","245.0","235.0","180.0","180.0","295.0","237.5","275.0","300.0","260.0","180.0","300.0","375.0","200.0","350.0","422.5","550.0","250.0","284.41","263.6","219.61","7.89","29.51"
"36.0","Shirting","1 mtr","228.13","221.25","200.0","200.0","165.0","125.0","170.0","245.0","125.0","166.15","140.0","175.0","157.5","321.0","180.0","160.0","170.0","185.24","181.71","175.2","1.94","5.73"
"37.0","Lawn","1 mtr","260.0","240.0","245.0","250.0","337.5","280.0","393.34","200.0","383.5","421.54","280.0","393.0","366.0","393.0","463.0","500.0","250.0","332.7","312.53","268.9","6.45","23.73"
"38.0","Georgette","1 mtr","175.0","173.75","175.0","160.0","145.0","160.0","150.0","105.0","110.0","123.08","120.0","150.0","130.0","123.33","100.0","105.0","150.0","138.54","136.11","130.75","1.79","5.96"
