"6/2/2014 1:50 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","Average Monthly Prices of 53 Essential Items for the month of May 2014","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-war","Bannu","Quetta","Khuz-dar","Average Prices
May 14 Apr 14 May 13","","","%change May 14 over
Apr 14 May 13",""
"27.0","Salt Powder, Loose, Lahori","1 kg","10.75","10.56","10.0","9.0","10.0","8.0","10.0","9.0","10.0","12.0","10.0","8.5","10.0","10.0","8.0","10.0","10.0","9.75","9.65","8.99","1.04","8.45"
"28.0","Red Chilly Powder, Loose","1 kg","253.13","236.87","221.25","217.5","224.83","212.5","225.0","232.5","195.0","286.15","243.13","240.0","190.0","197.92","225.0","290.0","200.0","228.87","224.75","217.59","1.83","5.18"
"29.0","Garlic","1 kg","162.66","137.71","105.0","120.0","119.72","110.0","91.25","105.42","103.75","115.58","128.75","95.0","88.75","99.17","152.5","160.0","155.0","120.6","134.75","134.22","-10.5","-10.15"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","141.58","124.21","147.37","130.0","124.21","141.58","147.37","147.37","130.68","142.75","165.51","-8.46","-21.04"
"31.0","Cooked Beef, Average Hotel","Plate","83.75","81.25","60.0","62.5","78.04","75.0","80.0","70.0","65.0","71.54","61.88","100.0","70.0","109.17","90.0","80.0","140.0","81.07","80.31","70.9","0.95","14.34"
"32.0","Cooked Daal, Average Hotel","Plate","56.25","50.83","35.0","32.5","51.07","42.5","40.0","32.5","35.0","50.0","40.0","50.0","60.0","60.0","46.88","60.0","50.0","46.62","46.28","41.64","0.73","11.96"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","16.82","20.0","18.5","20.0","15.0","16.54","15.0","20.0","22.5","15.0","15.0","20.5","17.5","17.93","17.78","15.76","0.84","13.77"
"34.0","Cigarettes, K-2, 20's","Packet","39.0","39.0","40.0","40.0","40.0","40.0","40.0","36.0","36.0","38.0","36.0","38.0","40.0","40.0","40.0","35.0","40.0","38.65","38.65","32.32","0.0","19.59"
"35.0","Long Cloth","1 mtr","175.0","165.0","127.5","125.0","247.14","150.0","200.0","250.0","180.0","155.0","210.0","230.0","200.0","250.0","147.5","167.5","190.0","186.45","181.42","167.21","2.77","11.51"
"36.0","Shirting","1 mtr","162.5","155.0","175.0","165.0","118.57","125.0","140.0","210.0","115.0","123.08","120.0","120.0","130.0","225.0","130.0","155.0","190.0","150.54","149.22","133.92","0.88","12.41"
"37.0","Lawn","1 mtr","207.5","190.0","177.5","177.5","261.07","172.5","360.0","150.0","146.5","320.0","215.0","280.0","250.0","300.0","167.5","177.5","165.0","218.68","209.53","179.58","4.37","21.77"
"38.0","Georgette","1 mtr","145.0","142.5","125.0","120.0","110.54","127.5","140.0","105.0","110.0","99.62","110.0","125.0","130.0","110.0","97.5","103.75","95.0","117.44","114.66","107.89","2.42","8.85"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","599.0","0.0","16.69"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","123.12","0.0","0.86"
