"","","","","","Average Monthly Prices of Essential Items, August, 2012","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-
age"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","41.25","30.0","32.5","41.79","37.5","32.5","30.0","32.5","35.0","37.5","35.0","40.0","60.0","40.0","45.0","50.0","39.22"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","14.57","15.0","12.0","15.0","14.0","15.0","14.5","15.0","20.0","15.0","11.0","18.0","15.0","14.95"
"34.0","Cigarettes, K-2, 20's","Packet","32.0","32.0","32.0","32.0","32.5","32.0","33.0","32.0","32.0","33.0","32.0","33.0","33.0","32.0","32.0","30.0","30.0","32.03"
"35.0","Long Cloth","1 mtr","132.5","125.0","97.5","95.0","177.5","95.0","157.5","225.0","135.0","140.0","170.0","150.0","175.0","150.0","111.25","110.0","140.0","140.37"
"36.0","Shirting","1 mtr","125.0","122.5","130.0","125.0","87.5","125.0","130.0","130.0","95.0","92.69","110.0","85.0","90.0","156.67","97.0","125.0","150.0","116.26"
"37.0","Lawn","1 mtr","146.25","133.75","162.5","125.0","192.5","125.0","180.0","130.0","136.5","180.0","210.0","225.0","190.0","250.0","130.0","105.0","115.0","160.97"
"38.0","Georgette","1 mtr","115.0","112.5","92.5","95.0","82.86","95.0","120.0","80.0","85.0","91.15","100.0","85.0","120.0","85.0","90.0","90.0","90.0","95.82"
"39.0","Sandal Bata (Gents)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","Sandal Bata (Ladies)","Pair","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","0.0","116.0","0.0","116.0"
"44.0","Kerosene Oil","1 Ltr","113.5","113.5","112.0","113.8","102.7","108.5","102.0","115.1","113.6","115.0","113.2","104.5","120.2","111.4","116.2","103.6","110.0","111.11"
"45.0","Firewood Whole","40 kg","505.0","462.5","575.0","560.0","596.79","525.0","380.0","475.0","500.0","436.15","320.0","345.0","400.0","586.67","380.0","525.0","450.0","471.89"
"46.0","Energy Saver (14 watts)","Each","157.5","157.5","145.0","145.0","145.0","140.0","131.0","150.0","150.0","145.0","150.0","145.0","140.0","160.0","145.0","140.0","140.0","146.24"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","17.0","36.0","20.0","28.0","22.0","16.0","14.0","24.0","18.0","20.0","17.0","16.5","18.0","25.0","20.32"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.09"
"49.0","Petrol, Super","1 Ltr","95.16","95.11","95.48","96.62","95.21","95.22","96.69","96.38","97.67","95.17","96.18","95.26","96.32","95.18","98.68","95.11","97.98","96.08"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","104.3","103.86","104.16","104.96","103.91","103.96","105.14","105.08","106.31","103.86","104.66","104.44","105.2","103.86","106.46","103.6","106.47","104.72"
"51.0","LPG Cylinder, 11kg","Each","1414.0","1394.0","1375.0","1369.5","1364.0","1418.0","1370.0","1400.0","1485.0","1254.0","1320.0","1320.0","1353.0","1475.67","1383.0","1485.0","1350.0","1384.13"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59"
"53.0","Soap, LifeBuoy","Each","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
