"9/2/2013 1:48 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of Aug 2013","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Aug 13 Jul 13 Aug 12","","","%change Aug 13 over
Jul 13 Aug 12",""
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","9.0","8.0","7.6","7.5","9.0","10.0","10.0","10.0","8.0","10.0","10.0","7.0","10.0","10.0","9.11","9.07","8.5","0.44","7.18"
"28.0","Red Chilly Powder, Loose","1 kg","242.5","203.4","200.0","225.0","197.14","194.0","210.0","160.83","190.0","250.15","240.0","206.0","152.0","192.0","216.5","300.0","208.0","211.03","215.08","297.09","-1.88","-28.97"
"29.0","Garlic","1 kg","157.6","140.57","126.0","110.0","146.62","110.0","100.0","115.83","103.0","125.08","122.0","110.0","96.0","139.0","149.0","116.0","147.0","124.34","120.5","109.18","3.19","13.89"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","163.16","163.16","163.16","171.82","171.67","130.53","0.09","31.63"
"31.0","Cooked Beef, Average Hotel","Plate","78.25","72.83","57.5","57.5","72.86","72.0","72.0","70.0","60.0","61.54","58.75","88.0","70.0","80.0","80.0","80.0","120.0","73.6","72.22","65.24","1.91","12.81"
"32.0","Cooked Daal, Average Hotel","Plate","48.25","43.08","32.5","32.5","47.86","39.5","36.5","30.0","32.5","41.54","37.5","50.0","56.0","60.0","45.0","55.0","60.0","43.98","42.61","39.22","3.22","12.14"
"33.0","Tea Prepared, Average Hotel","Cup","16.0","16.0","15.0","15.0","15.0","15.0","15.4","15.0","15.0","15.0","15.0","20.0","22.5","15.0","15.0","18.0","15.0","16.05","15.91","14.95","0.88","7.36"
"34.0","Cigarettes, K-2, 20's","Packet","39.0","39.0","40.0","40.0","35.0","40.0","40.0","36.0","36.0","36.0","36.0","38.0","40.0","40.0","35.0","35.0","34.0","37.59","37.4","32.03","0.51","17.36"
"35.0","Long Cloth","1 mtr","155.0","145.0","112.5","125.0","187.5","125.0","190.0","225.0","165.0","140.0","180.0","230.0","200.0","250.0","137.5","150.0","190.0","171.03","170.26","140.37","0.45","21.84"
"36.0","Shirting","1 mtr","145.0","142.5","162.5","165.0","98.58","125.0","140.0","150.0","115.0","106.15","120.0","120.0","130.0","225.0","123.5","150.0","165.0","140.19","139.09","116.26","0.79","20.58"
"37.0","Lawn","1 mtr","167.5","152.5","177.5","177.5","229.64","150.0","275.0","130.0","139.5","170.0","210.0","270.0","238.0","250.0","163.5","160.0","165.0","189.74","189.66","160.97","0.04","17.87"
"38.0","Georgette","1 mtr","135.0","132.5","125.0","120.0","95.0","95.0","135.0","90.0","110.0","91.15","100.0","125.0","130.0","108.0","92.5","90.0","95.0","109.95","109.58","95.82","0.34","14.75"
"39.0","Sandal Bata (Gents)","Pair","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","599.0","499.0","8.35","30.06"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","399.0","0.0","25.06"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","116.0","0.0","7.05"
"44.0","Kerosene Oil","1 Ltr","126.31","126.2","123.5","125.0","111.5","119.5","110.0","121.0","121.0","125.0","125.0","117.5","135.0","118.5","120.0","109.0","120.0","120.82","117.01","111.11","3.26","8.74"
"45.0","Firewood Whole","40 kg","625.0","583.33","640.0","600.0","652.86","575.0","400.0","510.0","500.0","460.0","350.0","350.0","450.0","620.0","425.0","525.0","400.0","509.78","507.79","471.89","0.39","8.03"
"46.0","Energy Saver (14 watts)","Each","162.5","162.5","155.0","155.0","165.0","158.5","155.6","160.0","165.0","155.0","155.0","150.0","160.0","182.0","152.5","180.0","154.0","160.45","160.06","146.24","0.24","9.72"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","20.0","37.0","21.0","37.0","22.0","18.0","14.0","25.0","19.5","20.0","17.0","20.0","30.0","27.0","22.44","22.25","20.32","0.85","10.43"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.2","1.5","1.0","1.0","2.0","1.0","1.0","2.0","1.5","1.0","1.0","1.0","1.19","1.18","1.09","0.85","9.17"
"49.0","Petrol, Super","1 Ltr","104.8","104.8","104.9","106.9","104.85","105.0","107.93","106.5","107.55","104.9","105.6","105.0","107.3","104.8","109.3","105.8","103.1","105.83","103.45","96.08","2.3","10.15"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","110.1","110.1","110.2","112.5","110.12","110.2","112.9","112.3","112.4","110.1","110.8","110.2","112.9","110.1","113.7","111.1","111.1","111.22","108.5","104.72","2.51","6.21"
"51.0","LPG Cylinder, 11kg","Each","1400.0","1380.0","1516.4","1518.0","1364.0","1492.0","1500.0","1470.0","1606.0","1320.0","1375.0","1430.0","1463.0","1650.0","1460.0","1412.0","1400.0","1456.26","1488.22","1384.13","-2.15","5.21"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.59","0.0","9.75"
"53.0","Soap, LifeBuoy","Each","35.6","35.6","35.2","35.0","35.6","35.4","35.2","35.6","35.6","35.6","35.0","35.6","35.6","35.6","35.0","35.0","35.0","35.36","35.0","32.0","1.03","10.5"
