"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of October 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Oct 15 Sep 15 Oct 14","","","%change Oct 15 over
Sep 15 Oct 14",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","9.0","10.0","10.0","9.8","10.0","10.0","10.4","10.35","9.99","0.48","4.1"
"28.0","Red Chilly Powder, Loose","1 Kg","326.25","313.33","276.0","259.0","270.14","255.0","292.0","227.0","210.0","326.15","291.0","265.0","239.0","230.0","275.0","310.0","284.0","273.46","276.31","261.17","-1.03","4.71"
"29.0","Garlic","1 Kg","213.75","205.0","172.0","176.0","203.21","167.0","173.0","179.17","194.0","203.54","160.0","166.0","145.0","189.0","188.75","168.0","144.0","179.26","169.23","133.58","5.93","34.2"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","181.89","181.89","181.89","181.89","184.42","184.42","184.42","181.89","181.89","179.37","176.84","179.37","176.84","178.52","176.0","176.84","179.37","180.46","176.79","127.38","2.08","41.67"
"31.0","Cooked Beef, Average Hotel","Plate","92.5","90.83","62.5","62.5","78.04","75.0","100.0","70.0","70.0","71.54","72.5","100.0","70.0","116.67","90.0","80.0","140.0","84.83","84.83","82.35","0.0","3.01"
"32.0","Cooked Daal, Average Hotel","Plate","67.5","60.83","35.0","32.5","51.07","42.5","40.0","40.0","50.0","53.08","46.25","50.0","60.0","60.0","47.5","60.0","68.0","50.84","50.29","47.63","1.09","6.74"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","17.5","19.93","20.0","20.0","20.0","15.0","19.79","20.0","20.0","22.5","15.0","16.0","21.0","20.0","19.07","18.94","18.59","0.69","2.58"
"34.0","Cigarettes, K-2, 20's","Packet","55.0","55.0","55.0","55.0","52.0","50.0","60.0","52.0","52.0","55.0","55.0","55.0","55.0","55.0","50.0","60.0","60.0","54.76","54.76","45.41","0.0","20.59"
"35.0","Long Cloth","1 mtr","205.0","195.0","137.5","135.0","247.14","237.5","235.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","155.0","170.0","190.0","202.77","202.63","199.51","0.07","1.63"
"36.0","Shirting","1 mtr","182.5","175.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","161.94","161.94","156.76","0.0","3.3"
"37.0","Lawn","1 mtr","240.0","220.0","205.0","205.0","261.07","240.0","360.0","150.0","150.0","360.0","240.0","280.0","333.0","360.0","182.5","180.0","165.0","243.03","243.03","239.15","0.0","1.62"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","123.1","0.0","0.0"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","","128.7","128.7","124.18","0.0","3.64"
"44.0","Kerosene Oil","1 Ltr","100.0","98.75","78.0","89.0","69.0","72.0","81.25","78.0","80.0","98.85","90.0","78.5","100.0","81.17","90.0","68.0","70.0","83.68","83.72","116.54","-0.05","-28.2"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","500.0","555.0","620.0","595.77","425.0","400.0","415.0","691.67","490.0","525.0","450.0","586.71","583.05","555.4","0.63","5.64"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","170.0","155.0","175.0","180.0","160.0","180.0","150.0","166.62","166.62","165.44","0.0","0.71"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","20.0","20.0","22.5","30.0","30.0","24.74","24.59","24.35","0.61","1.6"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","1.0","2.5","2.5","2.0","2.5","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.5","1.94","1.94","1.72","0.0","12.79"
"49.0","Petrol, Super","1 Ltr","74.05","74.04","74.2","75.5","74.11","74.2","74.44","74.1","75.3","74.04","74.65","74.1","75.4","74.03","77.4","74.14","73.76","74.56","74.56","104.99","0.0","-28.98"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","82.37","82.35","82.6","83.9","82.4","82.37","82.7","82.35","83.7","82.37","83.0","82.4","83.8","82.35","85.3","82.5","82.4","82.87","82.87","108.63","0.0","-23.71"
"51.0","LPG Cylinder, 11kg","Each","1290.0","1270.0","990.0","1100.0","968.0","1020.0","1085.0","1056.0","1100.0","924.0","946.0","1100.0","1067.0","1210.0","1066.0","1215.0","1080.0","1087.47","1048.78","1687.06","3.69","-35.54"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","37.0","37.0","36.0","37.0","37.0","37.0","37.0","36.6","37.0","37.0","36.0","37.0","36.0","36.0","36.0","36.68","36.65","36.0","0.08","1.89"
