"","","","","","","","Average Prices of 53 Essential items for the month of February, 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 17 Jan 17 Feb 16","","","%change Feb 17 over
Jan 17 Feb 16",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","10.71","10.71","10.47","0.0","2.29"
"28.0","Red Chilly Powder, Loose","1 Kg","303.75","257.92","250.0","270.0","264.29","280.0","283.75","237.5","225.0","298.56","279.06","250.0","260.0","236.67","275.0","310.0","300.0","269.5","273.26","273.63","-1.38","-1.51"
"29.0","Garlic","1 Kg","343.44","321.67","297.5","300.0","310.36","320.0","307.5","315.83","320.0","307.31","308.75","300.0","277.5","305.83","306.25","300.0","298.75","308.28","301.56","237.33","2.23","29.9"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","178.95","178.95","178.94","178.95","179.0","178.95","192.11","184.21","178.95","178.95","178.94","178.94","178.94","178.95","178.94","178.94","157.89","178.79","177.73","183.9","0.6","-2.78"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","62.5","62.5","102.86","75.0","100.0","80.0","70.0","86.06","75.94","100.0","100.0","120.0","100.0","90.0","140.0","92.74","92.61","88.61","0.14","4.66"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","47.5","45.0","40.0","50.0","61.15","51.88","50.0","65.0","60.0","50.0","65.0","80.0","56.91","56.91","53.99","0.0","5.41"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","17.5","20.0","22.5","20.0","20.0","15.0","21.73","20.0","25.0","27.5","15.0","20.0","21.0","20.0","20.6","20.53","19.57","0.34","5.26"
"34.0","Cigarettes, K-2, 20's","Packet","70.0","70.0","75.0","75.0","65.0","70.0","65.0","62.0","57.0","70.0","65.0","65.0","62.0","70.0","64.0","70.0","65.0","67.06","66.47","59.82","0.89","12.1"
"35.0","Long Cloth, 57"", (SN)","1 mtr","205.0","195.0","137.5","135.0","257.14","237.5","235.0","250.0","180.0","170.0","240.0","230.0","200.0","300.0","157.5","170.0","195.0","205.57","205.57","202.77","0.0","1.38"
"36.0","Shirting, (AQ), (SN)","1 mtr","192.5","185.0","175.0","175.0","138.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","164.3","164.3","161.94","0.0","1.46"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","281.07","240.0","360.0","150.0","169.0","415.0","280.0","280.0","333.0","360.0","187.5","180.0","165.0","251.21","251.21","243.03","0.0","3.37"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","120.54","160.0","135.0","105.0","110.0","114.62","120.0","125.0","130.0","120.0","100.0","105.0","95.0","124.13","124.13","123.24","0.0","0.72"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.0","0.0","0.05"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","501.94","0.0","0.09"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
