"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of September 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
14 Aug 14","Sep
Sep 13","","%change Sep 14 over
Aug 14 Sep 13",""
"1.0","Wheat","10 Kg","360.0","360.0","337.5","357.5","348.75","335.63","336.25","336.88","338.13","340.0","352.5","340.0","312.5","367.5","352.5","385.0","400.0","350.63","351.21","362.27","-0.17","-3.21"
"2.0","Wheat Flour, Bag","10 Kg","408.44","408.33","400.0","400.0","399.0","388.75","382.5","392.5","400.0","443.08","420.0","385.0","378.75","408.65","405.0","410.0","440.0","404.12","401.6","407.33","0.63","-0.79"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","86.25","80.83","70.63","70.0","79.29","81.25","67.5","77.5","62.5","76.54","77.5","75.0","80.0","78.33","52.13","87.5","60.0","74.28","74.14","74.21","0.19","0.09"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","62.5","60.83","50.0","52.5","65.32","65.0","52.5","41.0","52.5","59.04","50.0","52.5","35.0","49.17","70.63","45.0","55.0","54.03","54.47","53.89","-0.81","0.26"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","38.75","35.0","40.75","40.66","37.78","0.22","7.86"
"6.0","Beef With Bone, (AQ)","1 Kg","321.25","317.5","280.0","280.0","328.57","276.25","275.0","293.33","265.0","346.15","300.0","290.0","290.0","273.33","270.0","400.0","315.0","301.26","298.54","280.13","0.91","7.54"
"7.0","Mutton, Average Quality","1 Kg","658.75","658.33","600.0","600.0","667.41","600.0","550.0","593.33","562.5","659.23","575.0","535.0","580.0","585.83","480.0","600.0","515.0","589.43","585.69","551.3","0.64","6.92"
"8.0","Chicken Farm, Broiler, Live","1 Kg","140.1","123.88","118.25","119.75","114.36","122.88","122.5","126.25","118.0","136.62","141.88","149.5","140.0","138.0","158.75","157.5","218.75","138.06","158.57","148.81","-12.93","-7.22"
"9.0","Milk, Fresh, Unboiled","1 Ltr","87.5","83.33","77.5","70.0","68.04","70.0","60.0","75.0","60.0","84.0","80.0","75.0","80.0","72.5","72.5","90.0","80.0","75.61","75.43","68.43","0.24","10.49"
"10.0","Curd (Dahi)","1 Kg","102.5","93.75","88.5","80.0","79.29","80.0","74.0","85.0","70.0","120.0","106.0","90.0","95.0","80.0","82.5","100.0","90.0","89.21","88.43","80.5","0.88","10.82"
"11.0","Powdered Milk, Nido, Polybag","400 gm","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","342.5","337.5","350.0","348.82","347.87","294.26","0.27","18.54"
"12.0","Eggs Hen, Farm","Dozen","108.16","102.13","108.75","108.13","102.04","106.38","104.25","103.75","101.75","112.97","112.75","112.0","100.63","99.44","107.5","118.75","90.0","105.85","103.02","98.28","2.75","7.7"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","232.5","150.0","160.0","186.07","193.75","190.0","172.5","160.0","176.54","160.0","146.25","200.0","221.67","180.0","190.0","190.0","185.25","185.48","183.59","-0.12","0.9"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","530.0","530.0","545.0","545.0","535.0","545.0","520.0","540.0","540.0","545.0","545.0","545.0","530.0","540.0","540.0","540.0","550.0","539.12","540.29","537.35","-0.22","0.33"
