"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of July 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
14 Jun 14","Jul 13","Jul","%change Jul 14 over
Jun 14 Jul 13",""
"1.0","Wheat","10 Kg","353.0","353.0","337.5","343.25","331.25","336.0","330.23","327.0","328.0","340.0","364.0","332.0","312.5","366.0","324.0","385.0","400.0","344.87","338.77","331.57","1.8","4.01"
"2.0","Wheat Flour, Bag","10 Kg","392.13","377.29","374.5","374.0","383.8","346.0","363.0","369.0","380.0","438.92","418.5","380.0","366.0","384.83","366.5","410.0","440.0","386.15","384.43","380.8","0.45","1.4"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","86.25","80.83","70.0","70.0","79.29","81.25","67.5","77.5","62.5","76.54","76.38","75.0","80.0","80.0","52.5","85.0","60.0","74.15","74.04","73.32","0.15","1.13"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","62.5","60.83","52.5","52.5","63.07","65.0","52.5","41.0","52.5","61.54","50.0","52.5","35.0","48.5","77.5","45.0","55.0","54.56","54.58","53.33","-0.04","2.31"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","38.0","35.83","35.0","37.5","35.0","40.61","40.57","35.72","0.1","13.69"
"6.0","Beef With Bone, (AQ)","1 Kg","316.25","307.5","280.0","280.0","328.57","275.0","273.0","275.0","265.0","334.77","300.0","290.0","288.0","271.33","270.0","320.0","300.0","292.61","289.89","276.27","0.94","5.91"
"7.0","Mutton, Average Quality","1 Kg","656.88","642.83","600.0","600.0","654.46","600.0","525.0","570.0","562.5","634.77","575.0","535.0","577.0","585.83","480.0","562.0","500.0","580.07","574.79","543.68","0.92","6.69"
"8.0","Chicken Farm, Broiler, Live","1 Kg","169.54","162.92","149.4","151.1","146.56","155.0","156.0","156.5","151.6","184.25","164.8","165.6","165.0","163.2","179.0","191.0","194.0","165.03","165.21","167.87","-0.11","-1.69"
"9.0","Milk, Fresh, Unboiled","1 Ltr","87.5","83.33","77.5","70.0","68.04","69.5","60.0","70.83","60.0","84.0","78.67","75.0","80.0","72.5","72.5","86.0","80.0","75.02","74.54","67.96","0.64","10.39"
