"4/1/2014 3:11 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of March 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Mar 14 Feb 14 Mar 13","","","%change Mar 14 over
Feb 14 Mar 13",""
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","9.0","10.0","8.0","10.0","9.0","10.0","11.5","10.0","8.5","10.0","10.0","7.0","10.0","10.0","9.51","9.37","8.9","1.49","6.85"
"28.0","Red Chilly Powder, Loose","1 kg","248.75","233.33","200.0","225.0","186.07","207.5","220.0","230.0","190.0","296.15","240.0","230.0","190.0","200.84","207.5","290.0","200.0","223.24","221.71","232.51","0.69","-3.99"
"29.0","Garlic","1 kg","175.0","157.92","135.0","143.75","149.38","115.63","126.25","141.25","135.0","163.08","139.22","146.25","123.75","147.92","146.88","170.0","160.0","145.66","133.48","136.9","9.12","6.4"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","156.19","0.0","-5.65"
"31.0","Cooked Beef, Average Hotel","Plate","83.75","81.25","60.0","62.5","78.04","75.0","80.0","70.0","65.0","66.54","61.25","100.0","70.0","100.0","80.0","80.0","140.0","79.61","79.53","70.64","0.1","12.7"
"32.0","Cooked Daal, Average Hotel","Plate","56.25","50.83","35.0","32.5","51.07","42.5","40.0","32.5","32.5","46.54","40.0","50.0","60.0","60.0","45.0","60.0","50.0","46.16","46.08","40.55","0.17","13.83"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","15.46","16.19","18.5","19.13","15.0","15.0","15.0","20.0","22.5","15.0","15.0","20.0","16.25","17.38","17.06","15.37","1.88","13.08"
"34.0","Cigarettes, K-2, 20's","Packet","39.0","39.0","40.0","40.0","40.0","40.0","40.0","36.0","36.0","38.0","36.0","38.0","40.0","40.0","40.0","35.0","40.0","38.65","38.65","32.32","0.0","19.59"
"35.0","Long Cloth","1 mtr","155.0","145.0","127.5","125.0","236.61","125.0","190.0","225.0","165.0","140.0","207.5","230.0","200.0","250.0","145.63","160.0","190.0","177.48","174.26","155.1","1.85","14.43"
"36.0","Shirting","1 mtr","145.0","142.5","175.0","165.0","113.57","125.0","140.0","200.0","115.0","106.15","120.0","120.0","130.0","225.0","130.0","150.0","190.0","146.6","145.68","128.99","0.63","13.65"
"37.0","Lawn","1 mtr","167.5","152.5","177.5","177.5","253.21","150.0","338.75","130.0","139.5","200.0","210.0","280.0","250.0","250.0","167.5","170.0","165.0","198.76","191.27","169.17","3.92","17.49"
"38.0","Georgette","1 mtr","135.0","132.5","125.0","120.0","106.66","95.0","140.0","90.0","110.0","99.62","107.5","125.0","130.0","110.0","97.5","100.0","95.0","112.87","111.01","104.23","1.68","8.29"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","599.0","0.0","16.69"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","123.12","0.0","0.86"
