"","","","","","","","","Average Monthly Prices of 53 Items for the Month of October 2016","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Oct 16 Sep 16 Oct 15","","","%change October 2016 over
Sep 16 Oct 15",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","10.0","10.0","10.0","12.0","10.0","10.0","10.59","10.59","10.4","0.0","1.83"
"28.0","Red Chilly Powder, Loose","1 Kg","326.25","313.33","265.0","280.0","289.64","280.0","295.0","237.5","225.0","312.21","300.0","265.0","240.0","231.67","275.0","310.0","300.0","279.15","280.81","273.46","-0.59","2.08"
"29.0","Garlic","1 Kg","323.44","313.34","280.0","290.0","312.86","291.25","283.75","287.5","320.0","285.96","302.5","277.5","261.25","300.42","298.75","257.5","296.25","293.07","290.49","179.26","0.89","63.49"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.9","158.0","157.89","157.89","157.89","157.89","157.89","157.9","157.9","180.46","0.0","-12.5"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","62.5","62.5","92.86","75.0","100.0","80.0","70.0","82.31","75.94","100.0","100.0","120.0","100.0","90.0","140.0","91.93","91.93","84.83","0.0","8.37"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","47.5","41.25","40.0","50.0","61.15","51.88","50.0","65.0","60.0","50.0","65.0","80.0","56.69","56.61","50.84","0.14","11.51"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","17.5","20.0","20.0","20.0","20.0","15.0","21.73","20.0","20.0","22.5","15.0","20.0","21.0","20.0","19.87","19.87","19.07","0.0","4.2"
"34.0","Cigarettes, K-2, 20's","Packet","65.0","65.0","70.0","65.0","65.0","65.0","65.0","62.0","57.0","65.0","65.0","65.0","62.0","70.0","60.0","60.0","65.0","64.18","64.18","54.76","0.0","17.2"
"35.0","Long Cloth, 57"", (SN)","1 mtr","205.0","195.0","137.5","135.0","257.14","237.5","235.0","250.0","180.0","170.0","240.0","230.0","200.0","300.0","157.5","170.0","195.0","205.57","205.57","202.77","0.0","1.38"
"36.0","Shirting, (AQ), (SN)","1 mtr","192.5","185.0","175.0","175.0","138.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","164.3","164.3","161.94","0.0","1.46"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","281.07","240.0","360.0","150.0","169.0","415.0","280.0","280.0","333.0","360.0","187.5","180.0","165.0","251.21","251.21","243.03","0.0","3.37"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","120.54","160.0","135.0","105.0","110.0","114.62","120.0","125.0","130.0","110.0","100.0","105.0","95.0","123.54","123.54","123.1","0.0","0.36"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
