"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of January 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Jan 19 Dec 18 Jan 18","","","%change Jan 19 over
Dec 18 Jan 18",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","15.0","15.0","20.0","10.0","10.0","10.0","12.0","12.0","15.0","10.0","10.0","15.0","12.0","10.0","10.0","12.35","12.35","11.12","0.0","11.06"
"28.0","Red Chilly Powder, Loose","1 Kg","397.5","358.33","320.0","320.0","299.86","388.0","444.0","276.67","310.0","376.15","400.0","400.0","285.0","356.67","354.0","334.0","290.0","347.66","349.03","258.1","-0.39","34.7"
"29.0","Garlic","1 Kg","215.13","184.09","156.0","170.0","151.57","171.0","159.0","152.83","164.0","172.69","169.25","169.0","141.0","175.0","148.5","150.0","200.0","167.59","132.43","168.29","26.55","-0.42"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.0","221.05","221.05","221.05","221.05","221.05","221.05","217.89","194.73","219.31","216.85","178.96","1.13","22.55"
"31.0","Cooked Beef, Average Hotel","Plate","128.13","117.92","125.0","130.0","115.0","150.0","120.0","100.0","125.0","99.23","95.0","100.0","100.0","120.0","105.0","90.0","140.0","115.31","115.31","102.2","0.0","12.83"
"32.0","Cooked Daal, Average Hotel","Plate","85.0","75.83","50.0","60.0","67.32","55.0","50.0","40.0","60.0","64.04","60.0","70.0","65.0","60.0","50.0","65.0","87.5","62.63","62.52","58.28","0.18","7.46"
"33.0","Tea Prepared, Average Hotel","Cup","25.31","25.0","20.0","20.0","21.43","22.5","25.0","20.0","22.5","23.84","30.0","25.0","27.5","15.0","20.0","21.0","20.0","22.59","22.35","21.19","1.07","6.61"
"34.0","Cigarettes, K-2, 20's","Packet","60.0","60.0","60.0","60.0","60.0","70.0","60.0","50.0","60.0","60.0","60.0","60.0","50.0","65.0","70.0","50.0","60.0","59.71","59.12","50.76","1.0","17.63"
"35.0","Long Cloth","1 mtr","225.0","215.0","172.5","160.0","285.0","237.5","275.0","285.0","250.0","180.0","240.0","375.0","200.0","350.0","250.0","210.0","180.0","240.59","238.63","212.57","0.82","13.18"
"36.0","Shirting","1 mtr","225.63","220.0","185.0","180.0","165.0","125.0","170.0","240.0","125.0","166.15","140.0","175.0","157.5","319.27","147.5","160.0","170.0","180.65","180.2","169.55","0.25","6.55"
"37.0","Lawn","1 mtr","240.0","220.0","217.5","220.0","305.0","280.0","393.34","200.0","383.5","415.0","280.0","393.0","366.0","393.0","235.0","200.0","165.0","288.61","288.61","255.77","0.0","12.84"
"38.0","Georgette","1 mtr","165.0","162.92","160.0","140.0","145.0","160.0","150.0","105.0","110.0","121.54","120.0","150.0","130.0","123.33","100.0","105.0","117.5","133.25","133.25","125.73","0.0","5.98"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","179.09","0.0","11.12"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","502.39","0.0","19.23"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU MMBTU","","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","","145.08","145.08","128.7","0.0","12.73"
"44.0","Kerosene Oil","1 Ltr","137.5","135.0","122.0","127.0","125.0","122.5","120.0","117.92","125.0","134.23","124.0","115.0","140.0","118.33","108.0","95.0","100.0","121.56","122.33","103.24","-0.63","17.75"
"45.0","Firewood Whole","40 Kg","787.5","741.67","770.0","740.0","810.71","600.0","550.0","716.67","650.0","667.31","600.0","400.0","450.0","729.17","500.0","650.0","625.0","646.35","639.48","627.85","1.07","2.95"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","170.0","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","180.0","180.0","170.0","180.0","150.0","171.18","171.18","169.56","0.0","0.96"
"47.0","Washing Soap, (Nylon), (SN)","Cake","30.0","30.0","40.0","22.0","43.34","28.0","45.0","22.0","20.0","14.0","30.0","28.0","30.0","20.0","25.0","30.0","40.0","29.26","28.66","25.91","2.09","12.93"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","3.0","2.5","3.0","3.0","2.5","3.0","2.0","3.0","2.0","1.5","2.47","2.44","2.24","1.23","10.27"
"49.0","Petrol, Super","1 Ltr","91.44","91.44","91.5","93.0","92.33","91.4","91.6","91.99","91.63","91.44","92.17","91.45","92.4","91.4","93.85","91.28","94.36","92.04","96.86","82.43","-4.98","11.66"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","107.15","107.15","107.2","108.0","107.03","107.15","107.3","107.85","107.87","107.15","107.88","107.2","107.8","107.2","109.9","106.98","110.07","107.7","110.45","90.77","-2.49","18.65"
"51.0","LPG Cylinder, 11kg","Each","1579.0","1567.5","1540.0","1694.0","1463.0","1520.0","1490.0","1474.0","1545.0","1463.0","1586.75","1650.0","1606.0","1650.0","1510.0","1520.0","1500.0","1550.49 1564.82 1381.18","","","-0.92","12.26"
"52.0","Telephone Local Call","P/Call","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","3.94","0.0","18.02"
"53.0","Soap, LifeBuoy","Each","40.0","40.0","40.0","40.0","40.0","42.0","42.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","42.0","42.0","40.47","40.47","41.16","0.0","-1.68"
