"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of June 2018","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
18 May 18","Jun
Jun 17","","%change Jun 18 over
May 18 Jun 17",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","20.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","15.0","12.0","10.0","10.0","11.59","11.52","10.71","0.61","8.22"
"28.0","Red Chilly Powder, Loose","1 Kg","366.56","340.11","370.0","335.0","298.4","342.5","428.75","290.83","270.0","313.82","320.0","250.0","262.5","241.67","341.25","310.0","290.0","315.96","280.77","263.54","12.53","19.89"
"29.0","Garlic","1 Kg","178.44","137.19","103.75","115.0","140.0","92.5","100.0","90.42","92.5","154.9","107.5","100.0","69.38","177.5","135.0","172.5","162.5","125.24","130.51","212.3","-4.04","-41.01"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.0","194.74","194.73","194.73","194.73","205.26","200.0","194.73","194.73","201.22","199.24","203.7","0.99","-1.22"
"31.0","Cooked Beef, Average Hotel","Plate","115.0","113.33","120.0","130.0","115.0","135.0","100.0","100.0","125.0","96.06","80.0","100.0","100.0","120.0","105.0","90.0","140.0","110.85","110.69","93.51","0.14","18.54"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","45.0","60.0","67.32","55.0","50.0","40.0","60.0","61.54","60.0","70.0","65.0","60.0","50.0","65.0","80.0","61.38","61.38","56.94","0.0","7.8"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.0","22.5","20.0","20.0","22.5","21.73","25.0","25.0","27.5","15.0","20.0","21.0","20.0","21.48","21.48","20.75","0.0","3.52"
"34.0","Cigarettes, K-2, 20's","Packet","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","55.0","50.0","50.0","50.0","55.0","60.0","50.0","50.0","51.18","51.18","56.52","0.0","-9.45"
"35.0","Long Cloth","1 mtr","225.0","215.0","162.5","160.0","267.5","237.5","245.0","260.0","250.0","180.0","240.0","300.0","200.0","333.33","250.0","210.0","195.0","231.23","224.4","209.97","3.04","10.13"
"36.0","Shirting","1 mtr","225.63","220.0","180.0","180.0","155.0","125.0","150.0","240.0","120.0","166.15","140.0","175.0","157.5","300.0","147.5","160.0","190.0","178.34","176.94","168.06","0.79","6.12"
