"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of October 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
19 Sep 19","Oct
Oct 18","","%change Oct 19 over
Sep 19 Oct 18",""
"1.0","Wheat","10 Kg","377.5","379.0","375.0","350.0","355.0","387.5","354.0","362.75","377.5","414.0","413.5","370.0","384.0","412.0","418.5","370.0","360.0","380.01","370.2","340.06","2.65","11.75"
"2.0","Wheat Flour, Bag","10 Kg","457.29","436.61","426.0","410.0","410.0","506.0","395.6","404.33","445.2","547.08","510.0","470.0","466.0","457.17","466.0","468.0","430.0","453.25","436.34","393.35","3.88","15.23"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","100.63","90.83","77.5","75.0","74.82","90.0","75.0","88.33","60.0","88.21","90.5","65.0","92.5","85.83","53.75","105.0","85.0","82.23","81.63","77.14","0.74","6.6"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","71.25","72.5","60.0","47.5","57.0","65.0","70.0","55.17","47.5","61.69","57.5","55.0","46.5","59.5","62.5","82.5","62.5","60.8","60.54","54.42","0.43","11.72"
"5.0","Bread Plain, Medium Size","Each","53.0","53.0","46.5","40.0","55.0","55.0","45.0","55.0","55.0","55.0","55.0","50.0","50.0","45.0","40.0","50.0","40.0","49.56","49.04","42.85","1.06","15.66"
"6.0","Beef With Bone, (AQ)","1 Kg","495.0","485.0","400.0","450.0","444.64","400.0","440.0","396.67","365.0","525.27","445.0","400.0","415.0","387.5","350.0","412.0","400.0","424.18","419.78","379.74","1.05","11.7"
"7.0","Mutton, Average Quality","1 Kg","1009.38","995.83","900.0","900.0","954.64","1000.0","950.0","850.0","725.0","949.04","850.0","800.0","875.0","825.0","710.0","865.0","750.0","876.99","873.64","794.05","0.38","10.45"
"8.0","Chicken Farm, Broiler, Live","1 Kg","166.88","155.34","152.6","159.2","153.0","156.6","155.0","171.67","156.8","194.73","189.5","184.0","168.0","166.4","172.4","186.0","238.0","172.12","202.99","155.83","-15.21","10.45"
"9.0","Milk, Fresh, Unboiled","1 Ltr","108.75","107.08","90.0","80.0","80.0","95.0","75.0","86.67","72.5","107.69","98.4","100.0","110.0","100.83","87.5","110.0","90.0","94.08","93.49","85.51","0.63","10.02"
"10.0","Curd (Dahi)","1 Kg","122.5","115.0","100.0","90.0","100.0","100.0","90.0","103.33","85.0","160.0","133.0","110.0","120.0","111.67","100.0","120.0","100.0","109.44","109.46","102.26","-0.02","7.02"
"11.0","Powdered Milk, Nido, Polybag","400 gm","451.28","451.28","451.28","451.28","440.0","457.0","451.28","451.28","451.0","451.28","461.53","451.28","471.79","430.0","430.76","470.0","400.0","448.37","444.91","387.31","0.78","15.77"
"12.0","Eggs Hen, Farm","Dozen","116.94","112.56","113.5","117.0","113.23","111.85","113.0","111.67","113.2","115.69","113.5","115.6","100.5","115.0","117.0","118.0","100.0","112.84","97.85","111.02","15.32","1.64"
"13.0","Mustard Oil, Average Quality","1 Kg","256.25","251.67","201.0","170.0","199.14","220.0","195.0","192.5","176.0","189.04","175.0","160.0","230.0","233.33","183.0","210.0","200.0","202.47","201.14","187.91","0.66","7.75"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","575.0","575.0","586.6","573.0","570.0","575.0","575.0","575.0","575.0","575.0","575.0","550.0","585.0","545.0","575.0","575.0","545.0","570.86","569.84","483.26","0.18","18.13"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","545.0","545.0","565.0","557.0","544.29","545.0","545.0","545.0","545.0","545.0","545.0","520.0","570.0","545.0","560.0","545.0","551.0","548.08","544.93","476.25","0.58","15.08"
"16.0","Vegetable Ghee (Loose)","1 Kg","182.19","182.08","180.0","180.0","180.0","178.85","179.2","178.8","180.0","185.23","220.0","165.0","162.5","197.5","200.0","215.0","160.0","183.9","183.42","152.31","0.26","20.74"
"17.0","Bananas","Dozen","100.5","75.42","55.0","53.0","61.93","45.0","50.0","62.67","62.0","55.85","43.5","53.0","48.0","65.66","59.25","64.0","60.0","59.69","66.92","62.16","-10.8","-3.97"
"18.0","Pulse Masoor, Washed","1 Kg","133.75","120.0","156.0","163.0","133.93","142.0","140.0","115.33","120.0","127.12","116.63","119.0","101.0","109.83","122.0","160.0","120.0","129.39","126.4","114.71","2.37","12.8"
"19.0","Pulse Moong, Washed","1 Kg","187.88","178.96","170.0","165.0","166.43","189.0","180.0","173.0","176.0","184.08","182.0","190.0","158.0","167.83","169.0","204.0","168.0","177.01","170.45","115.27","3.85","53.56"
"20.0","Pulse Mash, Washed","1 Kg","201.88","194.42","189.0","192.0","182.57","195.0","200.0","177.0","180.0","178.5","175.88","180.0","193.0","184.67","175.0","240.0","145.0","187.29","181.78","141.76","3.03","32.12"
"21.0","Pulse Gram, Washed","1 Kg","157.0","145.0","124.5","124.0","120.71","129.5","118.0","124.0","130.0","138.27","139.5","131.0","120.0","151.67","127.5","170.0","144.0","134.98","132.11","119.38","2.17","13.07"
"22.0","Potatoes","1 Kg","59.25","50.67","64.0","59.0","48.75","78.0","30.0","47.33","37.5","38.75","37.38","30.0","37.7","37.83","36.0","39.0","25.0","44.48","41.2","32.31","7.96","37.67"
"23.0","Onions","1 Kg","93.13","87.08","78.0","84.0","77.5","78.0","72.0","78.0","78.0","78.04","75.13","65.0","75.0","76.83","73.5","62.0","64.0","76.19","72.02","35.56","5.79","114.26"
"24.0","Tomatoes","1 Kg","93.9","85.98","96.0","86.0","94.43","92.0","82.0","89.33","106.0","103.54","96.25","80.0","89.5","64.33","62.5","84.0","60.0","86.22","50.92","69.51","69.32","24.04"
"25.0","Sugar, Refined","1 Kg","78.5","75.2","74.6","73.4","75.61","74.3","73.1","72.0","73.8","73.71","71.6","70.2","74.7","74.52","73.5","74.8","70.8","73.78","75.02","54.78","-1.65","34.68"
"26.0","Gur, Average Quality","1 Kg","122.5","112.33","109.0","120.0","116.43","120.0","115.0","113.0","120.0","117.81","118.25","105.0","99.0","118.33","110.0","112.0","100.0","113.45","113.67","86.24","-0.19","31.55"
