"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of February 2016","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 16 Jan 16 Feb 15","","","%change Feb 16 over
Jan 16 Feb 15",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.47","10.47","9.99","0.0","4.8"
"28.0","Red Chilly Powder, Loose","1 Kg","326.25","313.33","265.0","252.5","252.14","255.0","295.0","240.0","225.0","326.25","282.5","265.0","238.75","230.0","275.0","310.0","300.0","273.63","273.34","264.84","0.11","3.32"
"29.0","Garlic","1 Kg","271.25","241.67","230.0","232.5","247.68","231.25","226.25","228.75","245.0","295.77","247.82","230.0","208.75","246.67","242.5","212.5","196.25","237.33","234.48","147.28","1.22","61.14"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","181.58","181.58","181.58","181.58","173.68","173.68","189.47","173.68","189.47","181.58","189.47","189.47","189.47","189.47","181.58","189.47","189.47","183.9","189.47","134.21","-2.94","37.02"
"31.0","Cooked Beef, Average Hotel","Plate","94.69","92.08","62.5","62.5","83.04","75.0","100.0","70.0","70.0","75.58","75.94","100.0","100.0","120.0","95.0","90.0","140.0","88.61","87.89","83.14","0.82","6.58"
"32.0","Cooked Daal, Average Hotel","Plate","69.06","62.71","40.0","40.0","61.07","42.5","40.0","40.0","50.0","53.08","51.88","50.0","65.0","60.0","47.5","65.0","80.0","53.99","53.57","48.9","0.78","10.41"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","20.0","17.5","20.0","20.0","20.0","20.0","15.0","21.73","20.0","20.0","22.5","15.0","20.0","21.0","20.0","19.57","19.57","18.86","0.0","3.76"
"34.0","Cigarettes, K-2, 20's","Packet","60.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","57.0","60.0","60.0","60.0","60.0","60.0","55.0","60.0","65.0","59.82","59.46","45.41","0.61","31.73"
"35.0","Long Cloth","1 mtr","205.0","195.0","137.5","135.0","247.14","237.5","235.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","155.0","170.0","190.0","202.77","202.77","199.54","0.0","1.62"
"36.0","Shirting","1 mtr","182.5","175.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","161.94","161.94","158.12","0.0","2.42"
"37.0","Lawn","1 mtr","240.0","220.0","205.0","205.0","261.07","240.0","360.0","150.0","150.0","360.0","240.0","280.0","333.0","360.0","182.5","180.0","165.0","243.03","243.03","239.15","0.0","1.62"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","100.0","105.0","95.0","123.24","123.13","123.1","0.09","0.11"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","501.94","501.94","499.0","0.0","0.59"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","124.18","128.7","","128.42","128.42","124.18","0.0","3.41"
"44.0","Kerosene Oil","1 Ltr","90.0","90.0","75.0","77.0","72.5","69.0","75.0","67.5","66.0","87.23","82.0","69.5","90.0","73.96","80.0","55.0","61.25","75.35","79.64","84.71","-5.39","-11.05"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","500.0","606.67","625.0","618.27","550.0","400.0","425.0","691.67","490.0","625.0","450.0","605.19","602.99","577.22","0.36","4.85"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","180.0","155.0","175.0","180.0","160.0","180.0","150.0","167.21","166.76","165.51","0.27","1.03"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","20.0","20.0","22.5","30.0","30.0","24.74","24.74","24.35","0.0","1.6"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","1.0","2.5","2.5","2.0","2.5","2.0","2.0","2.25","2.5","2.0","2.0","1.0","1.5","1.99","1.99","1.74","0.0","14.37"
"49.0","Petrol, Super","1 Ltr","71.47","71.47","71.6","73.2","71.61","71.47","73.45","71.54","72.8","71.54","72.1","71.6","72.9","71.53","74.1","71.6","71.6","72.09","77.17","71.21","-6.58","1.24"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","76.01","76.01","76.2","77.9","76.15","76.01","77.55","76.13","77.5","76.16","76.7","76.2","77.5","76.14","78.9","76.2","76.2","76.67","81.96","81.53","-6.45","-5.96"
"51.0","LPG Cylinder, 11kg","Each","1240.0","1212.5","990.0","1127.5","907.5","1050.0","1000.0","1017.5","962.5","935.0","935.0","1100.0","1042.25","1265.0","947.5","1275.0","1100.0","1065.13","1192.54","1219.56","-10.68","-12.66"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","36.0","37.0","35.0","35.5","35.0","35.0","35.0","35.0","35.0","35.0","37.0","35.0","36.0","36.0","36.0","35.74","35.76","36.0","-0.06","-0.72"
