"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of July 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
19 Jun 19","Jul 18","Jul","%change Jul 19 over
Jun 19 Jul 18",""
"1.0","Wheat","10 Kg","377.5","377.5","375.0","346.88","355.0","375.0","335.0","351.25","363.13","392.5","355.63","337.5","331.25","406.67","371.88","360.0","350.0","362.45","357.98","331.58","1.25","9.31"
"2.0","Wheat Flour, Bag","10 Kg","435.94","429.17","420.0","420.0","410.0","425.0","382.5","406.67","425.0","475.05","445.63","418.75","416.25","436.87","438.75","430.0","395.63","424.19","414.12","385.23","2.43","10.11"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","99.69","90.47","73.75","73.13","74.82","90.0","72.5","88.33","60.0","86.25","85.0","65.0","92.5","84.17","53.75","126.25","79.38","82.06","79.82","75.42","2.81","8.8"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","70.0","70.63","60.0","47.5","57.0","65.0","70.0","59.79","47.5","60.69","52.88","55.0","46.5","59.07","62.5","83.5","56.25","60.22","58.92","53.62","2.21","12.31"
"5.0","Bread Plain, Medium Size","Each","50.0","50.0","45.0","40.0","50.0","45.0","45.0","50.0","50.0","48.85","50.0","50.0","45.0","45.0","37.5","50.0","40.0","46.55","45.22","42.56","2.94","9.37"
"6.0","Beef With Bone, (AQ)","1 Kg","495.0","485.0","400.0","450.0","424.29","400.0","420.0","396.67","365.0","510.62","440.0","400.0","400.0","384.17","350.0","397.5","400.0","418.72","413.76","372.3","1.2","12.47"
"7.0","Mutton, Average Quality","1 Kg","1009.38","989.17","900.0","900.0","923.21","950.0","925.0","850.0","725.0","925.72","850.0","800.0","825.0","825.0","700.0","850.0","750.0","864.56","855.95","781.1","1.01","10.68"
"8.0","Chicken Farm, Broiler, Live","1 Kg","154.3","143.23","138.25","145.5","136.56","143.0","138.75","147.5","137.5","171.2","165.39","159.0","121.25","153.5","181.25","168.75","202.5","153.38","165.63","159.78","-7.4","-4.01"
"9.0","Milk, Fresh, Unboiled","1 Ltr","108.75","105.21","90.0","80.0","78.0","90.0","75.0","84.17","67.5","95.0","94.0","100.0","102.5","100.42","85.0","110.0","90.0","91.5","89.77","85.2","1.93","7.39"
