"1/2/2013 12:55 PM","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Average Monthly Prices of Essential Items December 2012","","","","","","","","","","","","","",""
"S. No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-wala","Sialkot","Lahore","Faisal-abad","Sar-godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-war","Bannu","Quetta","Khuz-dar","Aver-age"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","41.25","30.0","32.5","41.79","37.5","32.5","30.0","32.5","35.0","37.5","35.0","40.0","60.0","42.5","55.0","50.0","39.96"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","14.57","15.0","15.0","15.0","14.0","15.0","15.0","15.0","20.0","15.0","11.75","18.0","15.0","15.2"
"34.0","Cigarettes, K-2, 20's","Packet","32.0","32.0","32.0","32.0","32.5","32.0","33.0","32.0","32.0","33.0","32.0","33.0","33.0","32.0","32.0","35.0","30.0","32.32"
"35.0","Long Cloth","1 mtr","132.5","125.0","97.5","115.0","187.5","95.0","175.0","225.0","135.0","140.0","170.0","150.0","190.0","187.5","115.0","125.0","143.75","147.57"
"36.0","Shirting","1 mtr","125.0","122.5","140.0","125.0","87.5","125.0","130.0","130.0","105.0","106.15","120.0","85.0","108.75","181.67","100.0","125.0","151.25","121.64"
"37.0","Lawn","1 mtr","146.25","133.75","162.5","125.0","192.5","125.0","170.0","130.0","136.5","160.0","210.0","225.0","200.0","250.0","130.0","120.0","115.0","160.68"
"38.0","Georgette","1 mtr","115.0","112.5","105.0","105.0","82.86","95.0","135.0","90.0","107.5","91.15","100.0","85.0","120.0","85.0","92.5","90.0","97.5","100.53"
"39.0","Sandal Bata (Gents)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","Sandal Bata (Ladies)","Pair","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","0.0","116.0","0.0","116.0"
"44.0","Kerosene Oil","1 Ltr","121.0","121.0","119.0","121.0","108.13","117.0","105.0","120.0","118.44","120.0","116.0","115.0","130.0","117.09","122.75","107.75","120.0","117.6"
"45.0","Firewood Whole","40 kg","607.5","556.25","625.0","570.0","612.86","525.0","395.0","490.0","500.0","450.0","340.0","340.0","400.0","602.5","400.0","525.0","450.0","493.48"
"46.0","Energy Saver (14 watts)","Each","157.5","157.5","145.0","145.0","145.0","150.0","145.0","150.0","150.0","150.0","150.0","145.0","140.0","160.0","145.0","167.5","150.0","150.15"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","17.0","36.0","20.0","37.0","22.0","18.0","14.0","24.0","18.0","20.0","17.0","17.63","18.0","25.0","21.04"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.09"
"49.0","Petrol, Super","1 Ltr","102.67","102.65","102.8","104.88","102.69","102.73","103.4","102.7","105.16","102.68","103.88","102.8","104.0","102.78","106.28","102.95","104.66","103.51"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","110.2","110.15","110.4","112.1","110.22","110.25","112.13","110.2","112.2","110.18","110.98","110.3","111.6","110.2","112.88","110.45","112.25","110.98"
"51.0","LPG Cylinder, 11kg","Each","1742.5","1725.0","1787.5","1760.0","1746.25","1762.5","1737.5","1817.5","1856.25","1608.75","1663.75","1774.13","1710.5","1768.75","1752.5","1597.5","1600.0","1730.05"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59"
"53.0","Soap, LifeBuoy","Each","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
