"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of August 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Aug 19 Jul 19 Aug 18","","","%change Aug 19 over
Jul 19 Aug 18",""
"1.0","Wheat","10 Kg","377.5","377.5","375.0","350.0","355.0","375.0","335.8","351.0","347.25","396.0","365.5","337.5","330.0","385.33","370.75","368.0","350.0","361.6","362.45","332.41","-0.23","8.78"
"2.0","Wheat Flour, Bag","10 Kg","434.18","429.57","420.0","420.0","416.0","426.0","380.0","404.53","427.5","480.31","454.88","423.0","408.0","427.83","440.0","430.0","401.0","424.87","424.19","385.6","0.16","10.18"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","100.63","90.83","77.5","75.0","74.82","90.0","75.0","88.33","60.0","87.31","86.0","65.0","92.5","84.17","53.75","105.0","77.5","81.37","82.06","75.87","-0.84","7.25"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","71.25","72.5","60.0","47.5","57.0","65.0","70.0","58.67","47.5","60.9","56.7","55.0","46.5","59.17","62.5","80.8","56.25","60.43","60.22","53.99","0.35","11.93"
"5.0","Bread Plain, Medium Size","Each","50.0","50.0","45.0","40.0","53.0","49.0","45.0","50.0","51.0","51.31","51.0","50.0","48.0","45.0","40.0","50.0","40.0","47.55","46.55","42.63","2.15","11.54"
"6.0","Beef With Bone, (AQ)","1 Kg","495.0","485.0","400.0","450.0","423.43","400.0","420.0","396.67","365.0","519.31","444.0","400.0","400.0","384.17","350.0","400.0","400.0","419.56","418.72","374.41","0.2","12.06"
"7.0","Mutton, Average Quality","1 Kg","1009.38","989.17","900.0","900.0","923.21","970.0","925.0","850.0","725.0","938.65","850.0","800.0","825.0","825.0","700.0","850.0","750.0","866.49","864.56","782.49","0.22","10.73"
"8.0","Chicken Farm, Broiler, Live","1 Kg","183.48","171.92","170.6","170.4","163.2","169.4","165.0","180.73","175.2","200.42","194.5","196.0","187.5","182.6","184.4","192.0","224.0","183.02","153.38","122.81","19.32","49.03"
"9.0","Milk, Fresh, Unboiled","1 Ltr","108.75","107.08","90.0","80.0","78.26","95.0","75.0","84.17","69.0","96.45","94.0","100.0","110.0","100.83","87.5","110.0","90.0","92.71","91.5","85.46","1.32","8.48"
