"10/1/2013 1:25 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of September 2013","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Sep 13 Aug 13 Sep 12","","","%change Sep 13 over
Aug 13 Sep 12",""
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","9.0","8.0","8.0","7.88","9.0","10.0","10.0","10.0","8.0","10.0","10.0","7.0","10.0","10.0","9.15","9.11","8.58","0.44","6.64"
"28.0","Red Chilly Powder, Loose","1 kg","242.5","203.75","207.5","225.0","199.64","210.0","220.0","179.79","190.0","286.15","240.0","200.0","170.0","193.33","218.75","300.0","200.0","216.85","211.03","289.17","2.76","-25.01"
"29.0","Garlic","1 kg","158.75","135.42","132.5","115.0","159.25","110.0","110.0","117.5","112.5","114.62","120.32","95.0","98.75","139.17","143.75","120.0","140.0","124.85","124.34","115.77","0.41","7.84"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","173.68","163.16","168.42","163.16","172.13","171.82","130.53","0.18","31.87"
"31.0","Cooked Beef, Average Hotel","Plate","81.25","75.83","57.5","57.5","74.16","75.0","80.0","70.0","60.0","61.54","60.63","100.0","70.0","80.0","80.0","80.0","120.0","75.49","73.6","65.91","2.57","14.53"
"32.0","Cooked Daal, Average Hotel","Plate","51.25","45.83","32.5","32.5","48.66","42.5","40.0","30.0","32.5","41.54","37.5","50.0","60.0","60.0","45.0","55.0","60.0","44.99","43.98","39.22","2.3","14.71"
"33.0","Tea Prepared, Average Hotel","Cup","18.75","17.5","15.0","15.0","15.0","15.0","16.0","15.0","15.0","15.0","15.0","20.0","22.5","15.0","15.0","18.0","15.0","16.34","16.05","15.03","1.81","8.72"
"34.0","Cigarettes, K-2, 20's","Packet","39.0","39.0","40.0","40.0","35.0","40.0","40.0","36.0","36.0","36.0","36.0","38.0","40.0","40.0","35.0","35.0","34.0","37.59","37.59","32.03","0.0","17.36"
"35.0","Long Cloth","1 mtr","155.0","145.0","112.5","125.0","187.5","125.0","190.0","225.0","165.0","140.0","180.0","230.0","200.0","250.0","139.38","150.0","190.0","171.14","171.03","141.69","0.06","20.78"
"36.0","Shirting","1 mtr","145.0","142.5","162.5","165.0","98.57","125.0","140.0","160.0","115.0","106.15","120.0","120.0","130.0","225.0","127.5","150.0","165.0","141.01","140.19","117.32","0.58","20.19"
"37.0","Lawn","1 mtr","167.5","152.5","177.5","177.5","229.64","150.0","275.0","130.0","139.5","170.0","210.0","255.0","250.0","250.0","167.5","160.0","165.0","189.8","189.74","161.63","0.03","17.43"
"38.0","Georgette","1 mtr","135.0","132.5","125.0","120.0","95.0","95.0","138.75","90.0","110.0","91.15","100.0","125.0","130.0","110.0","92.5","90.0","95.0","110.29","109.95","97.22","0.31","13.44"
"39.0","Sandal Bata (Gents)","Pair","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","499.0","0.0","30.06"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","399.0","0.0","25.06"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","116.0","0.0","7.05"
