"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of May 2015","","","","","","","","","","","","","","","","",""
"23.0","Onions","1 Kg","66.57","58.33","47.5","52.5","54.82","50.63","41.88","42.5","40.0","50.58","50.47","44.38","41.25","49.17","46.25","38.75","27.25","47.23","42.83","32.77","10.27","44.13"
"24.0","Tomatoes","1 Kg","78.91","72.4","62.5","65.63","62.95","51.88","51.25","47.92","48.75","65.58","63.6","53.75","52.5","64.38","48.13","52.5","58.75","58.9","42.41","24.45","38.88","140.9"
"25.0","Sugar, Refined","1 Kg","63.13","61.0","59.0","60.0","60.7","59.44","59.0","58.75","59.0","60.12","58.0","58.38","58.25","60.25","59.0","60.75","57.25","59.53","56.92","52.27","4.59","13.89"
"26.0","Gur, Average Quality","1 Kg","115.0","106.67","90.0","90.0","98.04","75.0","76.25","78.54","85.0","99.81","80.0","86.25","78.13","82.5","86.88","85.0","82.5","87.97","83.95","79.64","4.79","10.46"
"27.0","Salt Powder, Loose, Lahori","1 Kg","11.0","10.83","10.0","10.0","10.0","10.0","10.0","9.0","10.5","12.0","10.0","9.0","10.0","10.0","8.0","10.0","10.0","10.02","9.99","9.75","0.3","2.77"
"28.0","Red Chilly Powder, Loose","1 Kg","307.5","295.83","280.0","260.0","282.14","263.75","265.0","255.0","210.0","296.15","286.25","265.0","235.0","230.0","248.75","305.0","220.0","265.02","261.85","228.87","1.21","15.79"
"29.0","Garlic","1 Kg","194.69","191.46","146.88","155.0","167.32","152.5","133.75","146.88","160.0","160.19","142.5","136.25","108.75","96.67","155.0","123.75","150.0","148.33","140.72","120.6","5.41","22.99"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","150.26","150.26","150.26","150.26","150.26","150.26","149.47","150.26","149.47","149.47","149.47","141.58","149.47","149.47","149.47","136.05","149.47","148.54","146.81","130.68","1.18","13.67"
"31.0","Cooked Beef, Average Hotel","Plate","88.75","85.83","62.5","62.5","78.04","75.0","95.0","70.0","65.0","71.54","72.5","100.0","70.0","116.67","90.0","80.0","140.0","83.73","83.4","81.07","0.4","3.28"
"32.0","Cooked Daal, Average Hotel","Plate","62.5","55.83","35.0","32.5","51.07","42.5","40.0","40.0","40.0","53.08","46.25","50.0","60.0","60.0","47.5","60.0","60.0","49.19","49.01","46.62","0.37","5.51"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","17.5","19.93","20.0","19.0","20.0","15.0","18.62","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.89","18.87","17.93","0.11","5.35"
"34.0","Cigarettes, K-2, 20's","Packet","46.88","46.88","45.0","50.0","45.0","45.0","49.5","43.0","45.0","45.0","46.0","45.0","45.0","45.0","45.0","50.0","40.0","45.72","45.41","38.65","0.68","18.29"
"35.0","Long Cloth","1 mtr","205.0","195.0","137.5","135.0","247.14","237.5","225.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","150.0","170.0","190.0","201.89","201.89","186.45","0.0","8.28"
"36.0","Shirting","1 mtr","182.5","175.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","143.08","130.0","120.0","130.0","283.33","140.0","160.0","190.0","159.56","159.56","150.54","0.0","5.99"
"37.0","Lawn","1 mtr","240.0","220.0","205.0","205.0","261.07","240.0","360.0","150.0","150.0","360.0","227.5","280.0","333.0","360.0","170.0","180.0","165.0","241.56","240.13","218.68","0.6","10.46"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","117.44","0.0","4.82"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","124.18","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","103.75","98.75","80.5","90.0","73.0","75.0","85.0","80.0","84.0","101.85","90.0","82.5","110.0","86.67","90.0","72.0","80.0","87.24","86.2","118.69","1.21","-26.5"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","475.0","555.0","620.0","556.15","425.0","400.0","390.0","653.33","490.0","525.0","418.75","577.35","576.64","555.76","0.12","3.88"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","170.0","162.5","170.0","165.0","175.0","170.0","160.0","155.0","175.0","180.0","160.0","180.0","150.0","165.74","165.74","164.85","0.0","0.54"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","19.5","20.0","20.0","22.5","30.0","30.0","24.35","24.35","23.74","0.0","2.57"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","1.0","2.0","2.5","2.0","2.5","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.5","1.91","1.82","1.53","4.95","24.84"
"49.0","Petrol, Super","1 Ltr","74.55","74.55","74.7","75.8","74.64","74.7","76.17","74.6","74.9","74.55","75.1","74.8","75.8","74.58","77.9","74.6","74.6","75.09","75.09","109.46","0.0","-31.4"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","83.92","83.92","84.0","85.3","83.97","84.0","85.36","83.9","84.35","83.91","84.5","84.1","85.3","83.9","87.9","84.0","84.0","84.49","84.49","110.82","0.0","-23.76"
"51.0","LPG Cylinder, 11kg","Each","1200.0","1180.0","1072.5","1005.0","893.75","981.25","1000.0","990.0","1017.5","893.75","990.0","1100.0","1078.0","1100.0","989.38","1343.75","1150.0","1057.93","1088.65","1254.59","-2.82","-15.68"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","36.25","36.25","36.0","36.0","36.0","37.0","36.75","36.0","36.0","36.0","36.0","37.0","36.0","36.0","36.0","36.31","36.0","36.0","0.86","0.86"
