"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of May 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
May 15 Apr 15 May 14","","","%change May 15 over
Apr 15 May 14",""
"1.0","Wheat","10 Kg","335.0","335.0","324.75","343.75","326.56","317.5","302.5","310.0","316.41","350.0","313.75","300.0","275.0","335.0","309.38","385.0","430.0","329.98","338.95","339.19","-2.65","-2.72"
"2.0","Wheat Flour, Bag","10 Kg","384.38","382.5","382.5","381.25","369.75","351.25","350.0","358.75","357.5","403.08","403.75","366.25","361.25","369.58","366.88","410.0","450.0","379.33","384.28","389.35","-1.29","-2.57"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","83.75","79.54","62.5","65.0","73.57","77.5","50.63","70.0","60.0","73.08","75.63","75.0","80.0","68.33","51.0","80.0","55.0","69.44","70.16","74.01","-1.03","-6.17"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","61.25","60.21","47.5","47.5","64.57","65.0","50.0","37.0","52.5","50.08","48.0","52.5","32.0","42.5","52.5","48.0","45.0","50.36","50.33","54.45","0.06","-7.51"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.56","0.0","0.64"
"6.0","Beef With Bone, (AQ)","1 Kg","321.25","317.5","280.0","280.0","328.57","290.0","275.0","296.67","265.0","346.15","310.0","290.0","290.0","281.67","280.0","400.0","320.0","304.22","303.2","288.72","0.34","5.37"
"7.0","Mutton, Average Quality","1 Kg","686.25","671.67","600.0","600.0","698.21","600.0","556.25","596.67","562.5","665.38","600.0","535.0","600.0","600.0","500.0","600.0","520.0","599.53","595.31","572.03","0.71","4.81"
"8.0","Chicken Farm, Broiler, Live","1 Kg","174.14","161.37","160.5","163.75","154.86","160.75","166.25","168.96","161.0","200.58","190.0","188.0","183.75","175.0","164.25","183.75","220.0","175.11","150.24","167.59","16.55","4.49"
"9.0","Milk, Fresh, Unboiled","1 Ltr","89.38","86.67","77.5","70.0","77.21","70.0","62.5","75.0","60.0","84.0","80.0","75.0","80.0","82.5","72.5","90.0","80.0","77.19","76.62","72.96","0.74","5.8"
"10.0","Curd (Dahi)","1 Kg","105.0","97.5","88.5","80.0","83.04","80.0","74.25","86.67","70.0","120.0","106.0","90.0","95.0","85.0","82.5","100.0","90.0","90.2","89.83","85.04","0.41","6.07"
"11.0","Powdered Milk, Nido, Polybag","400 gm","360.0","360.0","360.0","360.0","360.0","350.0","360.0","360.0","360.0","360.0","360.0","350.0","350.0","350.0","350.0","350.0","350.0","355.88","355.88","325.0","0.0","9.5"
"12.0","Eggs Hen, Farm","Dozen","79.38","74.69","74.38","78.13","74.54","75.38","74.75","73.71","74.25","79.93","82.25","79.5","80.0","81.67","81.25","90.0","90.0","79.05","81.24","80.66","-2.7","-2.0"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","223.13","145.0","150.0","176.43","200.0","161.25","168.33","150.0","161.54","140.0","122.5","200.0","225.0","186.25","190.0","190.0","178.2","178.97","184.28","-0.43","-3.3"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","465.0","465.0","467.0","467.0","465.0","465.0","462.5","465.0","465.0","468.0","469.0","493.0","490.0","455.0","475.0","490.0","485.0","471.26","478.91","540.81","-1.6","-12.86"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","460.0","460.0","452.0","452.0","455.0","460.0","467.5","460.0","460.0","453.0","452.0","475.0","480.0","450.0","470.0","480.0","495.0","463.62","469.48","513.38","-1.25","-9.69"
"16.0","Vegetable Ghee (Loose)","1 Kg","146.25","142.08","135.0","135.0","135.29","134.69","131.25","142.0","140.5","141.54","140.0","140.0","135.0","152.62","160.0","170.0","130.0","141.84","142.6","160.67","-0.53","-11.72"
"17.0","Bananas","Dozen","171.57","138.44","80.0","93.75","91.07","65.0","59.38","74.17","65.0","65.58","62.19","58.75","76.25","77.29","75.94","83.75","61.25","82.32","71.79","95.03","14.67","-13.37"
"18.0","Pulse Masoor, Washed","1 Kg","154.38","142.5","160.0","132.5","159.02","162.5","165.0","137.5","135.0","138.08","135.0","140.0","127.5","128.75","120.0","146.25","100.0","140.23","135.8","128.37","3.26","9.24"
"19.0","Pulse Moong, Washed","1 Kg","183.13","177.5","165.0","169.38","176.43","177.5","165.0","167.5","173.75","173.08","180.63","165.0","163.75","162.5","160.63","180.0","140.0","169.46","167.67","158.32","1.07","7.04"
"20.0","Pulse Mash, Washed","1 Kg","193.75","192.92","192.5","203.75","196.43","197.5","190.0","176.25","176.25","168.08","161.25","150.0","177.5","187.92","153.13","203.75","130.0","179.47","167.98","143.05","6.84","25.46"
"21.0","Pulse Gram, Washed","1 Kg","100.4","96.56","86.25","91.88","86.52","88.69","81.88","87.5","88.75","98.08","88.44","82.5","83.13","96.88","89.38","106.25","80.0","90.18","76.91","75.15","17.25","20.0"
"22.0","Potatoes","1 Kg","32.35","25.42","18.13","20.0","20.26","22.19","15.0","20.38","17.38","16.54","16.25","10.63","10.0","25.21","19.38","16.5","19.75","19.14","20.36","56.05","-5.99","-65.85"
