"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of January 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
15 Dec 14","Jan
Jan 14","","%change Jan 15 over
Dec 14 Jan 14",""
"1.0","Wheat","10 Kg","357.5","357.5","344.0","362.5","352.5","335.5","325.0","329.0","340.5","347.0","340.0","340.0","312.5","370.0","349.0","385.0","400.0","349.85","352.85","397.57","-0.85","-12.0"
"2.0","Wheat Flour, Bag","10 Kg","391.5","387.67","382.5","387.0","387.0","359.0","390.0","382.0","380.0","421.23","417.0","376.0","380.0","394.84","413.0","410.0","440.0","394.04","399.99","424.25","-1.49","-7.12"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","83.75","79.54","66.5","65.0","73.57","79.75","64.5","76.0","61.5","76.54","77.5","75.0","80.0","69.33","51.0","90.0","60.0","72.32","73.55","73.72","-1.67","-1.9"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","61.25","60.21","47.5","47.5","65.17","65.0","50.4","38.2","52.5","56.54","50.0","52.5","32.0","43.83","52.5","50.0","50.0","51.48","51.91","54.33","-0.83","-5.25"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.32","0.0","1.24"
"6.0","Beef With Bone, (AQ)","1 Kg","321.25","317.5","280.0","280.0","328.57","280.0","275.0","293.33","265.0","346.15","300.0","290.0","290.0","276.67","280.0","400.0","320.0","302.56","302.34","284.45","0.07","6.37"
"7.0","Mutton, Average Quality","1 Kg","659.88","658.33","600.0","600.0","681.25","600.0","550.0","593.33","562.5","659.23","575.0","535.0","600.0","592.5","500.0","600.0","520.0","593.35","593.19","557.32","0.03","6.46"
"8.0","Chicken Farm, Broiler, Live","1 Kg","162.61","149.15","144.6","147.3","138.76","141.5","147.0","152.5","145.6","178.99","168.0","178.0","166.5","161.4","176.4","178.0","216.0","161.9","161.23","182.75","0.42","-11.41"
"9.0","Milk, Fresh, Unboiled","1 Ltr","89.38","83.33","77.5","70.0","77.21","70.0","60.0","75.0","60.0","84.0","80.0","75.0","80.0","72.5","72.5","90.0","80.0","76.26","76.26","69.14","0.0","10.3"
"10.0","Curd (Dahi)","1 Kg","105.0","93.75","88.5","80.0","83.04","80.0","74.0","86.0","70.0","120.0","106.0","90.0","95.0","80.0","82.5","100.0","90.0","89.63","89.58","81.19","0.06","10.4"
"11.0","Powdered Milk, Nido, Polybag","400 gm","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","313.12","0.0","11.78"
"12.0","Eggs Hen, Farm","Dozen","117.68","110.28","117.0","118.0","110.49","115.2","110.8","116.67","114.4","118.62","121.2","120.4","121.0","119.0","119.5","123.0","125.0","117.54","116.98","106.59","0.48","10.27"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","232.5","150.0","160.0","180.71","195.0","190.0","172.5","160.0","166.54","158.0","142.7","200.0","221.67","190.0","190.0","190.0","184.68","185.08","185.93","-0.22","-0.67"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","490.0","490.0","503.0","503.0","514.0","545.0","501.0","490.0","490.0","520.0","503.5","521.0","530.0","520.0","540.0","512.0","550.0","513.09","530.0","538.71","-3.19","-4.76"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","485.5","484.33","488.5","488.5","487.0","510.0","485.0","489.0","485.0","505.0","488.5","509.0","520.0","493.0","510.0","498.0","550.0","498.61","508.97","513.68","-2.04","-2.93"
"16.0","Vegetable Ghee (Loose)","1 Kg","156.88","154.42","140.0","142.0","149.96","137.6","140.4","154.8","152.0","156.62","152.0","145.0","145.0","156.45","164.5","166.0","159.0","151.33","155.13","162.04","-2.45","-6.61"
"17.0","Bananas","Dozen","108.75","90.0","52.5","62.5","61.64","55.0","45.0","71.5","63.0","57.08","46.25","47.0","48.0","56.5","58.75","60.0","54.0","61.03","60.25","54.34","1.29","12.31"
"18.0","Pulse Masoor, Washed","1 Kg","148.75","137.08","160.0","120.0","153.6","171.5","150.0","137.5","140.0","128.08","131.25","140.0","124.5","129.92","139.0","146.0","101.0","138.72","138.15","122.87","0.41","12.9"
"19.0","Pulse Moong, Washed","1 Kg","180.38","165.08","165.0","168.0","164.6","171.5","161.0","170.17","165.0","171.08","169.25","165.0","161.5","160.0","166.0","188.0","134.0","166.21","162.97","137.65","1.99","20.75"
"20.0","Pulse Mash, Washed","1 Kg","175.0","163.0","170.0","175.0","182.96","174.5","160.0","160.5","165.0","153.08","150.0","150.0","149.0","160.92","152.5","187.0","126.0","162.03","161.5","134.29","0.33","20.66"
"21.0","Pulse Gram, Washed","1 Kg","90.0","80.83","73.8","75.0","76.11","77.5","69.0","74.83","77.5","83.08","79.88","75.0","76.0","83.59","79.0","100.0","77.0","79.3","76.94","74.03","3.07","7.12"
"22.0","Potatoes","1 Kg","44.0","40.58","29.5","30.0","30.46","24.5","24.0","27.27","27.5","27.54","34.5","21.5","22.5","32.66","30.5","28.0","32.0","29.82","38.92","28.87","-23.38","3.29"
"23.0","Onions","1 Kg","40.13","33.5","24.0","28.0","27.04","23.5","18.5","20.47","22.5","20.54","18.75","20.0","20.0","27.33","23.5","20.0","21.2","24.06","23.62","36.44","1.86","-33.97"
"24.0","Tomatoes","1 Kg","73.38","64.58","63.0","60.0","58.46","60.0","47.5","51.83","54.5","41.08","45.13","40.0","49.0","55.17","43.0","53.0","66.5","54.48","57.13","43.8","-4.64","24.38"
"25.0","Sugar, Refined","1 Kg","58.65","54.72","54.2","54.15","55.64","54.0","53.0","53.1","54.2","52.92","52.0","51.2","52.0","55.26","53.6","53.0","55.0","53.92","54.12","51.39","-0.37","4.92"
"26.0","Gur, Average Quality","1 Kg","107.5","95.0","82.5","81.5","89.07","75.0","74.0","70.0","67.5","83.08","82.5","67.5","68.0","84.33","87.5","85.0","84.0","81.41","81.52","78.14","-0.13","4.18"
"27.0","Salt Powder, Loose, Lahori","1 Kg","11.0","10.83","10.0","10.0","10.0","10.0","10.0","9.0","10.0","12.0","10.0","9.0","10.0","10.0","8.0","10.0","10.0","9.99","9.99","9.3","0.0","7.42"
"28.0","Red Chilly Powder, Loose","1 Kg","307.5","295.83","280.0","260.0","276.43","268.0","290.0","255.0","210.0","307.69","288.0","250.0","231.0","230.0","280.0","290.0","200.0","265.85","265.83","218.8","0.01","21.5"
"29.0","Garlic","1 Kg","194.5","191.17","142.0","142.0","180.0","141.0","135.0","137.0","140.0","168.0","129.25","134.0","121.5","152.33","151.5","120.0","150.0","148.78","137.6","133.01","8.13","11.86"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","131.58","131.58","130.32","130.32","130.32","128.42","130.35","130.32","131.79","128.42","130.32","124.21","128.42","130.32","128.42","124.21","124.21","129.03","127.77","148.48","0.99","-13.1"
"31.0","Cooked Beef, Average Hotel","Plate","88.75","85.83","60.0","62.5","78.04","75.0","95.0","70.0","65.0","71.54","65.0","100.0","70.0","116.67","90.0","80.0","140.0","83.14","82.94","79.1","0.24","5.11"
"32.0","Cooked Daal, Average Hotel","Plate","62.5","55.83","35.0","32.5","51.07","42.5","40.0","40.0","40.0","53.08","41.25","50.0","60.0","60.0","47.5","60.0","60.0","48.9","48.9","45.78","0.0","6.82"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","17.0","19.93","20.0","18.5","20.0","15.0","16.54","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.7","18.59","17.06","0.59","9.61"
"34.0","Cigarettes, K-2, 20's","Packet","45.0","45.0","45.0","50.0","45.0","45.0","48.0","43.0","45.0","45.0","46.0","45.0","45.0","45.0","45.0","50.0","40.0","45.41","45.41","38.29","0.0","18.59"
"35.0","Long Cloth","1 mtr","185.0","175.0","137.5","135.0","247.14","237.5","225.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","150.0","170.0","190.0","199.54","199.54","173.68","0.0","14.89"
"36.0","Shirting","1 mtr","172.5","165.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","138.08","130.0","120.0","130.0","270.83","131.0","160.0","190.0","156.82","156.76","144.51","0.04","8.52"
"37.0","Lawn","1 mtr","227.5","210.0","205.0","205.0","261.07","240.0","360.0","150.0","146.5","360.0","215.0","280.0","333.0","360.0","167.5","180.0","165.0","239.15","239.15","190.39","0.0","25.61"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","110.86","0.0","11.04"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","124.18","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","95.0","95.0","90.5","100.0","83.5","76.9","90.0","90.0","94.0","109.23","100.0","88.0","116.0","95.5","102.0","82.0","90.0","93.98","103.28","126.72","-9.0","-25.84"
"45.0","Firewood Whole","40 Kg","782.5","730.0","700.0","675.0","788.29","600.0","475.0","545.0","620.0","556.15","425.0","400.0","400.0","670.0","490.0","525.0","400.0","575.41","561.64","553.37","2.45","3.98"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","170.0","165.0","175.0","170.0","160.0","155.0","175.0","180.0","160.0","180.0","150.0","165.44","165.44","163.32","0.0","1.3"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","19.5","20.0","20.0","22.5","30.0","30.0","24.35","24.35","23.58","0.0","3.27"
"48.0","Match Box, Regular","Each","1.0","1.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.5","1.74","1.74","1.5","0.0","16.0"
"49.0","Petrol, Super","1 Ltr","78.59","78.61","78.7","79.25","78.66","78.7","80.16","78.7","79.1","78.58","79.2","78.6","79.1","78.66","82.4","78.6","78.6","79.07","85.48","114.09","-7.5","-30.7"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","86.54","86.56","86.7","87.34","86.59","86.6","88.0","86.5","87.0","86.53","87.1","86.6","86.9","86.61","90.3","86.6","86.6","87.0","95.04","118.04","-8.46","-26.3"
"51.0","LPG Cylinder, 11kg","Each","1824.00 1812.00 1474.00 1639.00 1386.00 1575.05 1480.00 1448.00 1562.00 1450.31 1408.00 1476.00 1430.00 1804.00 1490.00 1810.00 1480.00 1561.67 1564.21 1487.26","","","","","","","","","","","","","","","","","","","","-0.16","5.0"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","0.0","0.0"
