"","","","","","","Average Monthly Prices of Essential Items, September 2012","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-age"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","41.25","30.0","32.5","41.79","37.5","32.5","30.0","32.5","35.0","37.5","35.0","40.0","60.0","40.0","45.0","50.0","39.22"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","14.57","15.0","13.5","15.0","14.0","15.0","14.5","15.0","20.0","15.0","11.0","18.0","15.0","15.03"
"34.0","Cigarettes, K-2, 20's","Packet","32.0","32.0","32.0","32.0","32.5","32.0","33.0","32.0","32.0","33.0","32.0","33.0","33.0","32.0","32.0","30.0","30.0","32.03"
"35.0","Long Cloth","1 mtr","132.5","125.0","97.5","105.0","177.5","95.0","166.25","225.0","135.0","140.0","170.0","150.0","175.0","150.0","115.0","110.0","140.0","141.69"
"36.0","Shirting","1 mtr","125.0","122.5","135.0","125.0","87.5","125.0","130.0","130.0","95.0","102.79","110.0","85.0","90.0","156.67","100.0","125.0","150.0","117.32"
"37.0","Lawn","1 mtr","146.25","133.75","162.5","125.0","192.5","125.0","191.25","130.0","136.5","180.0","210.0","225.0","190.0","250.0","130.0","105.0","115.0","161.63"
"38.0","Georgette","1 mtr","115.0","112.5","98.75","100.0","82.86","95.0","120.0","80.0","95.0","91.15","100.0","85.0","120.0","85.0","92.5","90.0","90.0","97.22"
"39.0","Sandal Bata (Gents)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","Sandal Bata (Ladies)","Pair","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","0.0","116.0","0.0","116.0"
"44.0","Kerosene Oil","1 Ltr","123.28","123.23","121.0","123.75","111.25","117.38","114.5","122.88","121.5","120.0","119.75","114.25","132.5","119.46","121.25","112.75","115.0","119.63"
"45.0","Firewood Whole","40 kg","505.0","462.5","575.0","560.0","596.79","525.0","388.75","475.0","500.0","436.15","320.0","345.0","400.0","586.67","380.0","525.0","450.0","472.4"
"46.0","Energy Saver (14 watts)","Each","157.5","157.5","145.0","145.0","145.0","150.0","145.0","150.0","150.0","145.0","150.0","145.0","140.0","160.0","145.0","140.0","140.0","147.65"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","17.0","36.0","20.0","35.0","22.0","16.0","14.0","24.0","18.0","20.0","17.0","16.5","18.0","25.0","20.74"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.09"
"49.0","Petrol, Super","1 Ltr","105.22","105.18","105.53","107.18","105.26","105.3","107.03","106.08","107.78","105.0","106.38","105.4","107.41","105.1","108.8","105.5","105.5","106.1"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","114.03","113.93","114.2","115.58","114.04","114.03","115.48","114.6","116.1","113.98","114.85","114.12","114.74","114.12","116.6","113.97","113.97","114.61"
"51.0","LPG Cylinder, 11kg","Each","1500.0","1480.0","1540.0","1457.5","1471.25","1515.0","1575.0","1540.0","1622.5","1347.5","1430.0","1430.0","1476.75","1623.33","1502.5","1485.0","1431.25","1495.74"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59"
"53.0","Soap, LifeBuoy","Each","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
