"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of November 2018","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Nov 18 Oct 18 Nov 17","","","%change Nov 18 over
Oct 18 Nov 17",""
"1.0","Wheat","10 Kg","352.0","352.0","362.5","362.5","347.5","337.5","325.0","329.5","336.75","383.0","360.0","325.0","345.0","360.0","345.0","350.0","350.0","348.43","340.06","335.64","2.46","3.81"
"2.0","Wheat Flour, Bag","10 Kg","392.5","388.75","380.0","390.0","392.5","399.0","359.0","375.0","390.0","444.04","420.0","387.0","382.0","399.17","400.0","410.0","390.0","394.06","393.35","385.74","0.18","2.16"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","96.88","89.38","70.0","70.0","74.82","102.0","65.0","87.5","60.0","84.65","85.0","65.0","80.0","82.5","53.75","88.0","67.0","77.73","77.14","70.67","0.76","9.99"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","57.5","60.0","47.5","57.0","60.0","70.0","48.5","47.5","55.06","48.8","52.5","40.75","59.33","57.5","50.0","56.5","54.61","54.42","50.96","0.35","7.16"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","42.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","40.0","35.0","40.0","35.0","42.97","42.85","42.44","0.28","1.25"
"6.0","Beef With Bone, (AQ)","1 Kg","446.88","431.92","375.0","400.0","381.96","375.0","400.0","390.0","365.0","454.54","380.0","350.0","350.0","350.83","330.0","380.0","350.0","383.01","379.74","343.75","0.86","11.42"
"7.0","Mutton, Average Quality","1 Kg","920.63","908.33","800.0","800.0","869.64","850.0","850.0","825.0","725.0","873.08","790.0","750.0","790.0","791.67","600.0","775.0","710.0","801.67","794.05","727.64","0.96","10.17"
"8.0","Chicken Farm, Broiler, Live","1 Kg","190.26","180.92","172.6","178.8","172.2","174.9","169.0","185.0","176.0","205.23","200.38","202.0","196.0","186.4","193.8","201.0","200.5","187.35","155.83","130.25","20.23","43.84"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","100.83","80.0","80.0","77.21","85.0","70.0","83.33","67.5","94.19","94.0","80.0","90.0","91.67","82.5","95.0","80.0","85.51","85.51","82.5","0.0","3.65"
"10.0","Curd (Dahi)","1 Kg","116.25","112.92","100.0","90.0","90.0","95.0","90.0","97.5","80.0","140.96","135.0","100.0","95.0","105.83","90.0","110.0","90.0","102.26","102.26","98.65","0.0","3.66"
"11.0","Powdered Milk, Nido, Polybag","400 gm","406.16","406.16","406.16","404.11","410.0","398.9","379.48","402.05","410.0","400.0","379.48","389.74","414.8","370.0","410.25","389.74","380.0","397.47","387.31","379.18","2.62","4.82"
"12.0","Eggs Hen, Farm","Dozen","121.22","114.67","117.5","120.0","112.8","118.3","116.3","119.5","119.6","127.68","127.75","128.0","118.0","122.33","120.0","133.0","117.5","120.83","111.02","132.22","8.84","-8.61"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","231.67","170.0","160.0","183.93","200.0","193.0","184.17","170.0","184.39","160.0","150.0","194.0","220.0","165.0","190.0","200.0","188.01","187.91","184.95","0.05","1.65"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","505.0","505.0","506.0","488.2","492.0","485.0","485.0","498.0","515.0","486.0","491.0","480.0","490.0","485.0","503.0","471.0","460.0","490.89","483.26","469.47","1.58","4.56"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","486.0","486.0","489.0","480.0","486.0","480.0","475.0","484.0","492.0","484.0","486.0","480.0","480.0","480.0","485.8","466.0","455.0","480.87","476.25","462.71","0.97","3.92"
"16.0","Vegetable Ghee (Loose)","1 Kg","158.56","153.96","150.0","155.0","155.0","144.5","143.0","160.0","160.0","157.0","186.0","145.0","130.0","168.16","170.0","158.0","125.0","154.07","152.31","145.55","1.16","5.85"
"17.0","Bananas","Dozen","116.63","81.5","55.0","60.0","61.43","45.0","49.0","63.33","65.0","57.85","46.25","49.0","44.0","73.33","55.0","66.0","58.5","61.58","62.16","61.91","-0.93","-0.53"
"18.0","Pulse Masoor, Washed","1 Kg","131.25","112.92","150.0","150.0","133.93","132.0","140.0","103.33","105.0","103.73","97.5","95.0","96.0","88.66","100.0","120.0","111.0","115.9","114.71","120.73","1.04","-4.0"
"19.0","Pulse Moong, Washed","1 Kg","131.88","114.58","104.0","120.0","123.93","131.0","109.0","110.5","120.0","122.62","116.25","125.0","109.5","104.0","105.0","147.0","110.0","117.9","115.27","116.97","2.28","0.8"
"20.0","Pulse Mash, Washed","1 Kg","154.75","146.34","143.0","150.0","157.14","158.0","175.0","132.0","131.0","128.15","131.38","120.0","117.0","129.0","122.5","182.0","170.0","143.96","141.76","169.44","1.55","-15.04"
"21.0","Pulse Gram, Washed","1 Kg","134.0","130.83","110.0","113.0","118.93","116.0","107.0","114.17","120.0","122.27","120.0","115.0","113.0","119.5","115.0","141.0","130.0","119.98","119.38","120.77","0.5","-0.65"
"22.0","Potatoes","1 Kg","48.5","41.0","38.0","38.0","35.93","31.75","31.5","36.5","30.0","28.1","26.5","24.0","29.0","31.17","32.0","30.0","33.8","33.28","32.31","42.08","3.0","-20.91"
"23.0","Onions","1 Kg","44.0","40.67","32.0","34.5","32.68","27.5","27.0","27.5","37.0","30.0","25.0","23.5","25.5","37.67","32.0","32.0","28.0","31.56","35.56","73.16","-11.25","-56.86"
"24.0","Tomatoes","1 Kg","54.13","45.5","47.0","45.0","47.47","44.5","34.0","36.33","41.0","29.36","20.13","32.0","31.0","40.67","34.0","44.0","38.5","39.09","69.51","105.4","-43.76","-62.91"
"25.0","Sugar, Refined","1 Kg","60.5","56.42","54.8","54.2","55.84","53.65","53.9","53.2","55.0","55.06","54.19","52.4","54.1","54.93","55.0","55.0","54.55","54.87","54.78","53.68","0.16","2.22"
"26.0","Gur, Average Quality","1 Kg","107.13","95.33","75.0","75.0","83.93","87.0","80.0","79.5","77.5","101.58","92.0","73.0","69.5","88.0","82.5","90.0","85.5","84.85","86.24","83.93","-1.61","1.1"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","15.0","15.0","20.0","10.0","10.0","10.0","12.0","12.0","15.0","10.0","10.0","15.0","12.0","10.0","10.0","12.35","12.13","11.0","1.81","12.27"
"28.0","Red Chilly Powder, Loose","1 Kg","397.5","379.17","320.0","320.0","333.86","380.0","440.0","276.67","290.0","388.0","400.0","400.0","305.0","356.67","350.0","310.0","290.0","349.23","342.81","258.52","1.87","35.09"
"29.0","Garlic","1 Kg","190.13","136.25","105.0","120.0","111.79","112.0","103.0","105.0","120.0","152.85","111.5","120.0","89.0","150.67","132.0","206.0","159.25","130.85","127.23","163.07","2.85","-19.76"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","217.89","217.89","211.58","211.58","207.54","205.26","208.42","205.26","211.4","205.26","205.26","205.26","205.26","205.26","205.26","205.26","194.73","207.55","204.36","180.49","1.56","14.99"
"31.0","Cooked Beef, Average Hotel","Plate","128.13","117.92","125.0","130.0","115.0","150.0","120.0","100.0","125.0","99.23","95.0","100.0","100.0","120.0","105.0","90.0","140.0","115.31","115.09","98.8","0.19","16.71"
"32.0","Cooked Daal, Average Hotel","Plate","85.0","75.83","50.0","60.0","67.32","55.0","50.0","40.0","60.0","64.04","60.0","70.0","65.0","60.0","50.0","65.0","80.0","62.19","61.93","58.27","0.42","6.73"
"33.0","Tea Prepared, Average Hotel","Cup","23.62","23.5","20.0","20.0","21.43","22.5","24.5","20.0","22.5","23.38","25.0","25.0","27.5","15.0","20.0","21.0","20.0","22.05","21.81","21.19","1.1","4.06"
"34.0","Cigarettes, K-2, 20's","Packet","60.0","60.0","60.0","60.0","60.0","60.0","60.0","50.0","60.0","60.0","60.0","60.0","50.0","65.0","70.0","50.0","60.0","59.12","57.65","50.76","2.55","16.47"
"35.0","Long Cloth","1 mtr","225.0","215.0","172.5","160.0","278.0","237.5","250.0","270.0","250.0","180.0","240.0","375.0","200.0","333.33","250.0","210.0","180.0","236.84","236.08","212.3","0.32","11.56"
"36.0","Shirting","1 mtr","225.63","220.0","185.0","180.0","161.0","125.0","168.0","240.0","120.0","166.15","140.0","175.0","157.5","300.0","147.5","160.0","170.0","178.87","178.63","169.55","0.13","5.5"
"37.0","Lawn","1 mtr","240.0","220.0","217.5","220.0","305.0","280.0","393.34","200.0","383.5","415.0","280.0","393.0","366.66","393.0","235.0","200.0","165.0","288.65","288.65","255.77","0.0","12.86"
"38.0","Georgette","1 mtr","165.0","162.92","160.0","140.0","141.0","160.0","148.0","105.0","110.0","121.54","120.0","150.0","130.0","123.33","100.0","105.0","117.5","132.9","132.08","125.68","0.62","5.74"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","179.09","0.0","11.12"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","502.39","0.0","19.23"
