"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of February 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 15 Jan 15 Feb 14","","","%change Feb 15 over
Jan 15 Feb 14",""
"1.0","Wheat","10 Kg","357.5","357.5","344.0","362.5","352.5","330.63","321.25","330.0","336.88","350.0","340.0","340.0","312.5","370.0","343.75","385.0","400.0","349.06","349.85","399.8","-0.23","-12.69"
"2.0","Wheat Flour, Bag","10 Kg","390.94","386.25","382.5","385.0","385.0","355.0","381.25","380.0","380.0","415.58","415.0","375.0","380.0","392.3","403.75","410.0","440.0","391.62","394.04","428.03","-0.61","-8.51"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","83.75","79.54","65.63","65.0","73.57","77.5","61.88","75.0","60.0","76.54","77.5","75.0","80.0","69.38","51.0","90.0","56.25","71.62","72.32","73.8","-0.97","-2.95"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","61.25","60.21","47.5","47.5","64.57","65.0","50.0","37.0","52.5","52.79","50.0","52.5","32.0","42.5","52.5","50.0","46.25","50.83","51.48","54.37","-1.26","-6.51"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.32","0.0","1.24"
"6.0","Beef With Bone, (AQ)","1 Kg","321.25","317.5","280.0","280.0","328.57","280.0","275.0","293.33","265.0","346.15","300.0","290.0","290.0","278.33","280.0","400.0","320.0","302.65","302.56","287.08","0.03","5.42"
"7.0","Mutton, Average Quality","1 Kg","664.38","658.33","600.0","600.0","681.25","600.0","550.0","593.33","562.5","659.23","575.0","535.0","600.0","595.0","500.0","600.0","520.0","593.77","593.35","565.3","0.07","5.04"
"8.0","Chicken Farm, Broiler, Live","1 Kg","125.24","112.13","107.25","111.0","105.11","111.0","111.25","125.0","117.0","145.46","137.5","146.5","140.0","119.5","158.0","146.25","215.0","131.36","161.9","162.43","-18.86","-19.13"
"9.0","Milk, Fresh, Unboiled","1 Ltr","89.38","83.33","77.5","70.0","77.21","70.0","61.25","76.25","60.0","84.0","80.0","75.0","80.0","72.5","72.5","90.0","80.0","76.41","76.26","69.31","0.2","10.24"
"10.0","Curd (Dahi)","1 Kg","105.0","93.75","88.5","80.0","83.04","80.0","74.0","86.67","70.0","120.0","106.0","90.0","95.0","80.0","82.5","100.0","90.0","89.67","89.63","81.56","0.04","9.94"
"11.0","Powdered Milk, Nido, Polybag","400 gm","357.5","357.5","352.5","352.5","350.0","350.0","357.5","352.5","355.0","357.5","352.5","350.0","350.0","350.0","350.0","350.0","350.0","352.65","350.0","324.71","0.76","8.6"
"12.0","Eggs Hen, Farm","Dozen","96.11","86.69","91.25","92.5","86.79","94.38","85.0","89.9","88.88","96.1","103.0","95.5","102.5","98.33","106.25","118.75","126.25","97.54","117.54","106.69","-17.02","-8.58"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","232.5","150.0","160.0","175.09","195.0","187.5","172.5","160.0","162.79","151.25","138.0","200.0","221.67","190.0","190.0","190.0","183.31","184.68","186.38","-0.74","-1.65"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","490.0","490.0","492.5","492.5","490.0","520.0","495.0","490.0","490.0","508.75","492.5","515.0","530.0","520.0","540.0","505.0","550.0","506.54","513.09","539.71","-1.28","-6.15"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","485.0","485.0","477.5","477.5","485.0","497.5","485.0","485.0","485.0","484.75","477.5","505.0","520.0","485.0","510.0","495.0","550.0","493.51","498.61","513.9","-1.02","-3.97"
"16.0","Vegetable Ghee (Loose)","1 Kg","156.88","151.67","140.0","140.0","150.43","132.75","140.25","155.0","152.5","147.79","150.0","145.0","145.0","155.29","163.75","160.0","150.0","149.19","151.33","161.95","-1.41","-7.88"
"17.0","Bananas","Dozen","145.63","117.5","52.5","62.5","68.66","55.0","46.25","75.94","63.75","55.58","46.25","50.0","47.5","55.42","65.63","61.25","57.5","66.29","61.03","59.5","8.62","11.41"
"18.0","Pulse Masoor, Washed","1 Kg","149.22","137.08","160.0","120.0","156.07","160.38","147.5","137.5","140.0","133.08","131.25","140.0","121.25","129.8","140.0","146.25","100.0","138.2","138.72","126.66","-0.37","9.11"
"19.0","Pulse Moong, Washed","1 Kg","181.88","168.96","165.0","170.0","170.45","177.5","165.0","172.5","165.0","173.08","172.19","165.0","163.13","163.55","166.25","183.75","140.0","168.43","166.21","140.61","1.34","19.79"
"20.0","Pulse Mash, Washed","1 Kg","175.0","165.63","170.0","175.0","189.2","177.5","157.5","162.5","165.0","153.08","150.0","150.0","147.5","164.92","152.5","185.0","125.0","162.67","162.03","134.5","0.39","20.94"
"21.0","Pulse Gram, Washed","1 Kg","90.0","80.83","75.0","75.0","77.86","77.5","65.0","77.71","77.5","83.08","80.47","75.0","72.5","83.13","79.38","95.0","80.0","79.12","79.3","76.94","-0.23","2.83"
"22.0","Potatoes","1 Kg","38.52","34.17","23.13","28.75","25.23","21.25","19.38","20.84","21.25","21.54","23.44","20.63","20.63","27.92","20.63","26.25","31.25","24.99","29.82","29.63","-16.2","-15.66"
"23.0","Onions","1 Kg","38.6","34.33","25.0","28.75","25.36","22.5","17.5","21.67","21.88","21.54","18.75","20.0","20.0","26.88","21.25","20.0","23.0","23.94","24.06","33.8","-0.5","-29.17"
"24.0","Tomatoes","1 Kg","71.1","64.17","57.5","62.5","56.88","52.81","47.5","52.19","47.5","46.83","53.28","37.5","47.5","54.17","40.94","46.25","63.75","53.08","54.48","36.68","-2.57","44.71"
"25.0","Sugar, Refined","1 Kg","59.06","55.58","54.0","54.5","54.7","54.13","53.5","53.5","54.63","54.62","52.0","52.0","52.0","55.25","54.13","53.25","55.0","54.23","53.92","51.25","0.57","5.81"
"26.0","Gur, Average Quality","1 Kg","107.5","95.0","82.5","87.5","89.2","75.0","75.0","69.59","67.5","84.33","85.31","66.25","65.63","87.08","87.5","85.0","80.0","81.76","81.41","78.0","0.43","4.82"
"27.0","Salt Powder, Loose, Lahori","1 Kg","11.0","10.83","10.0","10.0","10.0","10.0","10.0","9.0","10.0","12.0","10.0","9.0","10.0","10.0","8.0","10.0","10.0","9.99","9.99","9.37","0.0","6.62"
"28.0","Red Chilly Powder, Loose","1 Kg","307.5","295.83","280.0","260.0","278.75","265.0","287.5","247.5","210.0","307.69","286.25","250.0","226.25","230.0","280.0","290.0","200.0","264.84","265.85","221.71","-0.38","19.45"
"29.0","Garlic","1 Kg","205.0","191.67","132.5","133.75","174.47","138.75","142.5","136.04","130.0","166.15","136.25","118.75","113.75","156.67","156.25","121.25","150.0","147.28","148.78","133.48","-1.01","10.34"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","138.95","138.95","137.11","137.11","137.1","135.24","137.01","137.11","138.95","130.79","138.95","130.39","128.42","137.11","129.99","124.21","124.21","134.21","129.03","147.37","4.01","-8.93"
"31.0","Cooked Beef, Average Hotel","Plate","88.75","85.83","60.0","62.5","78.04","75.0","95.0","70.0","65.0","71.54","65.0","100.0","70.0","116.67","90.0","80.0","140.0","83.14","83.14","79.53","0.0","4.54"
"32.0","Cooked Daal, Average Hotel","Plate","62.5","55.83","35.0","32.5","51.07","42.5","40.0","40.0","40.0","53.08","41.25","50.0","60.0","60.0","47.5","60.0","60.0","48.9","48.9","46.08","0.0","6.12"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","17.5","19.93","20.0","18.5","20.0","15.0","18.62","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.86","18.7","17.06","0.86","10.55"
"34.0","Cigarettes, K-2, 20's","Packet","45.0","45.0","45.0","50.0","45.0","45.0","48.0","43.0","45.0","45.0","46.0","45.0","45.0","45.0","45.0","50.0","40.0","45.41","45.41","38.65","0.0","17.49"
