"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of October 2018","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
18 Sep 18","Oct
Oct 17","","%change Oct 18 over
Sep 18 Oct 17",""
"1.0","Wheat","10 Kg","332.5","332.5","334.38","331.25","347.5","337.5","325.0","327.5","332.19","378.75","348.25","325.0","333.75","357.5","337.5","350.0","350.0","340.06","334.57","327.74","1.64","3.76"
"2.0","Wheat Flour, Bag","10 Kg","392.5","388.75","382.5","390.0","392.5","397.5","355.0","381.25","389.38","441.25","420.0","383.75","375.0","397.5","400.0","410.0","390.0","393.35","387.9","374.81","1.41","4.95"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","96.88","89.38","70.0","70.0","74.82","102.0","65.0","87.5","60.0","83.32","85.0","65.0","78.75","82.46","53.75","87.5","60.0","77.14","76.72","70.34","0.55","9.67"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","57.5","60.0","47.5","57.0","60.0","70.0","49.38","47.5","53.85","48.0","52.5","39.44","60.0","57.5","50.0","55.0","54.42","54.29","50.73","0.24","7.27"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","40.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","40.0","35.0","40.0","35.0","42.85","42.85","41.12","0.0","4.21"
"6.0","Beef With Bone, (AQ)","1 Kg","440.78","420.73","362.5","375.0","381.96","375.0","400.0","390.0","365.0","453.85","380.0","350.0","350.0","350.83","330.0","380.0","350.0","379.74","375.59","343.42","1.1","10.58"
"7.0","Mutton, Average Quality","1 Kg","920.63","904.58","750.0","750.0","869.64","850.0","850.0","825.0","725.0","872.36","775.0","750.0","790.0","791.67","600.0","775.0","700.0","794.05","788.08","715.79","0.76","10.93"
"8.0","Chicken Farm, Broiler, Live","1 Kg","154.55","144.89","137.5","141.69","138.5","142.0","140.0","155.0","144.0","179.62","168.28","172.5","157.5","153.0","165.0","165.0","190.0","155.83","118.31","125.23","31.71","24.44"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","100.83","80.0","80.0","77.21","85.0","70.0","83.33","67.5","94.19","94.0","80.0","90.0","91.67","82.5","95.0","80.0","85.51","85.51","82.5","0.0","3.65"
"10.0","Curd (Dahi)","1 Kg","116.25","112.92","100.0","90.0","90.0","95.0","90.0","97.5","80.0","140.96","135.0","100.0","95.0","105.83","90.0","110.0","90.0","102.26","102.12","98.65","0.14","3.66"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","389.74","379.49","392.0","389.74","379.48","389.74","389.7","392.31","379.48","389.74","398.75","370.0","394.87","389.74","380.0","387.31","385.12","375.58","0.57","3.12"
